year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,701635.0,535600.0,252306.4362744567,283293.5637255433,984928.5637255433,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,130000.0,0.0,-3500.0,133500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26670.0,11430.0,18480.0,8190.0,7920.0,3510.0,13860.0,5940.0,5460.0,2340.0,19320.0,8280.0,38100.0,0.0,0.0,2850.0,10500.0,6600.0,3900.0,False,False,0.0,0.0,False,💸 Home maintenance reserve,132625.0,62500.0,70125.0,398020.0,241290.0,156730.0,130990.0,124280.0,6710.0,127401.93304198532,3588.0669580146714,40000.0,252306.4362744567
2027,772260.2349999999,551668.0,238863.4466881951,312804.5533118049,1085064.7883118046,81143.4,53827.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,134971.2,0.0,-10500.0,145471.2,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27695.85,11869.65,19219.199999999997,8476.65,8236.8,3632.8500000000004,14414.4,6177.599999999999,5651.099999999999,2421.9,20065.5,8599.5,39565.5,0.0,0.0,0.0,10900.5,6863.999999999999,4036.5,False,False,0.0,0.0,False,🏖️ Travel,140715.125,62500.0,78215.125,449995.06999999995,275227.88999999996,174767.18,150850.03999999998,136149.65,14700.389999999985,143410.2509575464,7439.789042453567,30700.0,238863.4466881951
2028,856003.981835,568218.04,224626.78526484035,343591.2547351597,1199595.2365701597,84413.47902,55719.84717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,140133.32619,0.0,-3500.0,143633.32619,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28761.30075,12326.27175,19987.968,8773.332749999998,8566.272,3759.999749999999,14990.975999999999,6424.704,5848.888499999998,2506.6664999999994,20839.864499999996,8931.370499999999,41087.572499999995,0.0,0.0,0.0,11316.337499999998,7138.56,4177.777499999998,False,False,0.0,0.0,False,,149298.747625,62500.0,86798.74762499999,506206.07002,312004.75928999996,194201.31073,172378.16418999995,148475.92174999998,23902.242439999973,160724.54826595672,11653.615924043233,28121.0,224626.78526484035
2029,939516.8824644348,585264.5812,209549.59375303757,375714.98744696245,1315231.8699113973,87815.342224506,57678.39979802549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,145493.7420225315,0.0,-10500.0,155993.7420225315,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29867.886116249992,12800.522621249998,20787.486719999997,9080.399396249995,8908.92288,3891.5997412499983,15590.615039999999,6681.69216,6053.599597499997,2594.399827499999,21644.214637499994,9276.091987499998,42668.408737499994,0.0,0.0,0.0,11748.102112499997,7424.1024,4323.999712499998,False,False,0.0,0.0,False,,158405.97123012497,62500.0,95905.97123012497,566952.5264074699,351824.53632668994,215127.99008077997,195693.75482683996,161276.44437124996,34417.31045558999,179437.66859018008,16256.086236659869,18464.63,209549.59375303757
2030,1037065.2938560777,602822.518636,193582.24739817757,409240.2712378224,1446305.5650939,91354.3005161536,59705.7955509261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,151060.0960670797,0.0,-3500.0,154560.0960670797,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31017.199563918748,13293.085527393749,21618.9861888,9398.213375118747,9265.2797952,4027.8057321937495,16214.239641600001,6948.9598464,6265.475583412498,2685.2038214624995,22479.7152250125,9634.1636678625,44310.2850913125,0.0,0.0,0.0,12196.4061984375,7721.066496000001,4475.339702437499,False,False,0.0,0.0,False,,168068.73547516257,62500.0,105568.73547516257,632553.8300822442,394904.819231418,237649.01085082628,220924.15939867095,174569.52989864373,46354.62950002722,199648.64616938107,21275.513229289867,15518.568900000002,193582.24739817757
2031,1135360.767544827,620907.19419508,176672.19160851187,444235.0025865681,1579595.7701313952,95035.87882695459,61804.45426454115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,156840.33309149573,0.0,-10500.0,167340.33309149573,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32210.896479599905,13804.669919828531,22483.745636352003,9727.150843247902,9635.890987008,4168.77893282053,16862.809227264002,7226.918240256001,6484.767228831935,2779.1859552136866,23347.576456095936,10006.104195469688,46015.56639942844,0.0,0.0,0.0,12661.88574786281,8029.90915584,4631.976592022811,False,False,0.0,0.0,False,,178320.92833914747,62500.0,115820.92833914747,703350.5101968611,441477.75884088647,261872.7513559746,248205.20304181837,188374.19981847226,59831.00322334611,221463.1045727213,26742.098469097076,5484.125967000002,176672.19160851187
2032,1220097.4758666095,639534.4100209324,158763.76897806188,480770.6410428706,1700868.1169094802,98865.82474368086,63976.88083193978,17738.16540894685,0.0,0.0,17738.16540894685,8750.18484504315,17738.16540894685,0.0,0.0,17738.16540894685,0.0,0.0,17738.16540894685,pre_retirement,brackets,married_joint,637.0,0.0,637.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,17738.16540894685,12068.16540894685,0.03591126733313171,False,162842.70557562064,0.0,-32137.0,194979.70557562064,31500.0,0.0,1.0,0.0,0.0,0.0,5648.649746010002,26488.35025399,0.0,0.0,0.0,0.0,0.0,0.0,33450.69658456766,14336.012821957569,23383.095461806086,10067.601122761576,10021.326626488322,4314.686195469247,17537.321596354566,7515.994969866242,6711.734081841051,2876.457463646165,24249.05567819562,10392.452433512408,47786.70940652523,0.0,0.0,0.0,13145.201294817209,8351.105522073602,4794.095772743608,False,False,0.0,0.0,False,💸 Vehicle purchase,162710.15471384546,53749.81515495685,108960.3395588886,779705.5879034372,491790.9975919866,287914.5903114506,277681.7332493268,202710.21264042985,74971.52060889697,244993.6805781456,32688.05267118124,0.0,158763.76897806188
2033,1333571.6882406678,658720.4423215605,139798.03609699057,518922.4062245699,1852494.0944652376,102850.1174808512,66225.66819318246,7284.554388638926,0.0,0.0,7284.554388638926,3293.4456113610736,7284.554388638926,0.0,0.0,7284.554388638926,0.0,0.0,7284.554388638926,pre_retirement,brackets,married_joint,78.0,0.0,78.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,7284.554388638926,1614.554388638926,0.010707587017491377,False,169075.78567403366,0.0,-10578.0,179653.78567403366,10500.0,0.0,1.0,0.0,0.0,0.0,0.0,10578.0,0.0,0.0,0.0,0.0,0.0,0.0,34738.38644233656,14887.879903858526,24318.41928027833,10419.967162058232,10422.179691547855,4465.70021231067,18238.814460208745,7816.6347686608915,6946.644774705488,2977.1334748737804,25185.459234914233,10793.768243534672,49626.26634619509,0.0,0.0,0.0,13647.038867746181,8685.149742956546,4961.8891247896345,False,False,0.0,0.0,False,,162057.47415139002,50456.36954359578,111601.10460779424,862006.0152078834,546108.6677253761,315897.3474825073,309508.1988813943,217598.09254428837,91910.10633710591,270360.47478496033,39147.724096433965,0.0,139798.03609699057
2034,1450697.4498865192,678482.0555912073,119712.56954648899,558769.4860447184,2009466.9359312376,106994.97721532949,68553.50043017283,11134.548758708108,0.0,0.0,11134.548758708108,4624.451241291893,11134.548758708108,0.0,0.0,11134.548758708108,0.0,0.0,11134.548758708108,pre_retirement,brackets,married_joint,259.0,0.0,259.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,11134.548758708108,5464.548758708108,0.02326093365907094,False,175548.4776455023,0.0,-15759.0,191307.4776455023,15500.0,0.0,1.0,0.0,0.0,0.0,0.0,15759.0,0.0,0.0,0.0,0.0,0.0,0.0,36075.82206421973,15461.066598951315,25291.15605148946,10784.666012730268,10839.06687920977,4621.999719741544,18968.367038617096,8129.300159407327,7189.777341820179,3081.3331464943626,26158.144380437276,11210.633305901689,51536.88866317104,0.0,0.0,0.0,14168.110976832078,9032.555732674808,5135.555244157271,False,False,0.0,0.0,False,💸 HVAC replacement,156183.9800746248,45831.918302303886,110352.06177232091,950664.2041997839,604712.4525081133,345951.7516916705,343849.2656121106,233059.1591432397,110790.10646887092,297691.53062605264,46157.73498605798,0.0,119712.56954648899
2035,1582118.3252106323,698836.5172589436,98441.26043963364,600395.25681931,2182513.5820299424,111306.87479710727,70963.1559702934,7663.219139083277,0.0,0.0,7663.219139083277,2929.780860916723,7663.219139083277,0.0,0.0,7663.219139083277,0.0,0.0,7663.219139083277,pre_retirement,brackets,married_joint,93.0,0.0,93.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,7663.219139083277,1993.2191390832768,0.012135892020324666,False,182270.0307674007,0.0,-10593.0,192863.0307674007,10500.0,0.0,1.0,0.0,0.0,0.0,0.0,10593.0,0.0,0.0,0.0,0.0,0.0,0.0,37464.93161672487,16056.399264310658,26302.80229354904,11162.129323175828,11272.62955437816,4783.769709932498,19727.10172016178,8454.47216578362,7441.419548783885,3189.179806621665,27168.521268945664,11643.651972405285,53521.33088103552,0.0,0.0,0.0,14709.157639684576,9393.857961981801,5315.299677702775,False,False,0.0,0.0,False,,155118.2028591769,42902.13744138716,112216.06541778974,1046119.6522726954,667902.7144046573,378216.9378680382,380880.47007876,249115.55840755036,131764.91167120964,327123.34354862,53757.12653014001,0.0,98441.26043963364
