year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2027,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29126.21359223301,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,False
2028,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28277.87727401263,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,False
2029,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27454.249780594786,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,False
2030,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26654.611437470663,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,False
2031,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25878.263531524917,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,4890.991807458209,0.0,0.0,0.0,False
2032,pre_retirement,brackets,married_joint,0.0,0.0,14855.434272443561,7328.142050795538,14855.434272443561,0.0,0.0,14855.434272443561,0.0,0.0,14855.434272443561,14855.434272443561,25124.527700509625,0.0,0.0,0.0,533.4774715074877,533.4774715074877,True,oregon,married_joint,4748.535735396319,14855.434272443561,10106.89853704724,0.03591126733313171,False
2033,pre_retirement,brackets,married_joint,0.0,0.0,5923.009337321283,2677.8726696687104,5923.009337321283,0.0,0.0,5923.009337321283,0.0,0.0,5923.009337321283,5923.009337321283,24392.745340300607,0.0,0.0,0.0,63.42113788478158,63.42113788478158,True,oregon,married_joint,4610.228869316815,5923.009337321283,1312.7804680044685,0.010707587017491377,False
2034,pre_retirement,brackets,married_joint,0.0,0.0,8789.71561004295,3650.584513510362,8789.71561004295,0.0,0.0,8789.71561004295,0.0,0.0,8789.71561004295,8789.71561004295,23682.277029418066,0.0,0.0,0.0,204.45699168730928,204.45699168730928,True,oregon,married_joint,4475.950358560014,8789.71561004295,4313.765251482934,0.02326093365907094,False
2035,pre_retirement,brackets,married_joint,0.0,0.0,5873.219371809346,2245.4330739066927,5873.219371809346,0.0,0.0,5873.219371809346,0.0,0.0,5873.219371809346,5873.219371809346,22992.5019703088,0.0,0.0,0.0,71.27675610795728,71.27675610795728,True,oregon,married_joint,4345.582872388363,5873.219371809346,1527.6364994209819,0.012135892020324666,False
