year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2026,923796.0637255433,954069.8137255433,1005988.5637255433,1055128.5637255432,1070631.0637255432,640502.5,670776.25,722695.0,771835.0,787337.5
2027,1029169.5008118049,1086539.134561805,1113894.173311805,1167266.648311805,1259682.608311805,716364.9475,773734.58125,801089.62,854462.095,946878.0549999999
2028,1110867.8734626598,1207218.5920176597,1282897.8845376596,1339456.5431226594,1365511.1930751596,767276.6187275,863627.3372825,939306.6298024999,995865.2883874999,1021919.9383399999
2029,1220393.1511171623,1275172.1424437186,1398571.4611735323,1517978.6799677075,1585636.2844821422,844678.1636701999,899457.1549967561,1022856.4737265699,1142263.692520745,1209921.2970351798
2030,1323666.6442117412,1410849.3777268776,1634160.1091888673,1725881.6348695103,1807309.0157510587,914426.3729739186,1001609.1064890551,1224919.8379510448,1316641.3636316878,1398068.7445132362
2031,1450928.5584020084,1570588.250252171,1873197.760246272,1964934.072561067,2014728.4830762793,1006693.5558154403,1126353.2476656027,1428962.757659704,1520699.069974499,1570493.4804897113
2032,1592027.6410781033,1789956.5125242993,2003044.050592863,2231768.9944406496,2302907.238462029,1111257.0000352329,1309185.8714814289,1522273.4095499925,1750998.3533977787,1822136.5974191586
2033,1749713.3596755862,1890583.6866950602,2352217.39291931,2469327.079801885,2553366.7953332113,1230790.9534510165,1371661.2804704905,1833294.98669474,1950404.6735773152,2034444.389108641
2034,1932283.4551789649,2213251.950603331,2687726.6212417046,2806985.1213730215,2829226.478689811,1373513.9691342465,1654482.4645586126,2128957.1351969866,2248215.635328303,2270456.992645093
2035,2199989.370715145,2552232.888706128,2935822.0075283945,3044016.894673763,3208882.288109134,1599594.1138958351,1951837.631886818,2335426.7507090843,2443621.6378544527,2608487.0312898234
2036,2496805.226253471,2738363.213967247,3414663.4986130847,3445412.556438718,3579717.575788813,1852917.7103087297,2094475.6980225055,2770775.982668343,2801525.0404939763,2935830.059844072
2037,2806642.5860027494,3236988.8150948193,3667030.5794261163,3977341.767758291,4017069.142009575,2117303.858128395,2547650.087220465,2977691.851551762,3288003.0398839368,3327730.4141352205
2038,3150957.6481887964,3735229.5189845553,4131076.5851164013,4236025.179316115,4458486.5282623805,2414111.364022698,2998383.2348184567,3394230.3009503027,3499178.8951500165,3721640.244096282
2039,3551134.118021113,4043865.2660277076,4725389.830088954,4874246.522005961,4932181.99249851,2764621.3396025943,3257352.487609189,3938877.051670435,4087733.7435874427,4145669.214079991
2040,4059855.9235752258,4477696.3892093515,5087270.376522414,5502035.310582382,5695745.108618527,3249712.866942828,3667553.332576954,4277127.319890017,4691892.253949984,4885602.051986129
2041,4523154.077441979,5106695.731244974,5681397.520666555,5906717.448226594,6446764.221619418,3688706.729110609,4272248.382913604,4846950.172335185,5072270.099895225,5612316.873288048
2042,4958828.683078542,5420365.287949952,6126880.76290568,6708143.410545492,7116399.991574524,4099347.914297232,4560884.519168641,5267399.994124369,5848662.641764181,6256919.222793214
2043,5314523.309367645,5587245.648371005,6557425.056242071,7184951.390876184,7905240.565873139,4429258.117522894,4701980.456526255,5672159.864397321,6299686.199031434,7019975.374028388
2044,5609875.374047311,6052934.50317511,6741137.477819961,7902262.2483325,8624923.987919021,4698052.226447217,5141111.355575016,5829314.330219869,6990439.100732407,7713100.8403189285
2045,6234895.909568827,6430258.588952675,7458051.928473748,8095157.850380983,9484060.634487446,5295718.067540731,5491080.746924581,6518874.086445653,7155980.008352887,8544882.79245935
2046,6715503.624770565,7111407.322023852,7190782.475015645,9198329.433103459,10165388.382821806,5748150.447481627,6144054.1447349135,6223429.297726707,8230976.255814521,9198035.205532867
2047,7198709.795119507,7474004.4326739805,8045012.837827833,10490513.176510874,10755241.804843113,6202336.022511901,6477630.660066374,7048639.065220227,9494139.403903268,9758868.032235507
2048,7698902.393464699,7993523.902797789,8646694.432156377,10609706.065741556,12163400.486376401,6672637.407678865,6967258.917011955,7620429.446370542,9583441.079955721,11137135.500590567
2049,8197683.990554586,8777686.825871086,9417252.38066945,11226357.10534295,12786190.313233634,7140631.055195177,7720633.890511675,8360199.445310039,10169304.16998354,11729137.377874224
2050,8045985.258618733,9653957.313829307,10433829.608074948,11370502.99744707,13573820.353672754,6957220.735198541,8565192.790409116,9345065.084654756,10281738.474026877,12485055.830252562
2051,7970305.017228454,10450204.578328503,11375831.886766933,12575069.236291967,14197842.166036658,6848877.558105655,9328777.119205706,10254404.427644135,11453641.777169168,13076414.706913862
2052,8742592.351691637,10821641.036526505,12283644.28923599,13757367.118991753,14855008.77062162,7587522.068795156,9666570.753630023,11128574.006339509,12602296.836095272,13699938.487725139
2053,9339100.684228534,10350752.690912412,13546868.68428697,14150545.967341943,15135981.063390287,8149378.292845157,9161030.299529037,12357146.292903595,12960823.575958567,13946258.67200691
2054,10489311.243931862,10914556.206322059,13802849.09008468,15292157.623413185,16320011.267815547,9263897.180806983,9689142.14319718,12577435.0269598,14066743.560288306,15094597.204690669
2055,11488543.170763629,12034105.35570487,13900191.217384454,15666541.118982611,17457898.20464495,10226366.685745005,10771928.870686246,12638014.73236583,14404364.633963987,16195721.719626322
2056,12447288.167041566,12963403.923100572,14004638.928560264,16487211.116776505,17670503.495987736,11147246.387472384,11663362.14353139,12704597.148991082,15187169.337207323,16370461.71641855
2057,12996327.550764725,14137253.464792114,15247568.16609624,16413403.320069795,17828629.311353628,11657284.517808463,12798210.431835854,13908525.13313998,15074360.287113536,16489586.27839737
2058,14535208.502134778,15281905.35336512,16156013.790606478,17186986.169980403,18317131.49842204,13155994.17818983,13902691.029420171,14776799.466661531,15807771.846035454,16937917.174477093
2059,15449214.321714476,17286986.560249858,17736259.374950025,18417883.303025182,18998876.308535874,14028623.56805118,15866395.806586564,16315668.621286731,16997292.54936189,17578285.55487258
2060,16843847.39609896,17801286.70089248,19424177.16856774,20035152.971753567,20793529.231788926,15380638.919825766,16338078.224619284,17960968.692294545,18571944.495480374,19330320.755515732
2061,17629746.337585934,19434860.562065028,20710463.046969205,21575332.369474117,22696541.369797207,16122641.607024547,17927755.831503637,19203358.316407815,20068227.638912726,21189436.639235817
2062,19646821.617760837,20913829.174739987,22414134.914600566,23087426.93122515,23856350.5583564,18094503.745282605,19361511.302261755,20861817.042122334,21535109.05874692,22304032.68587817
2063,19859209.32934409,21460572.64999827,24142078.83927501,25266888.703218937,26363991.315154776,18260321.920691513,19861685.24134569,22543191.430622432,23668001.294566356,24765103.9065022
2064,20944646.45279503,22307724.002539605,25607886.451256953,27685859.323483314,29121602.60429132,19297792.421882868,20660869.971627448,23961032.4203448,26039005.292571157,27474748.573379166
2065,23289015.57173439,24074932.63304615,27990534.93340941,30158568.359708533,32032829.263096485,21592755.91989487,22378672.981206626,26294275.28156989,28462308.707869012,30336569.611256965
2066,26140975.359192703,26724817.69152784,29330072.662066087,32790654.42409136,34733849.45851259,24393827.917797998,24977670.250133134,27582925.220671378,31043506.982696652,32986702.01711788
