year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,722695.0,535600.0,252306.4362744567,283293.5637255433,1005988.5637255433,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,130000.0,0.0,-3500.0,133500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26670.0,11430.0,18480.0,8190.0,7920.0,3510.0,13860.0,5940.0,5460.0,2340.0,19320.0,8280.0,38100.0,0.0,0.0,2850.0,10500.0,6600.0,3900.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,137125.0,62500.0,74625.0,410620.0,248850.0,161770.0,134950.0,124280.0,10670.0,131364.26991713225,3585.730082867748,40000.0,252306.4362744567
2027,801089.62,551668.0,238863.4466881951,312804.5533118049,1113894.173311805,81143.4,53827.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,134971.2,0.0,-10500.0,145471.2,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27695.85,11869.65,19219.199999999997,8476.65,8236.8,3632.8500000000004,14414.4,6177.599999999999,5651.099999999999,2421.9,20065.5,8599.5,39565.5,0.0,0.0,0.0,10900.5,6863.999999999999,4036.5,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,147378.375,62500.0,84878.375,467118.64499999996,285359.55,181759.09499999997,155892.59999999998,136149.65,19742.949999999997,148666.09964446945,7603.966463637027,30700.0,238863.4466881951
2028,939306.6298024999,568218.04,224626.78526484035,343591.2547351597,1282897.8845376596,84413.47902,55719.84717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,140133.32619,0.0,-3500.0,143633.32619,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28761.30075,12326.27175,19987.968,8773.332749999998,8566.272,3759.999749999999,14990.975999999999,6424.704,5848.888499999998,2506.6664999999994,20839.864499999996,8931.370499999999,41087.572499999995,0.0,0.0,0.0,11316.337499999998,7138.56,4177.777499999998,0.0,0.0,0.0,0.0,0.0,,165765.402,62500.0,103265.40199999999,556667.0466349999,342592.99567499995,213842.13367999997,188681.61619999996,148475.92174999998,40205.69444999998,176848.0263466161,11936.887428976534,28121.0,224626.78526484035
2029,1022856.4737265699,585264.5812,209549.59375303757,375714.98744696245,1398571.4611735323,87815.342224506,57678.39979802549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,145493.7420225315,0.0,-10500.0,155993.7420225315,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29867.886116249992,12800.522621249998,20787.486719999997,9080.399396249995,8908.92288,3891.5997412499983,15590.615039999999,6681.69216,6053.599597499997,2594.399827499999,21644.214637499994,9276.091987499998,42668.408737499994,0.0,0.0,0.0,11748.102112499997,7424.1024,4323.999712499998,0.0,0.0,0.0,0.0,0.0,,174011.44324025,62500.0,111511.44324024998,617858.6125624848,383266.33931585995,234592.27324662497,213378.41710383497,161276.44437124996,52101.972732585025,195836.65603825005,17217.762812992565,18464.63,209549.59375303757
2030,1224919.8379510448,602822.518636,193582.24739817757,409240.2712378224,1634160.1091888673,91354.3005161536,59705.7955509261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,151060.0960670797,0.0,-3500.0,154560.0960670797,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31017.199563918748,13293.085527393749,21618.9861888,9398.213375118747,9265.2797952,4027.8057321937495,16214.239641600001,6948.9598464,6265.475583412498,2685.2038214624995,22479.7152250125,9634.1636678625,44310.2850913125,0.0,0.0,0.0,12196.4061984375,7721.066496000001,4475.339702437499,0.0,0.0,0.0,0.0,0.0,,204260.445083772,62500.0,141760.445083772,747259.1774023621,465432.6463214736,281826.53108088847,259102.03693695494,174569.52989864373,84532.50703831123,235909.2966450025,22995.267140260024,15518.568900000002,193582.24739817757
2031,1428962.757659704,620907.19419508,176672.19160851187,444235.0025865681,1873197.760246272,95035.87882695459,61804.45426454115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,156840.33309149573,0.0,-10500.0,167340.33309149573,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32210.896479599905,13804.669919828531,22483.745636352003,9727.150843247902,9635.890987008,4168.77893282053,16862.809227264002,7226.918240256001,6484.767228831935,2779.1859552136866,23347.576456095936,10006.104195469688,46015.56639942844,0.0,0.0,0.0,12661.88574786281,8029.90915584,4631.976592022811,0.0,0.0,0.0,0.0,0.0,,234332.95087071223,62500.0,171832.95087071223,881625.8946060243,550465.4861430257,331160.4084629986,307519.78621596727,188374.19981847226,119145.58639749503,277954.2186460383,29565.567569928964,5484.125967000002,176672.19160851187
2032,1522273.4095499925,639534.4100209324,158763.76897806188,480770.6410428706,2003044.050592863,98865.82474368086,63976.88083193978,19736.056050290128,0.0,0.0,19736.056050290128,6890.794203699874,19736.056050290128,0.0,0.0,19736.056050290128,0.0,0.0,19736.056050290128,pre_retirement,brackets,married_joint,775.5,0.0,775.5,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,19736.056050290128,14066.056050290126,0.039293394022015336,0.0,162842.70557562064,0.0,-32275.5,195118.20557562064,31500.0,0.0,1.0,0.0,0.0,0.0,5648.649746010002,26626.85025399,0.0,0.0,0.0,0.0,0.0,0.0,33450.69658456766,14336.012821957569,23383.095461806086,10067.601122761576,10021.326626488322,4314.686195469247,17537.321596354566,7515.994969866242,6711.734081841051,2876.457463646165,24249.05567819562,10392.452433512408,47786.70940652523,0.0,0.0,0.0,13145.201294817209,8351.105522073602,4794.095772743608,0.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,214898.0051816898,55609.20579630013,159288.79938538966,966190.8541565768,607839.9117028851,358350.94245369174,342602.0675066335,202710.21264042985,139891.85486620368,304121.33540967136,37468.713193030766,0.0,158763.76897806188
2033,1833294.98669474,658720.4423215605,139798.03609699057,518922.4062245699,2352217.39291931,102850.1174808512,66225.66819318246,8360.345909085401,0.0,0.0,8360.345909085401,2268.1540909145974,8360.345909085401,0.0,0.0,8360.345909085401,0.0,0.0,8360.345909085401,pre_retirement,brackets,married_joint,128.5,0.0,128.5,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,8360.345909085401,2690.345909085402,0.01530423865787747,0.0,169075.78567403366,0.0,-10628.5,179704.28567403366,10500.0,0.0,1.0,0.0,0.0,0.0,0.0,10628.5,0.0,0.0,0.0,0.0,0.0,0.0,34738.38644233656,14887.879903858526,24318.41928027833,10419.967162058232,10422.179691547855,4465.70021231067,18238.814460208745,7816.6347686608915,6946.644774705488,2977.1334748737804,25185.459234914233,10793.768243534672,49626.26634619509,0.0,0.0,0.0,13647.038867746181,8685.149742956546,4961.8891247896345,0.0,0.0,0.0,0.0,0.0,,250622.67828371777,53327.41378001893,197295.26450369885,1168127.9007990642,734330.3568566793,433797.54394238483,412797.8140224392,217598.09254428837,195199.7214781508,367083.8631224319,45894.16498036331,0.0,139798.03609699057
2034,2128957.1351969866,678482.0555912073,119712.56954648899,558769.4860447184,2687726.6212417046,106994.97721532949,68553.50043017283,12866.4379556545,0.0,0.0,12866.4379556545,2975.5620443455,12866.4379556545,0.0,0.0,12866.4379556545,0.0,0.0,12866.4379556545,pre_retirement,brackets,married_joint,342.0,0.0,342.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,12866.4379556545,7196.4379556545,0.02658056144485667,0.0,175548.4776455023,0.0,-15842.0,191390.4776455023,15500.0,0.0,1.0,0.0,0.0,0.0,0.0,15842.0,0.0,0.0,0.0,0.0,0.0,0.0,36075.82206421973,15461.066598951315,25291.15605148946,10784.666012730268,10839.06687920977,4621.999719741544,18968.367038617096,8129.300159407327,7189.777341820179,3081.3331464943626,26158.144380437276,11210.633305901689,51536.88866317104,0.0,0.0,0.0,14168.110976832078,9032.555732674808,5135.555244157271,0.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,269060.1750679873,50440.60717223048,218525.69039778988,1371648.9741077991,865458.7962269138,506190.1778808854,488247.98602119985,233059.1591432397,255188.82687796018,430863.14695447485,56538.277359484346,0.0,119712.56954648899
2035,2335426.7507090843,698836.5172589436,98441.26043963364,600395.25681931,2935822.0075283945,111306.87479710727,70963.1559702934,8743.29483447002,0.0,0.0,8743.29483447002,1901.7051655299801,8743.29483447002,0.0,0.0,8743.29483447002,0.0,0.0,8743.29483447002,pre_retirement,brackets,married_joint,145.0,0.0,145.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,8743.29483447002,3073.29483447002,0.016660917731585234,0.0,182270.0307674007,0.0,-10645.0,192915.0307674007,10500.0,0.0,1.0,0.0,0.0,0.0,0.0,10645.0,0.0,0.0,0.0,0.0,0.0,0.0,37464.93161672487,16056.399264310658,26302.80229354904,11162.129323175828,11272.62955437816,4783.769709932498,19727.10172016178,8454.47216578362,7441.419548783885,3189.179806621665,27168.521268945664,11643.651972405285,53521.33088103552,0.0,0.0,0.0,14709.157639684576,9393.857961981801,5315.299677702775,0.0,0.0,0.0,0.0,0.0,,274368.3945172584,48561.44320871546,225512.61170866282,1516536.2358629166,961166.9016242732,555369.3342386435,544522.1203289093,249115.55840755036,295406.5619213589,475632.5156957118,68215.08766874686,0.0,98441.26043963364
