year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2026,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,923796.0637255433,1005988.5637255433,1070631.0637255432,640502.5,722695.0,787337.5
2027,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1029169.5008118049,1113894.173311805,1259682.608311805,716364.9475,801089.62,946878.0549999999
2028,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1110867.8734626598,1282897.8845376596,1365511.1930751596,767276.6187275,939306.6298024999,1021919.9383399999
2029,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1220393.1511171623,1398571.4611735323,1585636.2844821422,844678.1636701999,1022856.4737265699,1209921.2970351798
2030,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1323666.6442117412,1634160.1091888673,1807309.0157510587,914426.3729739186,1224919.8379510448,1398068.7445132362
2031,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1450928.5584020084,1873197.760246272,2014728.4830762793,1006693.5558154403,1428962.757659704,1570493.4804897113
2032,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1592027.6410781033,2003044.050592863,2302907.238462029,1111257.0000352329,1522273.4095499925,1822136.5974191586
2033,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1749713.3596755862,2352217.39291931,2553366.7953332113,1230790.9534510165,1833294.98669474,2034444.389108641
2034,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1932283.4551789649,2687726.6212417046,2829226.478689811,1373513.9691342465,2128957.1351969866,2270456.992645093
2035,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2199989.370715145,2935822.0075283945,3208882.288109134,1599594.1138958351,2335426.7507090843,2608487.0312898234
2036,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2496805.226253471,3414663.4986130847,3579717.575788813,1852917.7103087297,2770775.982668343,2935830.059844072
2037,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2806642.5860027494,3667030.5794261163,4017069.142009575,2117303.858128395,2977691.851551762,3327730.4141352205
2038,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3150957.6481887964,4131076.5851164013,4458486.5282623805,2414111.364022698,3394230.3009503027,3721640.244096282
2039,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3551134.118021113,4725389.830088954,4932181.99249851,2764621.3396025943,3938877.051670435,4145669.214079991
2040,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4059855.9235752258,5087270.376522414,5695745.108618527,3249712.866942828,4277127.319890017,4885602.051986129
2041,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4523154.077441979,5681397.520666555,6446764.221619418,3688706.729110609,4846950.172335185,5612316.873288048
2042,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4958828.683078542,6126880.76290568,7116399.991574524,4099347.914297232,5267399.994124369,6256919.222793214
2043,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5314523.309367645,6557425.056242071,7905240.565873139,4429258.117522894,5672159.864397321,7019975.374028388
2044,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5609875.374047311,6741137.477819961,8624923.987919021,4698052.226447217,5829314.330219869,7713100.8403189285
2045,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6234895.909568827,7458051.928473748,9484060.634487446,5295718.067540731,6518874.086445653,8544882.79245935
2046,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6715503.624770565,7190782.475015645,10165388.382821806,5748150.447481627,6223429.297726707,9198035.205532867
2047,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7198709.795119507,8045012.837827833,10755241.804843113,6202336.022511901,7048639.065220227,9758868.032235507
2048,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7698902.393464699,8646694.432156377,12163400.486376401,6672637.407678865,7620429.446370542,11137135.500590567
2049,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8197683.990554586,9417252.38066945,12786190.313233634,7140631.055195177,8360199.445310039,11729137.377874224
