year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0
2027,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29126.21359223301,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,0.0
2028,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28277.87727401263,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,0.0
2029,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27454.249780594786,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,0.0
2030,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26654.611437470663,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,0.0
2031,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25878.263531524917,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4890.991807458209,0.0,0.0,0.0,0.0
2032,pre_retirement,brackets,married_joint,0.0,0.0,16528.636231144163,5770.931661645622,16528.636231144163,0.0,0.0,16528.636231144163,0.0,0.0,16528.636231144163,16528.636231144163,25124.527700509625,0.0,0.0,0.0,649.4690410581738,649.4690410581738,1.0,oregon,married_joint,4748.535735396319,16528.636231144163,11780.100495747844,0.039293394022015336,0.0
2033,pre_retirement,brackets,married_joint,0.0,0.0,6797.726290571472,1844.2168377413602,6797.726290571472,0.0,0.0,6797.726290571472,0.0,0.0,6797.726290571472,6797.726290571472,24392.745340300607,0.0,0.0,0.0,104.48225920762093,104.48225920762093,1.0,oregon,married_joint,4610.228869316815,6797.726290571472,2187.497421254658,0.01530423865787747,0.0
2034,pre_retirement,brackets,married_joint,0.0,0.0,10156.884934920978,2348.9361550803897,10156.884934920978,0.0,0.0,10156.884934920978,0.0,0.0,10156.884934920978,10156.884934920978,23682.277029418066,0.0,0.0,0.0,269.97795813536595,269.97795813536595,1.0,oregon,married_joint,4475.950358560014,10156.884934920978,5680.934576360962,0.02658056144485667,0.0
2035,pre_retirement,brackets,married_joint,0.0,0.0,6701.007456951424,1457.498658846483,6701.007456951424,0.0,0.0,6701.007456951424,0.0,0.0,6701.007456951424,6701.007456951424,22992.5019703088,0.0,0.0,0.0,111.13042618982587,111.13042618982587,1.0,oregon,married_joint,4345.582872388363,6701.007456951424,2355.42458456306,0.016660917731585234,0.0
2036,pre_retirement,brackets,married_joint,0.0,0.0,2206.8664700383197,397.4622321002177,2206.8664700383197,0.0,0.0,2206.8664700383197,0.0,0.0,13457.5664632768,2206.8664700383197,22322.817446901747,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4219.01249746443,2206.8664700383197,0.0,0.0,0.0
2037,pre_retirement,brackets,married_joint,0.0,0.0,6595.717178044895,1108.183315604303,6595.717178044895,0.0,0.0,6595.717178044895,0.0,0.0,17518.726880218175,6595.717178044895,21672.638297962858,0.0,0.0,0.0,118.47708936219696,118.47708936219696,1.0,oregon,married_joint,4096.128638314981,6595.717178044895,2499.5885397299144,0.017962837166009875,0.0
2038,pre_retirement,brackets,married_joint,0.0,11222.078083087565,0.0,0.0,0.0,0.0,0.0,11222.078083087565,0.0,0.0,21826.941871605315,11222.078083087565,21041.396405789186,0.0,0.0,0.0,366.8216773409248,366.8216773409248,1.0,oregon,married_joint,3976.8239206941557,11222.078083087565,7245.254162393409,0.0326875,0.0
2039,pre_retirement,brackets,married_joint,0.0,10895.22143989084,0.0,0.0,0.0,0.0,0.0,10895.22143989084,0.0,0.0,21191.20570058768,10895.22143989084,20428.540199795323,0.0,0.0,0.0,356.1375508164318,356.1375508164318,1.0,oregon,married_joint,3860.9940977613164,10895.22143989084,7034.227342129523,0.0326875,0.0
2040,pre_retirement,brackets,married_joint,0.0,10577.884893097902,0.0,0.0,0.0,0.0,0.0,10577.884893097902,0.0,0.0,20573.98611707542,10577.884893097902,19833.53417455857,0.0,0.0,0.0,345.7646124431377,345.7646124431377,1.0,oregon,married_joint,3748.537958991569,10577.884893097902,6829.346934106333,0.0326875,0.0
2041,pre_retirement,brackets,married_joint,0.0,10269.791158347478,0.0,0.0,0.0,0.0,0.0,10269.791158347478,15866.827339646854,0.5,26136.618497994332,26136.618497994332,19255.85842190152,6880.760076092811,0.026326129666011788,688.0760076092811,335.6937984884832,1023.7698060977643,1.0,oregon,married_joint,3639.357241739388,10269.791158347478,6630.433916608091,0.0326875,0.0
2042,pre_retirement,brackets,married_joint,0.0,0.0,44170.306787085414,0.0,0.0,0.0,0.0,44170.306787085414,26187.967453786066,0.85,59574.99352460663,70358.27424087148,18695.008176603416,51663.26606426807,0.0838859466498707,5902.3412977041735,3170.0502198127197,9072.391517516891,1.0,oregon,married_joint,3533.3565453780457,44170.306787085414,40636.95024170737,0.07176455062686446,0.0
2043,retirement,brackets,married_joint,0.0,0.0,56309.56578378138,0.0,0.0,0.0,0.0,56309.56578378138,25425.211120180647,0.85,71265.57232506412,81734.77690396202,18150.49337534312,63584.28352861891,0.0958504106297617,7834.315089163151,4252.358089619971,12086.673178783123,1.0,oregon,married_joint,3430.44324793985,56309.56578378138,52879.12253584153,0.07551750106933111,0.0
2044,retirement,brackets,married_joint,0.0,0.0,50210.230889660146,0.0,0.0,0.0,0.0,50210.230889660146,24684.670990466646,0.85,64730.62558993464,74894.9018801268,17621.83822848847,57273.063651638324,0.08937795299922732,6697.742336258111,3738.17928287002,10435.92161912813,1.0,oregon,married_joint,3330.5274251843202,50210.230889660146,46879.703464475824,0.07443410952719359,0.0
2045,retirement,brackets,married_joint,0.0,0.0,50956.800298637914,0.0,0.0,0.0,0.0,50956.800298637914,23965.699990744317,0.85,65054.27088142869,74922.50028938222,17108.580804357734,57813.91948502448,0.09233622998955765,6918.112821974491,3822.912380733736,10741.025202708228,1.0,oregon,married_joint,3233.521772023612,50956.800298637914,47723.2785266143,0.0750224765728692,0.0
2046,retirement,brackets,married_joint,0.0,0.0,56458.73553021747,0.0,0.0,0.0,0.0,56458.73553021747,23267.669893926522,0.85,70145.60017370366,79726.40542414397,16610.272625590034,63116.13279855395,0.1035091371294651,8253.559444098473,4322.546612932713,12576.106057031187,1.0,oregon,married_joint,3139.3415262365165,56458.73553021747,53319.39400398095,0.07655848143198457,0.0
2047,retirement,brackets,married_joint,0.0,0.0,84697.05721906023,0.0,0.0,0.0,0.0,84697.05721906023,22589.970770802447,0.85,97985.27531953226,107287.02798986266,16126.478277271879,91160.54971259079,0.1359654926057402,14587.36970222299,6811.555649681687,21398.925351904676,1.0,oregon,married_joint,3047.904394404385,84697.05721906023,81649.15282465584,0.08042253915158937,0.0
2048,retirement,brackets,married_joint,0.0,0.0,91039.4668625686,0.0,0.0,0.0,0.0,91039.4668625686,21932.010457089757,0.85,103940.64948438611,112971.47731965836,15656.775026477553,97314.7022931808,0.14250439823418387,16100.543985522121,7383.735102486814,23484.279088008934,1.0,oregon,married_joint,2959.1304800042576,91039.4668625686,88080.33638256433,0.08110295574460254,0.0
2049,retirement,brackets,married_joint,0.0,0.0,95698.78452067942,0.0,0.0,0.0,0.0,95698.78452067942,21293.21403600947,0.85,108224.20454186146,116991.9985566889,15200.752452890827,101791.24610379807,0.14735348844589125,17240.005677808724,7808.626535050018,25048.63221285874,1.0,oregon,married_joint,2872.9422135963664,95698.78452067942,92825.84230708306,0.08159503696614369,0.0
2050,retirement,brackets,married_joint,0.0,0.0,100041.35370013899,0.0,0.0,0.0,0.0,100041.35370013899,20673.023335931524,0.85,112201.95566245166,120714.37703607051,14758.012090185268,105956.36494588525,0.15234414961699655,18391.923554939443,8205.208755274838,26597.132310214285,1.0,oregon,married_joint,2789.2642850450156,100041.35370013899,97252.08941509397,0.08201682473098307,0.0
2051,retirement,brackets,married_joint,0.0,0.0,108719.99774016778,0.0,0.0,0.0,0.0,108719.99774016778,20070.896442651963,0.85,120526.40741231598,128790.89418281973,14328.167077849774,114462.72710496996,0.16023602739762982,20638.429231335496,8980.417518826976,29618.84675016247,1.0,oregon,married_joint,2708.023577713607,108719.99774016778,106011.97416245416,0.08260034257117004,0.0
2052,retirement,brackets,married_joint,0.0,0.0,113088.60579723094,0.0,0.0,0.0,0.0,113088.60579723094,19486.30722587569,0.85,124551.13945951074,132574.9130231066,13910.841823155119,118664.07119995149,0.16474708434325447,21845.76031725312,9378.225862443744,31223.98617969686,1.0,oregon,married_joint,2629.1491045763178,113088.60579723094,110459.45669265461,0.0829253482052027,0.0
2053,retirement,brackets,married_joint,0.0,0.0,118311.45925210134,0.0,0.0,0.0,0.0,118311.45925210134,18918.74487949096,0.85,129440.13271062545,137230.2041315923,13505.671672966137,123724.53245862617,0.16944816857320966,23253.483158288494,9887.052042722742,33140.53520101124,1.0,oregon,married_joint,2552.5719461905996,118311.45925210134,115758.88730591074,0.0835678334627422,0.0
2054,retirement,brackets,married_joint,0.0,0.0,124555.97584025079,0.0,0.0,0.0,0.0,124555.97584025079,18367.713475233944,0.85,135360.5131786237,142923.68931548472,13112.302595112753,129811.38672037199,0.1742212896938802,24901.912782033174,10558.681664714546,35460.594446747724,1.0,oregon,married_joint,2478.22519047631,124555.97584025079,122077.75064977448,0.08476745625338097,0.0
2055,retirement,brackets,married_joint,0.0,0.0,125721.94452633579,0.0,0.0,0.0,0.0,125721.94452633579,17832.731529353343,0.85,136211.786602426,143554.67605568914,12730.390869041506,130824.28518664764,0.17639446647528984,25327.129385711836,10725.566480348622,36052.69586606046,1.0,oregon,married_joint,2406.043874248845,125721.94452633579,123315.90065208694,0.08530223663585598,0.0
2056,retirement,brackets,married_joint,0.0,0.0,121482.99596637907,0.0,0.0,0.0,0.0,121482.99596637907,17313.331581896447,0.85,131667.30866161227,138796.32754827553,12359.602785477191,126436.72476279835,0.17585260823701518,24450.931361437048,10356.111173951338,34807.042535388384,1.0,oregon,married_joint,2335.964926455189,121482.99596637907,119147.0310399239,0.08515973190156342,0.0
2057,retirement,brackets,married_joint,0.0,0.0,114645.3094638097,0.0,0.0,0.0,0.0,114645.3094638097,16809.05978824898,0.85,124532.99169219144,131454.36925205868,11999.614354832223,119454.75489722645,0.17455223172625473,22946.92507666002,9727.887363889904,32674.812440549926,1.0,oregon,married_joint,2267.9271130632906,114645.3094638097,112377.3823507464,0.08484928364621737,0.0
2058,retirement,brackets,married_joint,0.0,0.0,121117.29266915003,0.0,0.0,0.0,0.0,121117.29266915003,16319.475522571825,0.85,130716.98415301582,137436.76819172187,11650.111024108955,125786.6571676129,0.17923046661634817,24633.24810986367,10415.781761104612,35049.02987096828,1.0,oregon,married_joint,2201.870983556593,121117.29266915003,118915.42168559344,0.08599668109707498,0.0
