year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2026,859337.4373290068,915060.920294707,973598.7495838401,1027146.0949826053,1085396.099438512,576043.8736034635,631767.3565691635,690305.1858582967,743852.531257062,802102.5357129687
2027,884636.9088682771,962240.7888047032,1063267.5113528247,1149981.7657974316,1227547.0315884915,571832.3555564722,649436.2354928983,750462.95804102,837177.2124856266,914742.4782766867
2028,957700.6905746484,1049392.6904569326,1162253.2882800663,1281684.7327229897,1398193.314192571,614109.4358394888,705801.4357217731,818662.0335449065,938093.4779878301,1054602.0594574113
2029,1025843.1727354542,1134223.0911273912,1254950.330082034,1442683.923421492,1624753.9725998477,650128.1852884918,758508.1036804288,879235.3426350716,1066968.9359745297,1249038.9851528853
2030,1087523.2365404998,1219530.7332900772,1394925.946224933,1602616.3398417067,1852896.3819991006,678282.9653026774,810290.4620522547,985685.6749871105,1193376.0686038844,1443656.110761278
2031,1169203.2679636818,1311864.3236278608,1521584.6949398646,1776744.065865125,2081524.3241851572,724968.2653771137,867629.3210412926,1077349.6923532966,1332509.063278557,1637289.321598589
2032,1247781.1943974637,1411153.3002716205,1632240.0987666869,1933817.204528124,2280021.7817482594,767010.553354593,930382.65922875,1151469.4577238164,1453046.5634852536,1799251.140705389
2033,1316315.1564782772,1507670.525233344,1783662.584209182,2125021.0516191777,2530391.7519474993,797392.7502537073,988748.1190087742,1264740.177984612,1606098.645394608,2011469.3457229298
2034,1453652.4258479718,1604553.6876921135,1902583.2448714331,2264138.4714959096,2763415.9857016923,894882.9398032534,1045784.201647395,1343813.7588267147,1705368.9854511914,2204646.499656974
2035,1542415.8528145803,1715067.418648752,2015350.3969883313,2535813.8328208677,3039594.50361128,942020.5959952704,1114672.1618294418,1414955.1401690212,1935418.5760015575,2439199.24679197
2036,1691324.3334579314,1864848.1571200502,2161269.6648403546,2699697.5277642645,3332692.5874791318,1047436.8175131901,1220960.641175309,1517382.1488956136,2055810.0118195235,2688805.0715343906
2037,1781973.8977554163,1961366.007334939,2348468.4282594575,3008436.5204356774,3635589.8703764407,1092635.169881062,1272027.2794605843,1659129.7003851025,2319097.792561323,2946251.1425020862
2038,1830863.0261851433,2082496.1659473986,2459450.799649052,3208905.360921833,4002693.341995376,1094016.7420190447,1345649.8817812998,1722604.515482953,2472059.0767557346,3265847.0578292776
