year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,690305.1858582967,535600.0,252306.4362744567,283293.5637255433,973598.7495838401,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,130000.0,0.0,-3500.0,133500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26670.0,11430.0,18480.0,8190.0,7920.0,3510.0,13860.0,5940.0,5460.0,2340.0,19320.0,8280.0,38100.0,0.0,0.0,2850.0,10500.0,6600.0,3900.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,130204.0995423711,62500.0,67704.0995423711,391241.4787186391,237222.88723118344,154018.59148745565,128859.60759728657,124280.0,4579.607597286566,125270.22077588353,3589.3868214030426,40000.0,252306.4362744567
2027,728604.8136320582,535600.0,231906.2589205778,303693.74107942224,1032298.5547114804,78780.0,52260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,29126.21359223301,0.0,0.0,1.0,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,0.0,131040.00000000001,0.0,-10194.174757281553,141234.17475728158,10194.174757281553,0.0,1.0,0.0,0.0,0.0,10194.174757281553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26889.17475728155,11523.932038834952,18659.417475728154,8229.757281553399,7996.893203883495,3527.038834951457,13994.563106796117,5997.669902912621,5486.504854368932,2351.359223300971,19481.06796116505,8349.029126213592,38413.1067961165,0.0,0.0,0.0,10583.009708737864,6664.077669902912,3918.9320388349515,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,132272.63617546269,60679.611650485436,71593.02452497726,424178.88421207713,259530.7077286621,164648.17648341507,142222.14745218385,132184.12621359222,10038.021238591622,135186.6816495185,7161.426669494382,29805.825242718445,231906.2589205778
2028,771667.4837825493,535600.0,211732.2888725048,323867.7111274952,1095535.1949100445,79567.8,52521.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,28277.87727401263,0.0,0.0,1.0,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,0.0,132089.1,0.0,-3299.0856819681403,135388.18568196814,3299.0856819681403,0.0,1.0,0.0,0.0,0.0,3299.0856819681403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27110.28442831558,11618.693326420964,18840.57686869639,8269.70755961919,8074.532943727025,3544.160382693938,14130.432651522291,6055.899707795268,5513.138373079459,2362.7735884626254,19643.571024601748,8418.673296257894,38728.97775473654,0.0,0.0,0.0,10666.733433876894,6728.777453105854,3937.955980771042,0.0,0.0,0.0,0.0,0.0,,134095.4596501151,58912.244320859645,75183.21532925547,455808.33381661226,280968.0830637461,174791.1274060625,155740.68158869015,139952.7964464134,15787.885142276755,144780.5128144746,10899.262370530805,26506.739560750306,211732.2888725048
2029,804624.8904210031,535600.0,191767.56294393528,343832.4370560647,1148457.3274770677,80363.478,52783.90649999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,27454.249780594786,0.0,0.0,1.0,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,0.0,133147.38450000001,0.0,-9608.987423208175,142756.37192320818,9608.987423208175,0.0,1.0,0.0,0.0,0.0,9608.987423208175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27333.346861796213,11714.291512198379,19023.495090722565,8309.851771073649,8152.926467452528,3561.3650447458494,14267.621318041924,6114.694850589396,5539.901180715766,2374.2433631638996,19807.522498757688,8488.938213753296,39047.638373994596,0.0,0.0,0.0,10751.177661483605,6794.1053895437735,3957.0722719398327,0.0,0.0,0.0,0.0,0.0,,134507.16367149467,57196.35370957247,77310.80996192219,484996.23914006667,301354.7343036136,184001.92347772638,168976.01313060435,147590.79291648322,21385.22021412114,153375.0977253517,14876.289401032747,16897.75213754213,191767.56294393528
2030,875768.9555420808,535599.9999999999,171995.31951969131,363604.6804803086,1239373.6360223894,81167.11278,53047.826032499994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,26654.611437470663,0.0,0.0,1.0,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,0.0,134214.93881249998,0.0,-3109.7046677049107,137324.6434802049,3109.7046677049107,0.0,1.0,0.0,0.0,0.0,3109.7046677049107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27558.38007515796,11810.734317924838,19208.189217816962,8350.190857340996,8232.081093350125,3578.653224574714,14406.14191336272,6174.060820012594,5566.793904893998,2385.7688163831426,19972.93581825672,8559.829636395736,39369.1143930828,0.0,0.0,0.0,10836.348938430343,6860.067577791772,3976.2813606385707,0.0,0.0,0.0,0.0,0.0,,139744.9802535331,55530.44049473055,84214.53975880257,534850.5077919236,335109.2210623143,200071.91486740846,188166.92917075905,155102.76627567553,33064.1628950835,168592.94368781277,18920.186396797035,13788.04746983722,171995.31951969131
2031,929331.30847753,535599.9999999999,152398.9844379045,383201.01556209545,1312532.3240396255,81978.7839078,53313.0651626625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,25878.263531524917,0.0,0.0,1.0,oregon,married_joint,4890.991807458209,0.0,0.0,0.0,0.0,135291.8490704625,0.0,-9057.39223603372,144349.2413064962,9057.39223603372,0.0,1.0,0.0,0.0,0.0,9057.39223603372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27785.402256191817,11908.029538367922,19394.67649177635,8390.725764415467,8312.004210761292,3596.025327606629,14546.007368832263,6234.00315807097,5593.817176276979,2397.3502184044196,20139.82454510924,8631.35337647539,39693.43179455974,0.0,0.0,0.0,10922.253872975109,6926.67017563441,3995.583697340699,0.0,0.0,0.0,0.0,0.0,,144614.7238043038,53913.049024010244,90701.67478029356,576915.292903231,363262.6742100748,214129.50822807002,205729.72798747272,162493.23951475194,43236.4884727208,181699.78528692672,23045.603115745467,4730.655233803499,152398.9844379045
2032,964337.5428957606,535600.0,132962.15705088756,402637.8429491124,1366975.3858448733,82798.57174687799,53579.630488475814,14205.348138353085,0.0,0.0,14205.348138353085,7933.004035025097,14205.348138353085,0.0,0.0,14205.348138353085,0.0,0.0,14205.348138353085,pre_retirement,brackets,married_joint,488.25332164657044,0.0,488.25332164657044,25124.527700509625,0.0,0.0,1.0,oregon,married_joint,4748.535735396319,14205.348138353085,9456.812402956766,0.034503794708090445,0.0,136378.20223535382,0.0,-26869.007407181678,163247.20964253548,26380.754085535107,0.0,1.0,0.0,0.0,0.0,4730.655233803499,22138.35217337818,0.0,0.0,0.0,0.0,0.0,0.0,28014.431764677098,12006.18504200447,19582.974321793597,8431.457442883502,8392.703280768685,3613.481761235786,14687.2307413452,6294.527460576514,5620.971628589001,2408.987840823858,20308.202369934203,8703.515301400372,40020.61680668157,0.0,0.0,0.0,11008.899135347,6993.9194006405705,4014.9797347064296,0.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,123932.74930694525,44409.76200770329,79522.98729924194,616886.9647017282,389941.5337698293,226796.14814435376,220299.1556216274,169766.61175535587,50532.543866271546,193621.7151969772,27202.191553581968,0.0,132962.15705088756
2033,1028349.5027741703,535600.0,113668.59645293475,421931.4035470652,1450280.9063212355,83626.55746434677,53847.52864091818,5664.313341175191,0.0,0.0,5664.313341175191,2923.1526558776377,5664.313341175191,0.0,0.0,5664.313341175191,0.0,0.0,5664.313341175191,pre_retirement,brackets,married_joint,50.005127947616245,0.0,50.005127947616245,24392.745340300607,0.0,0.0,1.0,oregon,married_joint,4610.228869316815,5664.313341175191,1054.0844718583762,0.008806056374476762,0.0,137474.08610526496,0.0,-8587.465997052828,146061.5521023178,8537.460869105213,0.0,1.0,0.0,0.0,0.0,0.0,8587.465997052828,0.0,0.0,0.0,0.0,0.0,0.0,28245.487134028896,12105.20877172667,19773.100286082856,8472.386847946043,8474.185836892651,3631.0229348340176,14829.825214562139,6355.6393776694895,5648.257898630695,2420.681956556012,20478.083113192835,8776.321334225502,40350.695905755565,0.0,0.0,0.0,11096.291458337231,7061.821530743877,4034.4699275933535,0.0,0.0,0.0,0.0,0.0,,117954.7941072477,40108.61705801176,78763.03521430075,669679.0286102869,424596.4832353124,243826.9485269626,240961.07074916735,176927.16193226635,64033.908816901014,210061.52802667994,31313.18139597591,0.0,113668.59645293475
2034,1060818.9904159284,535600.0,94502.20786344762,441097.79213655245,1501916.782552481,84462.82303899023,54116.76628412279,8372.29873511941,0.0,0.0,8372.29873511941,4049.0555668103652,8372.29873511941,0.0,0.0,8372.29873511941,0.0,0.0,8372.29873511941,pre_retirement,brackets,married_joint,185.51117006377484,0.0,185.51117006377484,23682.277029418066,0.0,0.0,1.0,oregon,married_joint,4475.950358560014,8372.29873511941,3896.3483765593955,0.022078742562056414,0.0,138579.589323113,0.0,-12421.354301929776,151000.94362504277,12235.843131866,0.0,1.0,0.0,0.0,0.0,0.0,12421.354301929776,0.0,0.0,0.0,0.0,0.0,0.0,28478.587072961476,12205.10874555492,19965.07213352055,8513.514939440924,8556.459485794523,3648.649259760397,14973.804100140414,6417.344614345891,5675.67662629395,2432.4328398402645,20649.480726434365,8849.777454186156,40683.6958185164,0.0,0.0,0.0,11184.437637895875,7130.382904828769,4054.0547330671075,0.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,105786.78683566678,34861.10070127483,71498.29992755613,698686.9492310006,445289.49231770565,253351.18834258022,253667.92761302902,183979.05236911448,69688.87524391453,218292.89329510392,35240.27975240529,0.0,94502.20786344762
2035,1084445.2949411594,535600.0000000001,75447.02915393194,460152.9708460682,1544598.2657872278,85307.45126938014,54387.3501155434,5522.357090567406,0.0,0.0,5522.357090567406,2581.733437234103,5522.357090567406,0.0,0.0,5522.357090567406,0.0,0.0,5522.357090567406,pre_retirement,brackets,married_joint,56.71483819342838,0.0,56.71483819342838,22992.5019703088,0.0,0.0,1.0,oregon,married_joint,4345.582872388363,5522.357090567406,1176.774218179042,0.010242556821562436,0.0,139694.80138492354,0.0,-8104.090527801509,147798.89191272506,8047.37568960808,0.0,1.0,0.0,0.0,0.0,0.0,8104.090527801509,0.0,0.0,0.0,0.0,0.0,0.0,28713.7504671677,12305.893057357587,20158.90778530231,8554.842681865395,8639.531907986702,3666.361149370884,15119.180838976728,6479.648930990027,5703.228454576931,2444.240766247256,20822.409293553657,8923.889697237282,41019.64352452529,0.0,0.0,0.0,11273.344533734346,7199.609923322253,4073.734610412093,0.0,0.0,0.0,0.0,0.0,,99588.07790701535,31124.97793490968,67986.67867871666,726124.2273063024,464874.3379095789,260789.67496830144,265876.22786326427,190926.33225067263,74949.89561259163,226784.97766669252,39434.25274757073,0.0,75447.02915393194
