year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,690305.1858582967,535600.0,252306.4362744567,283293.5637255433,973598.7495838401,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,130000.0,0.0,-3500.0,133500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26670.0,11430.0,18480.0,8190.0,7920.0,3510.0,13860.0,5940.0,5460.0,2340.0,19320.0,8280.0,38100.0,0.0,0.0,2850.0,10500.0,6600.0,3900.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,130204.0995423711,62500.0,67704.0995423711,391241.4787186391,237222.88723118344,154018.59148745565,128859.60759728657,124280.0,4579.607597286566,125270.22077588353,3589.3868214030426,40000.0,252306.4362744567
2027,750462.95804102,551668.0,238863.4466881951,312804.5533118049,1063267.5113528247,81143.4,53827.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,134971.2,0.0,-10500.0,145471.2,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27695.85,11869.65,19219.199999999997,8476.65,8236.8,3632.8500000000004,14414.4,6177.599999999999,5651.099999999999,2421.9,20065.5,8599.5,39565.5,0.0,0.0,0.0,10900.5,6863.999999999999,4036.5,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,136240.81526072658,62500.0,73740.81526072658,436904.2507384395,267316.62896052195,169587.6217779175,146488.81187574938,136149.65,10339.16187574937,139242.28209900408,7376.269469579213,30700.0,238863.4466881951
2028,818662.0335449065,568218.04,224626.78526484035,343591.2547351597,1162253.2882800663,84413.47902,55719.84717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,140133.32619,0.0,-3500.0,143633.32619,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28761.30075,12326.27175,19987.968,8773.332749999998,8566.272,3759.999749999999,14990.975999999999,6424.704,5848.888499999998,2506.6664999999994,20839.864499999996,8931.370499999999,41087.572499999995,0.0,0.0,0.0,11316.337499999998,7138.56,4177.777499999998,0.0,0.0,0.0,0.0,0.0,,142261.87314280713,62500.0,79761.87314280713,483567.06134604395,298079.0393223283,185435.9070650917,165225.2890974414,148475.92174999998,16749.36734744141,153597.64604487614,11563.027448896131,28121.0,224626.78526484035
2029,879235.3426350716,585264.5812,209549.59375303757,375714.98744696245,1254950.330082034,87815.342224506,57678.39979802549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,145493.7420225315,0.0,-10500.0,155993.7420225315,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29867.886116249992,12800.522621249998,20787.486719999997,9080.399396249995,8908.92288,3891.5997412499983,15590.615039999999,6681.69216,6053.599597499997,2594.399827499999,21644.214637499994,9276.091987499998,42668.408737499994,0.0,0.0,0.0,11748.102112499997,7424.1024,4323.999712499998,0.0,0.0,0.0,0.0,0.0,,146979.60943726136,62500.0,84479.60943726136,529968.4854068076,329298.4547513848,201063.86983604555,184644.65190016592,161276.44437124996,23368.207528915955,167597.11041213042,16255.723088322313,18464.63,209549.59375303757
2030,985685.6749871105,602822.518636,193582.24739817757,409240.2712378224,1394925.946224933,91354.3005161536,59705.7955509261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,151060.0960670797,0.0,-3500.0,154560.0960670797,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31017.199563918748,13293.085527393749,21618.9861888,9398.213375118747,9265.2797952,4027.8057321937495,16214.239641600001,6948.9598464,6265.475583412498,2685.2038214624995,22479.7152250125,9634.1636678625,44310.2850913125,0.0,0.0,0.0,12196.4061984375,7721.066496000001,4475.339702437499,0.0,0.0,0.0,0.0,0.0,,157284.20642862757,62500.0,94784.20642862757,601978.9585527837,377168.38061787235,225182.70281683825,211783.53653233533,174569.52989864373,37214.00663369159,189752.8434244672,21294.836476437224,15518.568900000002,193582.24739817757
2031,1077349.6923532966,620907.19419508,176672.19160851187,444235.0025865681,1521584.6949398646,95035.87882695459,61804.45426454115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,156840.33309149573,0.0,-10500.0,167340.33309149573,10500.0,0.0,1.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32210.896479599905,13804.669919828531,22483.745636352003,9727.150843247902,9635.890987008,4168.77893282053,16862.809227264002,7226.918240256001,6484.767228831935,2779.1859552136866,23347.576456095936,10006.104195469688,46015.56639942844,0.0,0.0,0.0,12661.88574786281,8029.90915584,4631.976592022811,0.0,0.0,0.0,0.0,0.0,,167648.1000683845,62500.0,105148.10006838448,668802.9421299065,421121.00037262705,248234.78743141014,238497.13996866829,188374.19981847226,50122.940150196024,210639.85038901074,26716.170218691026,5484.125967000002,176672.19160851187
2032,1151469.4577238164,639534.4100209324,158763.76897806188,480770.6410428706,1632240.0987666869,98865.82474368086,63976.88083193978,16961.928567594456,0.0,0.0,16961.928567594456,9472.421686395543,16961.928567594456,0.0,0.0,16961.928567594456,0.0,0.0,16961.928567594456,pre_retirement,brackets,married_joint,583.0,0.0,583.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,16961.928567594456,11291.928567594457,0.034503794708090445,0.0,162842.70557562064,0.0,-32083.0,194925.70557562064,31500.0,0.0,1.0,0.0,0.0,0.0,5648.649746010002,26434.35025399,0.0,0.0,0.0,0.0,0.0,0.0,33450.69658456766,14336.012821957569,23383.095461806086,10067.601122761576,10021.326626488322,4314.686195469247,17537.321596354566,7515.994969866242,6711.734081841051,2876.457463646165,24249.05567819562,10392.452433512408,47786.70940652523,0.0,0.0,0.0,13145.201294817209,8351.105522073602,4794.095772743608,0.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,147982.18392511082,53027.57831360446,94954.60561150635,736595.2969009029,465610.5839099054,270806.46153569693,263048.7126934038,202710.21264042985,60338.50005297398,231194.45368883462,32480.83929517632,0.0,158763.76897806188
2033,1264740.177984612,658720.4423215605,139798.03609699057,518922.4062245699,1783662.584209182,102850.1174808512,66225.66819318246,6966.390943888794,0.0,0.0,6966.390943888794,3595.109056111206,6966.390943888794,0.0,0.0,6966.390943888794,0.0,0.0,6966.390943888794,pre_retirement,brackets,married_joint,61.5,0.0,61.5,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,6966.390943888794,1296.390943888794,0.008806056374476762,0.0,169075.78567403366,0.0,-10561.5,179637.28567403366,10500.0,0.0,1.0,0.0,0.0,0.0,0.0,10561.5,0.0,0.0,0.0,0.0,0.0,0.0,34738.38644233656,14887.879903858526,24318.41928027833,10419.967162058232,10422.179691547855,4465.70021231067,18238.814460208745,7816.6347686608915,6946.644774705488,2977.1334748737804,25185.459234914233,10793.768243534672,49626.26634619509,0.0,0.0,0.0,13647.038867746181,8685.149742956546,4961.8891247896345,0.0,0.0,0.0,0.0,0.0,,145069.51857407542,49328.53989798282,96868.59857160723,823620.7355109059,522200.1180824198,299876.3916796064,296351.72349919414,217598.09254428837,78753.63095490573,258349.1834512276,38511.26344221903,0.0,139798.03609699057
2034,1343813.7588267147,678482.0555912073,119712.56954648899,558769.4860447184,1902583.2448714331,106994.97721532949,68553.50043017283,10605.777550088653,0.0,0.0,10605.777550088653,5129.222449911347,10605.777550088653,0.0,0.0,10605.777550088653,0.0,0.0,10605.777550088653,pre_retirement,brackets,married_joint,235.0,0.0,235.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,10605.777550088653,4935.777550088653,0.022078742562056414,0.0,175548.4776455023,0.0,-15735.0,191283.4776455023,15500.0,0.0,1.0,0.0,0.0,0.0,0.0,15735.0,0.0,0.0,0.0,0.0,0.0,0.0,36075.82206421973,15461.066598951315,25291.15605148946,10784.666012730268,10839.06687920977,4621.999719741544,18968.367038617096,8129.300159407327,7189.777341820179,3081.3331464943626,26158.144380437276,11210.633305901689,51536.88866317104,0.0,0.0,0.0,14168.110976832078,9032.555732674808,5135.555244157271,0.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,134007.53656955203,44160.999372615806,90571.90721830647,885075.72354182,564079.4064243503,320937.7054763797,321338.94130778476,233059.1591432397,88279.78216454506,276526.9062057771,44641.33205007682,0.0,119712.56954648899
2035,1414955.1401690212,698836.5172589436,98441.26043963364,600395.25681931,2015350.3969883313,111306.87479710727,70963.1559702934,7205.423443301639,0.0,0.0,7205.423443301639,3368.576556698361,7205.423443301639,0.0,0.0,7205.423443301639,0.0,0.0,7205.423443301639,pre_retirement,brackets,married_joint,74.0,0.0,74.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,7205.423443301639,1535.423443301639,0.010242556821562436,0.0,182270.0307674007,0.0,-10574.0,192844.0307674007,10500.0,0.0,1.0,0.0,0.0,0.0,0.0,10574.0,0.0,0.0,0.0,0.0,0.0,0.0,37464.93161672487,16056.399264310658,26302.80229354904,11162.129323175828,11272.62955437816,4783.769709932498,19727.10172016178,8454.47216578362,7441.419548783885,3189.179806621665,27168.521268945664,11643.651972405285,53521.33088103552,0.0,0.0,0.0,14709.157639684576,9393.857961981801,5315.299677702775,0.0,0.0,0.0,0.0,0.0,,129939.8534821713,40611.036556747094,88707.19519760497,947427.4199179944,606555.5699547936,340271.3745181846,346908.1723336611,249115.55840755036,97792.61392611073,295902.9573548146,51452.755509375005,0.0,98441.26043963364
