year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2026,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,859337.4373290068,973598.7495838401,1085396.099438512,576043.8736034635,690305.1858582967,802102.5357129687
2027,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,858870.785309007,1032298.5547114804,1191793.2345519336,555177.0442295847,728604.8136320582,888099.4934725114
2028,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,902724.7531102351,1095535.1949100445,1317931.2981360836,578857.0419827399,771667.4837825493,994063.5870085884
2029,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,938791.8233332334,1148457.3274770677,1486880.0465256625,594959.3862771686,804624.8904210031,1143047.609469598
2030,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,966250.309973584,1239373.6360223894,1646274.436536041,602645.6294932754,875768.9555420808,1282669.7560557325
2031,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1008565.0096761434,1312532.3240396255,1795541.1669514268,625363.994114048,929331.30847753,1412340.1513893313
2032,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1044997.106093802,1366975.3858448733,1909482.347109982,642359.2631446896,964337.5428957606,1506844.5041608696
2033,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1070284.6799850853,1450280.9063212355,2057440.0538817486,648353.2764380202,1028349.5027741703,1635508.6503346835
2034,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1147526.6484472426,1501916.782552481,2181466.097363662,706428.8563106899,1060818.9904159284,1740368.3052271097
2035,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1182133.317829159,1544598.2657872278,2329596.0871074055,721980.3469830909,1084445.2949411594,1869443.1162613374
2036,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1258504.1446428061,1608187.606058592,2479836.2745646434,779391.362150356,1129074.8235661425,2000723.4920721932
2037,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1287335.8580821396,1696583.559995085,2626427.475346876,789342.8942821819,1198590.5961951273,2128434.511546918
2038,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1284130.4899554795,1725009.3071983631,2807408.5766579267,767321.3314464241,1208200.1486893077,2290599.4181488715
2039,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1345062.6547093303,1854239.2458093124,2973480.648486488,809485.7243234828,1318662.3154234649,2437903.718100641
2040,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1340319.4421262306,1874154.7610800043,3055029.239605976,804719.4421262305,1338554.7610800043,2519429.239605976
2041,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1374620.7016213117,1961956.9506468782,3241058.3467258853,839020.7016213115,1426356.9506468782,2705458.3467258858
2042,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1400758.4326371076,2018537.492985409,3499278.572848849,865158.4326371077,1482937.492985409,2963678.572848849
2043,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1297431.0019150353,2048699.663253479,3537435.39670181,761831.0019150355,1513099.6632534792,3001835.3967018104
2044,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1158719.9161922,2015051.7042291076,3528184.5384381535,623119.9161922003,1479451.7042291076,2992584.5384381535
