year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0
2027,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29126.21359223301,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,0.0
2028,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28277.87727401263,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,0.0
2029,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27454.249780594786,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,0.0
2030,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26654.611437470663,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,0.0
2031,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25878.263531524917,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4890.991807458209,0.0,0.0,0.0,0.0
2032,pre_retirement,brackets,married_joint,0.0,0.0,14205.348138353085,7933.004035025097,14205.348138353085,0.0,0.0,14205.348138353085,0.0,0.0,14205.348138353085,14205.348138353085,25124.527700509625,0.0,0.0,0.0,488.25332164657044,488.25332164657044,1.0,oregon,married_joint,4748.535735396319,14205.348138353085,9456.812402956766,0.034503794708090445,0.0
2033,pre_retirement,brackets,married_joint,0.0,0.0,5664.313341175191,2923.1526558776377,5664.313341175191,0.0,0.0,5664.313341175191,0.0,0.0,5664.313341175191,5664.313341175191,24392.745340300607,0.0,0.0,0.0,50.005127947616245,50.005127947616245,1.0,oregon,married_joint,4610.228869316815,5664.313341175191,1054.0844718583762,0.008806056374476762,0.0
2034,pre_retirement,brackets,married_joint,0.0,0.0,8372.29873511941,4049.0555668103652,8372.29873511941,0.0,0.0,8372.29873511941,0.0,0.0,8372.29873511941,8372.29873511941,23682.277029418066,0.0,0.0,0.0,185.51117006377484,185.51117006377484,1.0,oregon,married_joint,4475.950358560014,8372.29873511941,3896.3483765593955,0.022078742562056414,0.0
2035,pre_retirement,brackets,married_joint,0.0,0.0,5522.357090567406,2581.733437234103,5522.357090567406,0.0,0.0,5522.357090567406,0.0,0.0,5522.357090567406,5522.357090567406,22992.5019703088,0.0,0.0,0.0,56.71483819342838,56.71483819342838,1.0,oregon,married_joint,4345.582872388363,5522.357090567406,1176.774218179042,0.010242556821562436,0.0
2036,pre_retirement,brackets,married_joint,0.0,0.0,1798.2684725566469,806.0602295818903,1798.2684725566469,0.0,0.0,1798.2684725566469,0.0,0.0,13048.96846579513,1798.2684725566469,22322.817446901747,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4219.01249746443,1798.2684725566469,0.0,0.0,0.0
2037,pre_retirement,brackets,married_joint,0.0,0.0,5392.807848176624,2242.7979178218793,5392.807848176624,0.0,0.0,5392.807848176624,0.0,0.0,16315.817550349906,5392.807848176624,21672.638297962858,0.0,0.0,0.0,59.96096595769725,59.96096595769725,1.0,oregon,married_joint,4096.128638314981,5392.807848176624,1296.6792098616438,0.01124223772905925,0.0
2038,pre_retirement,brackets,married_joint,0.0,11222.078083087565,0.0,0.0,0.0,0.0,0.0,11222.078083087565,0.0,0.0,21826.941871605315,11222.078083087565,21041.396405789186,0.0,0.0,0.0,366.8216773409248,366.8216773409248,1.0,oregon,married_joint,3976.8239206941557,11222.078083087565,7245.254162393409,0.0326875,0.0
2039,pre_retirement,brackets,married_joint,0.0,10895.22143989084,0.0,0.0,0.0,0.0,0.0,10895.22143989084,0.0,0.0,21191.20570058768,10895.22143989084,20428.540199795323,0.0,0.0,0.0,356.1375508164318,356.1375508164318,1.0,oregon,married_joint,3860.9940977613164,10895.22143989084,7034.227342129523,0.0326875,0.0
2040,pre_retirement,brackets,married_joint,0.0,10577.884893097902,0.0,0.0,0.0,0.0,0.0,10577.884893097902,0.0,0.0,20573.98611707542,10577.884893097902,19833.53417455857,0.0,0.0,0.0,345.7646124431377,345.7646124431377,1.0,oregon,married_joint,3748.537958991569,10577.884893097902,6829.346934106333,0.0326875,0.0
2041,pre_retirement,brackets,married_joint,0.0,10269.791158347478,0.0,0.0,0.0,0.0,0.0,10269.791158347478,15866.827339646854,0.5,26136.618497994332,26136.618497994332,19255.85842190152,6880.760076092811,0.026326129666011788,688.0760076092811,335.6937984884832,1023.7698060977643,1.0,oregon,married_joint,3639.357241739388,10269.791158347478,6630.433916608091,0.0326875,0.0
2042,pre_retirement,brackets,married_joint,0.0,0.0,20391.104579069448,0.0,0.0,0.0,0.0,20391.104579069448,26187.967453786066,0.85,35795.791316590665,46579.07203285551,18695.008176603416,27884.063856252098,0.06545508314495635,3048.837032742257,1088.672642817539,4137.509675559796,1.0,oregon,married_joint,3533.3565453780457,20391.104579069448,16857.748033691405,0.05338958655395987,0.0
2043,retirement,brackets,married_joint,0.0,0.0,64778.70832777928,0.0,0.0,0.0,0.0,64778.70832777928,25425.211120180647,0.85,79734.71486906202,90203.91944795994,18150.49337534312,72053.42607261681,0.10750670822499399,9697.52644884269,4993.200727556893,14690.727176399583,1.0,oregon,married_joint,3430.44324793985,64778.70832777928,61348.265079839424,0.07708089365245403,0.0
2044,retirement,brackets,married_joint,0.0,0.0,66257.28616425357,0.0,0.0,0.0,0.0,66257.28616425357,24684.670990466646,0.85,80777.68086452808,90941.95715472024,17621.83822848847,73320.11892623176,0.11166955861550927,10155.448215098164,5142.639789680551,15298.088004778716,1.0,oregon,married_joint,3330.5274251843202,66257.28616425357,62926.75873906926,0.07761621532357679,0.0
2045,retirement,brackets,married_joint,0.0,0.0,63996.998845360715,0.0,0.0,0.0,0.0,63996.998845360715,23965.699990744317,0.85,78094.46942815148,87962.69883610503,17108.580804357734,70854.11803174729,0.11126131645852252,9786.956502253506,4963.769577370991,14750.726079624495,1.0,oregon,married_joint,3233.521772023612,63996.998845360715,60763.4770733371,0.07756231679729508,0.0
2046,retirement,brackets,married_joint,0.0,0.0,49981.690962567925,0.0,0.0,0.0,0.0,49981.690962567925,23267.669893926522,0.85,63668.55560605411,73249.36085649444,16610.272625590034,56639.08823090441,0.09322404668690634,6828.609639215575,3755.8594785230002,10584.469117738576,1.0,oregon,married_joint,3139.3415262365165,49981.690962567925,46842.34943633141,0.07514468547273952,0.0
2047,retirement,brackets,married_joint,0.0,0.0,53788.93047871199,0.0,0.0,0.0,0.0,53788.93047871199,22589.970770802447,0.85,67077.14857918402,76378.90124951446,16126.478277271879,60252.422972242566,0.10195985278336535,7787.58181934638,4107.145242583194,11894.727061929574,1.0,oregon,married_joint,3047.904394404385,53788.93047871199,50741.02608430761,0.07635669887622826,0.0
2048,retirement,brackets,married_joint,0.0,0.0,49453.477306534085,0.0,0.0,0.0,0.0,49453.477306534085,21932.010457089757,0.85,62354.65992835158,71385.48776362385,15656.775026477553,55728.71273714629,0.09738143096630059,6951.626283194528,3745.361532583872,10696.9878157784,1.0,oregon,married_joint,2959.1304800042576,49453.477306534085,46494.34682652983,0.07573503230943993,0.0
2049,retirement,brackets,married_joint,0.0,0.0,50840.755826318826,0.0,0.0,0.0,0.0,50840.755826318826,21293.21403600947,0.85,63366.17584750087,72133.96986232829,15200.752452890827,56933.217409437464,0.10218817565570748,7371.239365049392,3883.538905839391,11254.778270888784,1.0,oregon,married_joint,2872.9422135963664,50840.755826318826,47967.81361272246,0.07638633060529357,0.0
2050,retirement,brackets,married_joint,0.0,0.0,50810.38528691639,0.0,0.0,0.0,0.0,50810.38528691639,20673.023335931524,0.85,62970.987249229045,71483.40862284791,14758.012090185268,56725.39653266265,0.10457736259502973,7475.637271140298,3897.345026149759,11372.982297290058,1.0,oregon,married_joint,2789.2642850450156,50810.38528691639,48021.12100187137,0.07670346072452891,0.0
2051,retirement,brackets,married_joint,0.0,0.0,54351.60003014527,0.0,0.0,0.0,0.0,54351.60003014527,20070.896442651963,0.85,66158.0097022935,74422.49647279724,14328.167077849774,60094.32939494746,0.11236585441872146,8362.548616358845,4223.227246196221,12585.775862555067,1.0,oregon,married_joint,2708.023577713607,54351.60003014527,51643.57645243166,0.07770198196373751,0.0
2052,retirement,brackets,married_joint,0.0,0.0,51469.17980758583,0.0,0.0,0.0,0.0,51469.17980758583,19486.30722587569,0.85,62931.713469865645,70955.48703346151,13910.841823155119,57044.64521030639,0.11039480145968189,7833.119178762944,3986.3835717888187,11819.502750551765,1.0,oregon,married_joint,2629.1491045763178,51469.17980758583,48840.030703009514,0.07745185337816596,0.0
2053,retirement,brackets,married_joint,0.0,0.0,58014.28093372081,0.0,0.0,0.0,0.0,58014.28093372081,18918.74487949096,0.85,69142.9543922449,76933.02581321177,13505.671672966137,63427.35414024563,0.12185496874734378,9374.694835606988,4574.145901105747,13948.840736712737,1.0,oregon,married_joint,2552.5719461905996,58014.28093372081,55461.708987530204,0.0788451204753067,0.0
2054,retirement,brackets,married_joint,0.0,0.0,56076.614725279986,0.0,0.0,0.0,0.0,56076.614725279986,18367.713475233944,0.85,66881.15206365289,74444.32820051393,13112.302595112753,61332.02560540117,0.12152810976784814,9047.100899938694,4419.283051306168,13466.383951244861,1.0,oregon,married_joint,2478.22519047631,56076.614725279986,53598.389534803675,0.07880790424851969,0.0
2055,retirement,brackets,married_joint,0.0,0.0,57221.054806451546,0.0,0.0,0.0,0.0,57221.054806451546,17832.731529353343,0.85,67710.89688254174,75053.78633580488,12730.390869041506,62323.39546676338,0.12517277656145182,9394.69580535827,4533.716534827981,13928.412340186253,1.0,oregon,married_joint,2406.043874248845,57221.054806451546,54815.0109322027,0.07923160372398402,0.0
2056,retirement,brackets,married_joint,0.0,0.0,53957.65562986593,0.0,0.0,0.0,0.0,53957.65562986593,17313.331581896447,0.85,64141.96832509914,71270.98721176237,12359.602785477191,58911.38442628519,0.12304831967314131,8769.77525598694,4262.003027192051,13031.778283178992,1.0,oregon,married_joint,2335.964926455189,53957.65562986593,51621.69070341074,0.07898792076955201,0.0
2057,retirement,brackets,married_joint,0.0,0.0,54471.82651131139,0.0,0.0,0.0,0.0,54471.82651131139,16809.05978824898,0.85,64359.508739693134,71280.88629956037,11999.614354832223,59281.27194472814,0.1258838249286514,8973.210587261747,4320.261154884762,13293.471742146507,1.0,oregon,married_joint,2267.9271130632906,54471.82651131139,52203.8993982481,0.07931164501332247,0.0
2058,retirement,brackets,married_joint,0.0,0.0,52170.15638456441,0.0,0.0,0.0,0.0,52170.15638456441,16319.475522571825,0.85,61769.84786843018,68489.63190713624,11650.111024108955,56839.520883027275,0.12490195888704142,8554.530283024791,4131.90604321731,12686.436326242101,1.0,oregon,married_joint,2201.870983556593,52170.15638456441,49968.285401007815,0.07920075891750733,0.0
