year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,714095.5,538200.0,248610.0294463915,289589.9705536085,1003685.4705536085,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,130000.0,0.0,-4000.0,134000.0,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11112.5,33337.5,7700.0,3412.5,23100.0,10237.5,6050.0,18150.0,2437.5,7312.5,8487.5,25462.5,44450.0,0.0,0.0,0.0,10500.0,6600.0,3900.0,False,False,0.0,0.0,False,💸 Home maintenance reserve,134037.5,68750.0,65287.5,386417.5,195352.5,191065.0,151290.5,143337.5,7953.0,141053.0,10237.5,42350.0,248610.0294463915
2027,773176.4074271845,540812.6213592233,224516.89106464817,316295.73029457516,1089472.1377217597,79170.0,52520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,29126.21359223301,0.0,0.0,True,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,False,131690.0,0.0,-15533.980582524273,147223.9805825243,15533.980582524273,0.0,1.0,0.0,0.0,0.0,15533.980582524273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11756.917475728156,35270.75242718447,8129.854368932039,3627.0631067961167,24389.56310679612,10881.18932038835,6447.815533980583,19343.44660194175,2637.864077669903,7913.592233009709,9085.679611650485,27257.038834951458,47027.669902912625,0.0,0.0,0.0,10684.95145631068,6728.155339805825,3956.7961165048546,False,False,0.0,0.0,False,🏖️ Travel,139542.1468446602,66747.57281553397,72794.57402912622,414043.7963592233,211505.08325242717,202538.71310679612,192774.44480582525,174433.37378640776,18341.071019417468,171235.3222330097,21539.122572815533,26816.019417475727,224516.89106464817
2028,849740.1264348148,543437.925346404,200650.367143681,342787.55820272287,1192527.6846375377,80357.54999999999,53045.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,28277.87727401263,0.0,0.0,True,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,False,133402.75,0.0,-3770.3836365350176,137173.133636535,3770.3836365350176,0.0,1.0,0.0,0.0,0.0,3770.3836365350176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12420.65080356301,37261.95241068903,8573.498916014705,3847.1518875483066,25720.496748044112,11541.455662644921,6858.799132811763,20576.39739843529,2843.5470473183136,8530.64114195494,9702.346180130076,29107.038540390233,49682.60321425204,0.0,0.0,0.0,10873.218493731736,6858.799132811763,4014.419360919973,False,False,0.0,0.0,False,,145272.8583121642,64803.46875294561,80469.3895592186,443468.3817122962,228764.66471366293,214703.71699863326,237953.2506294137,206614.74249458007,31338.50813483362,203988.10454460364,33965.14608481006,23045.635780940713,200650.367143681
2029,920701.4153763324,546075.973527697,176990.4615142287,369085.5120134684,1289786.9273898008,81562.91325,53575.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,27454.249780594786,0.0,0.0,True,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,False,135138.56524999999,0.0,-14642.266549650552,149780.83179965054,14642.266549650552,0.0,1.0,0.0,0.0,0.0,14642.266549650552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12913.22456340879,38739.67369022637,8840.342784611343,4072.8817787974476,26521.02835383403,12218.645336392343,7092.347859986986,21277.04357996096,3054.6613340980857,9163.984002294257,10147.009194085073,30441.027582255218,51652.89825363517,0.0,0.0,0.0,11064.861477294877,6991.979698497429,4072.8817787974476,True,False,0.0,0.0,False,,151238.91841566376,62915.98908052972,88322.92933513405,474593.9485537925,246999.90586467035,227594.0426891221,286465.1791755859,239336.51106360505,47128.668111980835,238886.5084540073,47578.670721578594,8403.36923129016,176990.4615142287
2030,1006502.0143243001,548726.8277681227,153517.38273985888,395209.4450282638,1401711.4593525638,82786.35694874999,54111.40852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,26654.611437470663,0.0,0.0,True,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,False,136897.76546875,0.0,-3553.948191662755,140451.71366041276,3553.948191662755,0.0,1.0,0.0,0.0,0.0,3553.948191662755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12972.08160239906,38916.24480719719,8667.711194992777,4304.3704074062825,26003.13358497833,12913.11122221885,6885.774621346588,20657.323864039765,3271.321509628775,9813.964528886327,10157.096130975362,30471.28839292609,51888.326409596244,0.0,0.0,0.0,11259.941885694789,7127.746294584757,4132.195591110031,True,False,0.0,0.0,False,,157449.99244380216,61083.4845442036,96366.50789959857,507056.63600456575,265811.39960148407,241245.23640308165,337145.9648363047,271281.78952914383,65864.17530716087,274700.22389102884,62445.74094527585,4849.421039627404,153517.38273985888
2031,1055438.3576193366,551390.5502330165,130211.52750556578,421179.02272745065,1476617.3803467872,84028.15230298124,54652.52260519999,25224.362815434582,0.0,0.0,25224.362815434582,14299.67462244379,25224.362815434582,0.0,0.0,25224.362815434582,0.0,0.0,25224.362815434582,pre_retirement,brackets,married_joint,1243.01925829758,0.0,1243.01925829758,25878.263531524917,0.0,0.0,True,oregon,married_joint,4890.991807458209,25224.362815434582,20333.371007976373,0.04927851963566694,False,138680.67490818122,0.0,-44373.458477505774,183054.13338568702,43130.439219208194,0.0,1.0,0.0,0.0,0.0,4849.421039627404,39524.037437878374,0.0,0.0,0.0,0.0,0.0,0.0,13043.492992664307,39130.47897799292,8501.755362791348,4541.73762987296,25505.26608837404,13625.212889618879,6685.21807897727,20055.65423693181,3493.6443306715073,10480.932992014523,10178.862409648778,30536.587228946337,52173.97197065722,0.0,0.0,0.0,11458.522332062117,7266.149135256308,4192.373196805809,True,False,0.0,0.0,False,💸 Vehicle purchase,124392.10518104305,45004.679303967474,79387.42587707558,540923.9112331457,285229.4872003364,255694.42403280936,390122.34120514785,302510.85716162773,87611.4840435201,311486.8681061898,78635.473098958,0.0,130211.52750556578
2032,1147942.7957316365,554067.2033894873,107053.46418997654,447013.73919951083,1594956.5349311472,85288.57458752595,55199.047831252,2219.65924483158,0.0,0.0,2219.65924483158,1130.2777819030368,2219.65924483158,0.0,0.0,2219.65924483158,0.0,0.0,2219.65924483158,pre_retirement,brackets,married_joint,0.0,0.0,0.0,25124.527700509625,0.0,0.0,True,oregon,married_joint,4748.535735396319,2219.65924483158,0.0,0.0,False,140487.62241877796,0.0,-3349.937026734617,143837.55944551257,3349.937026734617,0.0,1.0,0.0,0.0,0.0,0.0,3349.937026734617,0.0,0.0,0.0,0.0,0.0,0.0,13127.41841405522,39382.255242165666,8342.312841730145,4785.105572325076,25026.93852519044,14355.316716975229,6490.50298929832,19471.508967894963,3721.7487784750588,11165.246335425176,10212.25176777338,30636.755303320137,52509.67365622089,0.0,0.0,0.0,11660.66658512737,7407.239409727303,4253.427175400067,True,False,0.0,0.0,False,,126150.69829912214,42563.58562000713,83587.11267911502,576265.9718269699,305285.5935455366,270980.3782814333,445526.1256055443,333082.1165641343,112444.00904141,349305.9372341879,96220.18837135645,0.0,107053.46418997654
2033,1223306.878629349,556756.8500078828,84023.91660735372,472732.93340052915,1696039.8120298781,86567.90320633883,55751.03830956451,16910.854009712308,0.0,0.0,16910.854009712308,7764.034085024445,16910.854009712308,0.0,0.0,16910.854009712308,0.0,0.0,16910.854009712308,pre_retirement,brackets,married_joint,688.6885101078204,0.0,688.6885101078204,24392.745340300607,0.0,0.0,True,oregon,married_joint,4610.228869316815,16910.854009712308,12300.625140395492,0.04072464404886295,False,142318.94151590334,0.0,-24674.88809473675,166993.8296106401,23986.19958462893,0.0,1.0,0.0,0.0,0.0,0.0,24674.88809473675,0.0,0.0,0.0,0.0,0.0,0.0,13223.825209411312,39671.47562823394,8189.226538205569,5034.598671205742,24567.679614616707,15103.796013617228,6301.45921291099,18904.37763873297,3955.7560988045116,11867.268296413535,10257.215311715501,30771.645935146506,52895.30083764525,0.0,0.0,0.0,11866.43959078324,7551.069301178317,4315.370289604922,True,False,0.0,0.0,False,💸 HVAC replacement,106656.56218307749,33559.83544896306,73096.72673411443,613155.8655881102,326012.2769837191,287143.5886043911,503494.45085816126,363052.1713215682,140442.2795365931,388218.8995138591,115275.55134430219,0.0,84023.91660735372
2034,1308183.7673206967,559459.5531632608,61103.747905746175,498355.80525751464,1806539.5725782113,0.0,56308.54869266015,17367.003154906582,0.0,17367.003154906582,0.0,0.0,0.0,0.0,0.0,17367.003154906582,0.0,0.0,17367.003154906582,pre_retirement,brackets,married_joint,732.5717694433322,0.0,732.5717694433322,23682.277029418066,0.0,0.0,True,oregon,married_joint,4475.950358560014,17367.003154906582,12891.052796346567,0.04218181818181818,False,56308.54869266015,0.0,13476.794448207507,60198.75739935922,3157.636937255742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5290.343714663315,15871.031143989943,0.0,5290.343714663315,0.0,15871.031143989943,0.0,0.0,4195.789842664008,12587.369527992023,4195.789842664008,12587.369527992023,21161.37485865326,0.0,0.0,0.0,4378.215487997227,0.0,4378.215487997227,False,False,0.0,0.0,False,"💰 Part-time consulting, 🎉 Retirement (A)",111036.72973680972,32582.364513556367,78454.36522325335,643627.2705788678,339400.9365142155,304226.33406465227,540042.9725568116,368348.8673785222,171694.10517828946,404162.2582026322,135880.7143541795,13476.794448207507,61103.747905746175
2035,1384386.2212784407,562175.3762368689,38273.944607791105,523901.4316290778,1908287.6529075184,0.0,56871.634179586756,16861.16811155979,0.0,16861.16811155979,0.0,0.0,0.0,0.0,0.0,16861.16811155979,0.0,0.0,16861.16811155979,pre_retirement,brackets,married_joint,711.2347276148856,0.0,711.2347276148856,22992.5019703088,0.0,0.0,True,oregon,married_joint,4345.582872388363,16861.16811155979,12515.585239171425,0.04218181818181818,False,56871.634179586756,0.0,821.5987370723678,72911.20355407418,15328.334646872534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5552.469884656676,16657.40965397003,0.0,5552.469884656676,0.0,16657.40965397003,0.0,0.0,4441.975907725341,13325.927723176026,4441.975907725341,13325.927723176026,22209.879538626705,0.0,0.0,0.0,4441.975907725341,0.0,4441.975907725341,False,False,0.0,0.0,False,"🏖️ Travel (post-retirement), 💰 Part-time consulting",115596.781841535,31633.363605394534,83963.41823614048,675612.2002164236,353339.4409943624,322272.7592220612,578878.8460352022,374277.6692447683,204601.1767904339,420760.3781268762,158118.46790832604,14298.393185279876,38273.944607791105
