year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,714095.5,538200.0,248610.0294463915,289589.9705536085,1003685.4705536085,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,130000.0,0.0,-4000.0,134000.0,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11112.5,33337.5,7700.0,3412.5,23100.0,10237.5,6050.0,18150.0,2437.5,7312.5,8487.5,25462.5,44450.0,0.0,0.0,0.0,10500.0,6600.0,3900.0,False,False,0.0,0.0,False,💸 Home maintenance reserve,134037.5,68750.0,65287.5,386417.5,195352.5,191065.0,151290.5,143337.5,7953.0,141053.0,10237.5,42350.0,248610.0294463915
2027,796371.6996500001,557037.0,231252.3977965876,325784.6022034124,1122156.3018534125,81545.1,54095.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,135640.7,0.0,-16000.0,151640.7,16000.0,0.0,1.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12109.625,36328.875,8373.75,3735.875,25121.25,11207.625,6641.25,19923.75,2717.0,8151.0,9358.25,28074.75,48438.5,0.0,0.0,0.0,11005.5,6930.0,4075.5,False,False,0.0,0.0,False,🏖️ Travel,143728.41125,68750.0,74978.41125,426465.11025,217850.23575,208614.8745,198557.67815,179666.375,18891.303149999992,176372.3819,22185.29625,27620.5,231252.3977965876
2028,901489.300134695,576533.2949999999,212869.9745027312,363663.3204972687,1265152.6206319637,85251.324795,56275.65268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,141526.977475,0.0,-4000.0,145526.977475,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13177.068437499998,39531.205312499995,9095.625,4081.4434374999987,27286.875,12244.330312499997,7276.5,21829.5,3016.719062499999,9050.157187499997,10293.219062499998,30879.657187499997,52708.27374999999,0.0,0.0,0.0,11535.3975,7276.5,4258.897499999999,False,False,0.0,0.0,False,,154119.97538337501,68750.0,85369.97538337501,470475.60615857504,242696.432794725,227779.17336385002,252444.603592745,219197.5803125,33247.02328024499,216410.98011137,36033.623481375,24449.115,212869.9745027312
2029,1006075.2955199336,596711.9603249999,193402.2560390586,403309.7042859413,1409384.999805875,89125.99750693275,58543.56148300401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,147669.55898993675,0.0,-16000.0,163669.55898993675,16000.0,0.0,1.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14110.629137499998,42331.8874125,9660.08125,4450.547887499999,28980.24375,13351.643662499997,7750.0,23250.0,3337.9109156249992,10013.732746874997,11087.910915625,33263.732746875,56442.51655,0.0,0.0,0.0,12090.8728875,7640.325000000001,4450.547887499999,True,False,0.0,0.0,False,,165262.84960359303,68750.0,96512.84960359303,518601.62162134005,269903.46613578364,248698.15548555637,313028.2358450005,261529.467725,51498.76812000049,261037.73772342206,51990.498121578414,9182.588450000003,193402.2560390586
2030,1132826.8844047461,617596.8789363748,172785.16676185312,444811.71217452164,1577638.5965792676,93176.77409362285,60902.86701076906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,154079.64110439192,0.0,-4000.0,158079.64110439192,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.19212753906,43800.57638261719,9755.5853125,4844.606815039061,29266.755937500002,14533.820445117184,7750.0,23250.0,3681.9011794296866,11045.70353828906,11431.901179429686,34295.70353828906,58400.76851015625,0.0,0.0,0.0,12673.163792437499,8022.341250000001,4650.822542437499,True,False,0.0,0.0,False,,177211.3536299328,68750.0,108461.3536299328,570696.710992102,299173.07204990083,271523.63894220116,379460.7536792112,305330.04410761717,74130.70957159402,309177.5220983255,70283.23158088571,5458.066103500003,172785.16676185312
2031,1223542.325009869,639212.7696991479,150950.8480122038,488261.9216869441,1711804.246696813,97411.658476178,63357.252551303056,29241.94985267027,0.0,0.0,29241.94985267027,16577.24206072473,29241.94985267027,0.0,0.0,29241.94985267027,0.0,0.0,29241.94985267027,pre_retirement,brackets,married_joint,1441.0,0.0,1441.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,29241.94985267027,23571.94985267027,0.04927851963566694,False,160768.91102748105,0.0,-51441.0,212209.91102748105,50000.0,0.0,1.0,0.0,0.0,0.0,5621.808086605003,45819.191913395,0.0,0.0,0.0,0.0,0.0,0.0,15120.983264709454,45362.949794128355,9855.864578125002,5265.118686584452,29567.593734375,15795.356059753356,7750.0,23250.0,4050.0912973726554,12150.273892117966,11800.091297372655,35400.27389211797,60483.93305883781,0.0,0.0,0.0,13283.56786934719,8423.458312500003,4860.1095568471865,True,False,0.0,0.0,False,💸 Vehicle purchase,144204.54258398194,52172.75793927527,92031.78464470667,627079.0664615405,330659.1497372337,296419.91672430676,452258.71596434654,350692.99390174553,101565.72206260101,361098.65068040945,91160.0652839371,0.0,150950.8480122038
2032,1370703.7315272815,661585.216638618,127827.43476742657,533757.7818711915,1904461.513398473,101839.01835392028,65910.54982912057,2650.3892188029745,0.0,0.0,2650.3892188029745,1349.6107811970255,2650.3892188029745,0.0,0.0,2650.3892188029745,0.0,0.0,2650.3892188029745,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,2650.3892188029745,0.0,0.0,False,167749.56818304086,0.0,-4000.0,171749.56818304086,4000.0,0.0,1.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,15674.824104799722,47024.47231439917,9961.15780703125,5713.666297768473,29883.473421093753,17140.99889330542,7750.0,23250.0,4443.962676042145,13331.888028126436,12193.962676042145,36581.888028126436,62699.296419198894,0.0,0.0,0.0,13923.44571503031,8844.631228125001,5078.814486905309,True,False,0.0,0.0,False,,150630.53101280384,50823.14715807824,99807.3838547256,688091.7070715096,364526.9640702669,323564.74300124263,531981.493442968,397717.46621614473,134264.02722682327,417089.55654569686,114891.93689727117,0.0,127827.43476742657
2033,1504513.15942071,684740.6992209696,103338.81910602307,581401.8801149465,2085915.0395356566,106467.60173810596,68566.74498723412,20798.21738856054,0.0,0.0,20798.21738856054,9548.78261143946,20798.21738856054,0.0,0.0,20798.21738856054,0.0,0.0,20798.21738856054,pre_retirement,brackets,married_joint,847.0,0.0,847.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,20798.21738856054,15128.21738856054,0.04072464404886295,False,175034.3467253401,0.0,-30347.0,205381.3467253401,29500.0,0.0,1.0,0.0,0.0,0.0,0.0,30347.0,0.0,0.0,0.0,0.0,0.0,0.0,16263.637026001536,48790.9110780046,10071.715697382813,6191.921328618721,30215.147092148436,18575.763985856167,7750.0,23250.0,4865.08104391471,14595.24313174413,12615.08104391471,37845.24313174413,65054.54810400614,0.0,0.0,0.0,14594.223928347299,9286.862789531251,5307.361138816047,True,False,0.0,0.0,False,💸 HVAC replacement,131174.11840502956,41274.36454663878,89899.75385839077,754104.3745187812,400953.97926993005,353150.3952488512,619234.6664968992,446508.3772941493,172726.2892027499,477460.2785760992,141774.38792080004,0.0,103338.81910602307
2034,1657168.0573987975,708706.6236937034,77404.39970765047,631302.2239860529,2288470.2813848504,0.0,71329.98481021966,22000.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,pre_retirement,brackets,married_joint,928.0,0.0,928.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,False,71329.98481021966,0.0,17072.0,76257.98481021966,4000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6701.649137992512,20104.947413977534,0.0,6701.649137992512,0.0,20104.947413977534,0.0,0.0,5315.101040476819,15945.303121430457,5315.101040476819,15945.303121430457,26806.596551970048,0.0,0.0,0.0,5546.192390062769,0.0,5546.192390062769,False,False,0.0,0.0,False,"💰 Part-time consulting, 🎉 Retirement (A)",140658.0071657132,41274.36454663878,99383.64261907442,815327.7699344817,429942.951971146,385384.8179633357,684110.2802986025,466613.32470812683,217496.9555904757,511980.65671715117,172129.62358145142,17072.0,77404.39970765047
2035,1806310.0175868084,733511.355522983,49938.816563611756,683572.5389593713,2489882.5565461796,0.0,74204.58319807152,22000.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,pre_retirement,brackets,married_joint,928.0,0.0,928.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,False,74204.58319807152,0.0,1072.0,95132.58319807152,20000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7244.713809519491,21734.141428558476,0.0,7244.713809519491,0.0,21734.141428558476,0.0,0.0,5795.7710476155935,17387.313142846782,5795.7710476155935,17387.313142846782,28978.855238077966,0.0,0.0,0.0,5795.7710476155935,0.0,5795.7710476155935,False,False,0.0,0.0,False,"🏖️ Travel (post-retirement), 💰 Part-time consulting",150827.58108379427,41274.36454663878,109553.21653715549,881520.6815102643,461027.82739865984,420492.8541116044,755305.59499275,488347.46613668534,266958.12885606464,548996.8581978012,206308.73679494884,18656.16,49938.816563611756
