year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2027,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2028,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2029,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2030,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2031,pre_retirement,brackets,married_joint,0.0,0.0,29241.94985267027,16577.24206072473,29241.94985267027,0.0,0.0,29241.94985267027,0.0,0.0,29241.94985267027,29241.94985267027,30000.0,0.0,0.0,0.0,1441.0,1441.0,True,oregon,married_joint,5670.0,29241.94985267027,23571.94985267027,0.04927851963566694,False
2032,pre_retirement,brackets,married_joint,0.0,0.0,2650.3892188029745,1349.6107811970255,2650.3892188029745,0.0,0.0,2650.3892188029745,0.0,0.0,2650.3892188029745,2650.3892188029745,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,2650.3892188029745,0.0,0.0,False
2033,pre_retirement,brackets,married_joint,0.0,0.0,20798.21738856054,9548.78261143946,20798.21738856054,0.0,0.0,20798.21738856054,0.0,0.0,20798.21738856054,20798.21738856054,30000.0,0.0,0.0,0.0,847.0,847.0,True,oregon,married_joint,5670.0,20798.21738856054,15128.21738856054,0.04072464404886295,False
2034,pre_retirement,brackets,married_joint,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,22000.0,30000.0,0.0,0.0,0.0,928.0,928.0,True,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,False
2035,pre_retirement,brackets,married_joint,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,22000.0,30000.0,0.0,0.0,0.0,928.0,928.0,True,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,False
2036,pre_retirement,brackets,married_joint,0.0,22000.0,18002.042367782513,6168.312165650099,18002.042367782513,0.0,0.0,40002.04236778252,0.0,0.0,40002.04236778252,40002.04236778252,30000.0,10002.042367782517,0.025003829244074103,1000.2042367782517,2386.0,3386.2042367782515,True,oregon,married_joint,5670.0,40002.04236778252,34332.04236778252,0.0596469544745464,False
2037,pre_retirement,brackets,married_joint,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,22000.0,30000.0,0.0,0.0,0.0,928.0,928.0,True,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,False
2038,retirement,brackets,married_joint,0.0,0.0,122180.421799462,34853.27225498559,122180.421799462,0.0,0.0,122180.421799462,0.0,0.0,122180.421799462,122180.421799462,30000.0,92180.421799462,0.08663131506705968,10584.65061593544,9576.0,20160.65061593544,True,oregon,married_joint,5670.0,122180.421799462,116510.421799462,0.07837589573653089,False
2039,retirement,brackets,married_joint,0.0,0.0,968.4809636107448,252.78012600309012,968.4809636107448,61357.31204404173,59417.558557694654,968.4809636107448,0.0,0.0,19688.480963610746,968.4809636107448,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,968.4809636107448,0.0,0.0,False
