year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2026,935942.4705536085,966216.2205536084,1018134.9705536085,1067274.9705536086,1082777.4705536086,646352.5,676626.2499999999,728545.0,777685.0,793187.5
2027,1051675.7997034125,1108878.0197034124,1136179.9722034123,1190299.6972034122,1282561.6572034124,725891.1975,783093.4175,810395.37,864515.095,956777.0549999999
2028,1151956.0697247689,1248487.7826547688,1325474.8517997686,1382542.6727172686,1408868.6545872686,788292.7492275,884824.4621575,961811.5313025,1018879.35222,1045205.3340899999
2029,1277823.1407197288,1334807.562559091,1459285.8394846362,1580119.489790374,1647587.1622837463,874513.4364337875,931497.8582731499,1055976.135198695,1176809.7855044326,1244277.457997805
2030,1405500.4321354858,1494548.9276973363,1722221.8576305367,1815183.4353296454,1896934.7229247212,960688.7199609643,1049737.2155228145,1277410.145456015,1370371.7231551236,1452123.0107501994
2031,1519460.2299953708,1640700.2371634345,1946590.6072155049,2041085.7800630613,2095315.334239989,1031198.3083084266,1152438.3154764904,1458328.6855285608,1552823.8583761172,1607053.412553045
2032,1715390.60727533,1915139.5392555865,2136763.447843725,2364307.88479885,2433568.634474798,1181632.8254041388,1381381.757384395,1603005.6659725336,1830550.1029276582,1899810.8526036069
2033,1882824.0467916564,2024808.4699853342,2495615.8564461353,2619777.840584811,2699444.9004874034,1301422.16667671,1443406.5898703877,1914213.9763311888,2038375.9604698643,2118043.020372457
2034,2090631.5816884171,2377771.329432574,2865444.1160637983,2976254.2687176242,3010403.561118709,1459329.3577023642,1746469.1054465212,2234141.8920777454,2344952.0447315713,2379101.337132656
2035,2365184.6761192917,2726789.3212516718,3117717.0354018733,3233568.3132744776,3394539.1500650644,1681612.1371599203,2043216.7822923004,2434144.496442502,2549995.7743151067,2710966.6111056935
2036,2610929.6504266826,2864135.665042089,3557219.3524154564,3577068.5830748747,3722851.925509693,1872597.0674850936,2125803.0821005,2818886.7694738675,2838736.0001332858,2984519.342568104
2037,2941191.6394204567,3375192.735801313,3815696.0807468304,4120546.009928329,4177347.467487556,2155435.9376003495,2589437.033981206,3029940.3789267233,3334790.3081082217,3391591.7656674488
2038,3061571.066220853,3650872.4922245676,4067522.5567587325,4167680.140521875,4385189.960131237,2248313.914837042,2837615.3408407564,3254265.405374921,3354422.989138064,3571932.8087474266
2039,3255736.656626459,3773907.79003349,4436083.984875819,4588306.33094439,4621025.635864099,2414015.5049442146,2932186.6383512453,3594362.833193574,3746585.1792621454,3779304.4841818544
2040,3576292.0819276557,3989347.272378908,4591194.368618989,4975991.254646188,5145976.358536525,2705110.6899365326,3118165.8803877854,3720012.976627867,4104809.8626550655,4274794.966545402
2041,3779608.5688493783,4353899.476049919,4941546.471078973,5147776.110036516,5625967.10389768,2877935.828138566,3452226.7353391075,4039873.730368161,4246103.369325704,4724294.363186868
2042,3946318.77069074,4449024.33617674,5131822.740750382,5649278.142280839,5991750.625680357,3013087.4840550497,3515793.049541049,4198591.454114692,4716046.85564515,5058519.339044666
2043,4183416.996533015,4426557.875299053,5336906.157092233,5975924.50558006,6511880.048144013,3217522.614865075,3460663.493631114,4371011.775424294,5010030.12391212,5545985.666476073
2044,4480660.190794233,4784620.701498286,5525909.40357468,6490261.488881657,7047512.843918029,3480959.5057679154,3784920.0164719685,4526208.718548363,5490560.803855339,6047812.158891713
2045,4816861.892826539,5103002.740955346,5981024.273162944,6598857.756078808,7663533.541606964,3782171.6838243008,4068312.5319531076,4946334.0641607065,5564167.54707657,6628843.332604725
2046,5260319.214175911,5419619.579703458,5844280.734871948,7347591.561151336,8139742.588044433,4189414.8478585947,4348715.213386141,4773376.368554631,6276687.19483402,7068838.221727116
2047,5432199.630544156,5649308.9534659,6413891.131390463,8289759.678994935,8474848.805969872,4323813.611405734,4540922.9343274785,5305505.11225204,7181373.659856513,7366462.78683145
2048,5778925.182283273,6085523.800007483,6878558.254730751,8393695.319923235,9398335.943841517,4631745.652475006,4938344.270199215,5731378.724922484,7246515.790114967,8251156.414033249
2049,5925362.69292107,6493137.0086424295,7413092.789584452,8685469.472782899,9814084.638299773,4738031.879569514,5305806.195290873,6225761.976232896,7498138.659431343,8626753.824948216
2050,5813819.634134849,7157039.310037817,8036768.937426597,8617740.870025411,10160230.936087789,4584932.242315988,5928151.918218956,6807881.545607736,7388853.47820655,8931343.544268928
2051,6150501.038610582,7565216.329313669,8536015.976728505,9262234.73929828,10442200.667599965,4878602.588078061,6293317.878781149,7264117.526195984,7990336.288765761,9170302.217067445
2052,6662525.194864497,7572618.6188908275,9106935.534430623,9783124.1237043,10513588.311444143,5346110.298563337,6256203.722589669,7790520.638129465,8466709.227403138,9197173.415142983
2053,7065045.107635995,7938481.807270365,10052252.404251726,10378802.146687798,10528487.639638092,5702555.689964296,6575992.389598666,8689762.986580027,9016312.7290161,9165998.221966393
2054,7771901.972255281,8309523.358580214,9836881.405041002,11007721.766159877,11321632.256434018,6361725.424965072,6899346.811290005,8426704.857750794,9597545.21886967,9911455.70914381
2055,8382169.239955513,8884852.881475478,9794565.343769612,11213271.568707397,11652233.758078244,6922636.513510147,7425320.155030113,8335032.617324246,9753738.842262032,10192701.031632878
2056,8959744.588604087,9385853.080109444,10210579.688291477,11196734.14194957,12179166.20080243,7449128.216733133,7875236.708238491,8699963.316420523,9686117.770078616,10668549.828931477
2057,9365171.907482965,9936683.166149138,10649286.012598425,11394901.499262217,12711153.142047692,7801683.962596528,8373195.221262701,9085798.06771199,9831413.554375779,11147665.197161254
2058,9936395.560689278,10864973.640782684,11291858.760288667,11963236.416672284,12798232.567293031,8318185.537731817,9246763.617825223,9673648.737331204,10345026.393714821,11180022.54433557
2059,10777887.932872342,11562588.15499773,12324660.587304592,12814223.112381352,13393853.363743467,9103040.55911137,9887740.781236758,10649813.21354362,11139375.73862038,11719005.989982495
2060,11619494.1355086,12308164.154431984,12724089.304039543,13890735.74124841,14925638.930732109,9886027.103665994,10574697.122589378,10990622.272196937,12157268.709405804,13192171.8988895
2061,12080651.321022484,12999356.120033205,13652393.157644106,15146256.282333357,16197833.846618578,10286512.943065386,11205217.742076106,11858254.779687008,13352117.90437626,14403695.46866148
2062,12838862.804122522,14165528.082792027,14852964.900629537,16047416.408631105,17088473.610550776,10981929.582936924,12308594.86160643,12996031.67944394,14190483.187445508,15231540.389365178
2063,12826400.867813079,14032229.831637979,15742466.688822128,17834844.848070152,18457942.28111732,10904474.983885987,12110303.947710887,13820540.804895036,15912918.96414306,16536016.397190226
2064,13468031.187428175,14036982.474300178,17714710.194222465,19398493.063878078,20292685.988695122,11478837.897563634,12047789.184435638,15725516.904357927,17409299.774013538,18303492.698830582
2065,14832022.657676509,15114637.071347654,19042782.817288175,20862278.868906386,22232739.981483877,12773207.60266671,13055822.016337855,16983967.762278378,18803463.81389659,20173924.92647408
2066,15838414.331420433,17244319.72880861,20253396.525402583,22388470.151422605,24005023.608609922,13707540.749485292,15113446.14687347,18122522.943467446,20257596.56948746,21874150.026674785
