year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,728545.0,538200.0,248610.0294463915,289589.9705536085,1018134.9705536085,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,130000.0,0.0,-4000.0,134000.0,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11112.5,33337.5,7700.0,3412.5,23100.0,10237.5,6050.0,18150.0,2437.5,7312.5,8487.5,25462.5,44450.0,0.0,0.0,0.0,10500.0,6600.0,3900.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,137125.0,68750.0,68375.0,395062.5,199675.0,195387.5,154007.5,143337.5,10670.0,143770.0,10237.5,42350.0,248610.0294463915
2027,810395.37,557037.0,231252.3977965876,325784.6022034124,1136179.9722034123,81545.1,54095.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,135640.7,0.0,-16000.0,151640.7,16000.0,0.0,1.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12109.625,36328.875,8373.75,3735.875,25121.25,11207.625,6641.25,19923.75,2717.0,8151.0,9358.25,28074.75,48438.5,0.0,0.0,0.0,11005.5,6930.0,4075.5,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,147378.375,68750.0,78628.375,435920.46875,222430.425,213490.04375,200037.45750000002,179666.375,20371.082500000004,178031.425,22540.5375,27620.5,231252.3977965876
2028,961811.5313025,576533.2949999999,212869.9745027312,363663.3204972687,1325474.8517997686,85251.324795,56275.65268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,141526.977475,0.0,-4000.0,145526.977475,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13177.068437499998,39531.205312499995,9095.625,4081.4434374999987,27286.875,12244.330312499997,7276.5,21829.5,3016.719062499999,9050.157187499997,10293.219062499998,30879.657187499997,52708.27374999999,0.0,0.0,0.0,11535.3975,7276.5,4258.897499999999,0.0,0.0,0.0,0.0,0.0,,165765.402,68750.0,97015.40199999999,504210.79946249997,259781.34874999998,244429.4507125,265808.23676249996,219197.5803125,46610.65644999995,228221.46269999997,36491.70890625,24449.115,212869.9745027312
2029,1055976.135198695,596711.9603249999,193402.2560390586,403309.7042859413,1459285.8394846362,89125.99750693275,58543.56148300401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,147669.55898993675,0.0,-16000.0,163669.55898993675,16000.0,0.0,1.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14110.629137499998,42331.8874125,9660.08125,4450.547887499999,28980.24375,13351.643662499997,7750.0,23250.0,3337.9109156249992,10013.732746874997,11087.910915625,33263.732746875,56442.51655,0.0,0.0,0.0,12090.8728875,7640.325000000001,4450.547887499999,1.0,0.0,0.0,0.0,0.0,,174011.44324025,68750.0,105261.44324024998,543940.7336053812,283195.9897882,261194.38208441873,328169.03740019747,261529.467725,66639.56967519745,274713.98668457,53992.372545393744,9182.588450000003,193402.2560390586
2030,1277410.145456015,617596.8789363748,172785.16676185312,444811.71217452164,1722221.8576305367,93176.77409362285,60902.86701076906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,154079.64110439192,0.0,-4000.0,158079.64110439192,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.19212753906,43800.57638261719,9755.5853125,4844.606815039061,29266.755937500002,14533.820445117184,7750.0,23250.0,3681.9011794296866,11045.70353828906,11431.901179429686,34295.70353828906,58400.76851015625,0.0,0.0,0.0,12673.163792437499,8022.341250000001,4650.822542437499,1.0,0.0,0.0,0.0,0.0,,204260.445083772,68750.0,135510.445083772,649932.7674736781,339454.9856317007,310477.7818419774,416309.2820386733,305330.04410761717,110979.23793105615,342106.0672703729,74203.21476830046,5458.066103500003,172785.16676185312
2031,1458328.6855285608,639212.7696991479,150950.8480122038,488261.9216869441,1946590.6072155049,97411.658476178,63357.252551303056,32786.559333346326,0.0,0.0,32786.559333346326,13621.78767697798,32786.559333346326,0.0,0.0,32786.559333346326,0.0,0.0,32786.559333346326,pre_retirement,brackets,married_joint,2030.1559333346327,278.6559333346326,1751.5,30000.0,2786.5593333463257,0.008488833477856507,1.0,oregon,married_joint,5670.0,32786.559333346326,27116.559333346326,0.05341741963736378,0.0,160768.91102748105,0.0,-52030.15593333463,212799.0669608157,50000.0,0.0,1.0,0.0,0.0,0.0,5621.808086605003,46408.3470103243,0.0,0.0,0.0,0.0,0.0,0.0,15120.983264709454,45362.949794128355,9855.864578125002,5265.118686584452,29567.593734375,15795.356059753356,7750.0,23250.0,4050.0912973726554,12150.273892117966,11800.091297372655,35400.27389211797,60483.93305883781,0.0,0.0,0.0,13283.56786934719,8423.458312500003,4860.1095568471865,1.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,187924.6038603879,55128.21232302202,132796.39153736588,758146.9680539821,397517.4725921374,360629.4954618447,512257.1136141907,350692.99390174553,161564.11971244522,414567.02088564786,97690.09272854286,0.0,150950.8480122038
2032,1603005.6659725336,661585.216638618,127827.43476742657,533757.7818711915,2136763.447843725,101839.01835392028,65910.54982912057,2861.3174933668065,0.0,0.0,2861.3174933668065,1138.6825066331935,2861.3174933668065,0.0,0.0,2861.3174933668065,0.0,0.0,2861.3174933668065,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,2861.3174933668065,0.0,0.0,0.0,167749.56818304086,0.0,-4000.0,171749.56818304086,4000.0,0.0,1.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,15674.824104799722,47024.47231439917,9961.15780703125,5713.666297768473,29883.473421093753,17140.99889330542,7750.0,23250.0,4443.962676042145,13331.888028126436,12193.962676042145,36581.888028126436,62699.296419198894,0.0,0.0,0.0,13923.44571503031,8844.631228125001,5078.814486905309,1.0,0.0,0.0,0.0,0.0,,190188.76873528416,54062.03636396353,135896.42957473936,805707.3091698368,426295.4401359082,380027.821876389,604767.7604123184,397717.46621614473,207050.29419617367,479093.4601533782,126877.99387299811,0.0,127827.43476742657
2033,1914213.9763311888,684740.6992209696,103338.81910602307,581401.8801149465,2495615.8564461353,106467.60173810596,68566.74498723412,23354.878746738636,0.0,0.0,23354.878746738636,7164.121253261366,23354.878746738636,0.0,0.0,23354.878746738636,0.0,0.0,23354.878746738636,pre_retirement,brackets,married_joint,1019.0,0.0,1019.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,23354.878746738636,17684.878746738636,0.04355845818109974,0.0,175034.3467253401,0.0,-30519.0,205553.3467253401,29500.0,0.0,1.0,0.0,0.0,0.0,0.0,30519.0,0.0,0.0,0.0,0.0,0.0,0.0,16263.637026001536,48790.9110780046,10071.715697382813,6191.921328618721,30215.147092148436,18575.763985856167,7750.0,23250.0,4865.08104391471,14595.24313174413,12615.08104391471,37845.24313174413,65054.54810400614,0.0,0.0,0.0,14594.223928347299,9286.862789531251,5307.361138816047,1.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,201435.8300548193,47146.4591506831,154289.37090413622,978725.2247107842,516231.80423434975,462493.4204764344,742972.4402312139,446508.3772941493,296464.0629370646,581483.2402488383,158842.57226531056,0.0,103338.81910602307
2034,2234141.8920777454,708706.6236937034,77404.39970765047,631302.2239860529,2865444.1160637983,0.0,71329.98481021966,22000.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,pre_retirement,brackets,married_joint,928.0,0.0,928.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,0.0,71329.98481021966,0.0,17072.0,76257.98481021966,4000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6701.649137992512,20104.947413977534,0.0,6701.649137992512,0.0,20104.947413977534,0.0,0.0,5315.101040476819,15945.303121430457,5315.101040476819,15945.303121430457,26806.596551970048,0.0,0.0,0.0,5546.192390062769,0.0,5546.192390062769,0.0,0.0,0.0,0.0,0.0,"💰 Part-time consulting, 🎉 Retirement (A)",230079.61493468256,47146.4591506831,182542.00662161576,1122385.6027392424,589031.2947928945,533354.3079463481,862426.5792365016,466613.32470812683,395813.25452837476,662243.7401948839,198869.76286251727,17072.0,77404.39970765047
2035,2434144.496442502,733511.355522983,49938.816563611756,683572.5389593713,3117717.0354018733,0.0,74204.58319807152,22000.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,pre_retirement,brackets,married_joint,928.0,0.0,928.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,0.0,74204.58319807152,0.0,1072.0,95132.58319807152,20000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7244.713809519491,21734.141428558476,0.0,7244.713809519491,0.0,21734.141428558476,0.0,0.0,5795.7710476155935,17387.313142846782,5795.7710476155935,17387.313142846782,28978.855238077966,0.0,0.0,0.0,5795.7710476155935,0.0,5795.7710476155935,0.0,0.0,0.0,0.0,0.0,"🏖️ Travel (post-retirement), 💰 Part-time consulting",241064.2055692486,47146.4591506831,193244.92973197647,1201458.1523619466,629980.3975741109,571477.7547878355,966648.1020169065,488347.46613668534,478300.6358802211,723220.5979849081,244510.12668858244,18656.16,49938.816563611756
