year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2026,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,935942.4705536085,1018134.9705536085,1082777.4705536086,646352.5,728545.0,793187.5
2027,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1051675.7997034125,1136179.9722034123,1282561.6572034124,725891.1975,810395.37,956777.0549999999
2028,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1151956.0697247689,1325474.8517997686,1408868.6545872686,788292.7492275,961811.5313025,1045205.3340899999
2029,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1277823.1407197288,1459285.8394846362,1647587.1622837463,874513.4364337875,1055976.135198695,1244277.457997805
2030,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1405500.4321354858,1722221.8576305367,1896934.7229247212,960688.7199609643,1277410.145456015,1452123.0107501994
2031,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1519460.2299953708,1946590.6072155049,2095315.334239989,1031198.3083084266,1458328.6855285608,1607053.412553045
2032,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1715390.60727533,2136763.447843725,2433568.634474798,1181632.8254041388,1603005.6659725336,1899810.8526036069
2033,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1882824.0467916564,2495615.8564461353,2699444.9004874034,1301422.16667671,1914213.9763311888,2118043.020372457
2034,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2090631.5816884171,2865444.1160637983,3010403.561118709,1459329.3577023642,2234141.8920777454,2379101.337132656
2035,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2365184.6761192917,3117717.0354018733,3394539.1500650644,1681612.1371599203,2434144.496442502,2710966.6111056935
2036,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2610929.6504266826,3557219.3524154564,3722851.925509693,1872597.0674850936,2818886.7694738675,2984519.342568104
2037,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2941191.6394204567,3815696.0807468304,4177347.467487556,2155435.9376003495,3029940.3789267233,3391591.7656674488
2038,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3061571.066220853,4067522.5567587325,4385189.960131237,2248313.914837042,3254265.405374921,3571932.8087474266
2039,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3255736.656626459,4436083.984875819,4621025.635864099,2414015.5049442146,3594362.833193574,3779304.4841818544
2040,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3576292.0819276557,4591194.368618989,5145976.358536525,2705110.6899365326,3720012.976627867,4274794.966545402
2041,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3779608.5688493783,4941546.471078973,5625967.10389768,2877935.828138566,4039873.730368161,4724294.363186868
2042,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3946318.77069074,5131822.740750382,5991750.625680357,3013087.4840550497,4198591.454114692,5058519.339044666
2043,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4183416.996533015,5336906.157092233,6511880.048144013,3217522.614865075,4371011.775424294,5545985.666476073
2044,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4480660.190794233,5525909.40357468,7047512.843918029,3480959.5057679154,4526208.718548363,6047812.158891713
2045,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4816861.892826539,5981024.273162944,7663533.541606964,3782171.6838243008,4946334.0641607065,6628843.332604725
2046,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5260319.214175911,5844280.734871948,8139742.588044433,4189414.8478585947,4773376.368554631,7068838.221727116
2047,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5432199.630544156,6413891.131390463,8474848.805969872,4323813.611405734,5305505.11225204,7366462.78683145
