year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0
2027,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29126.21359223301,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,0.0
2028,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28277.87727401263,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,0.0
2029,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27454.249780594786,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,0.0
2030,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26654.611437470663,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,0.0
2031,pre_retirement,brackets,married_joint,0.0,0.0,28281.974090677137,11750.27370917716,28281.974090677137,0.0,0.0,28281.974090677137,0.0,0.0,28281.974090677137,28281.974090677137,25878.263531524917,2403.7105591522204,0.008488833477856507,240.37105591522203,1510.859285848863,1751.230341764085,1.0,oregon,married_joint,4890.991807458209,28281.974090677137,23390.982283218927,0.05341741963736378,0.0
2032,pre_retirement,brackets,married_joint,0.0,0.0,2396.3083540682364,953.6286726663801,2396.3083540682364,0.0,0.0,2396.3083540682364,0.0,0.0,2396.3083540682364,2396.3083540682364,25124.527700509625,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4748.535735396319,2396.3083540682364,0.0,0.0,0.0
2033,pre_retirement,brackets,married_joint,0.0,0.0,18989.653657426483,5825.086177261324,18989.653657426483,0.0,0.0,18989.653657426483,0.0,0.0,18989.653657426483,18989.653657426483,24392.745340300607,0.0,0.0,0.0,828.5402500588773,828.5402500588773,1.0,oregon,married_joint,4610.228869316815,18989.653657426483,14379.424788109667,0.04355845818109974,0.0
2034,pre_retirement,brackets,married_joint,0.0,17367.003154906582,0.0,0.0,0.0,0.0,0.0,17367.003154906582,0.0,0.0,17367.003154906582,17367.003154906582,23682.277029418066,0.0,0.0,0.0,732.5717694433322,732.5717694433322,1.0,oregon,married_joint,4475.950358560014,17367.003154906582,12891.052796346567,0.04218181818181818,0.0
2035,pre_retirement,brackets,married_joint,0.0,16861.16811155979,0.0,0.0,0.0,0.0,0.0,16861.16811155979,0.0,0.0,16861.16811155979,16861.16811155979,22992.5019703088,0.0,0.0,0.0,711.2347276148856,711.2347276148856,1.0,oregon,married_joint,4345.582872388363,16861.16811155979,12515.585239171425,0.04218181818181818,0.0
2036,pre_retirement,brackets,married_joint,0.0,16370.066127727949,15253.15840352016,3077.2597093661843,15253.15840352016,0.0,0.0,31623.22453124811,0.0,0.0,31623.22453124811,31623.22453124811,22322.817446901747,9300.40708434636,0.02941000451836465,930.0407084346361,1935.0162256889332,2865.0569341235696,1.0,oregon,married_joint,4219.01249746443,31623.22453124811,27404.21203378368,0.06118967336280173,0.0
2037,pre_retirement,brackets,married_joint,0.0,15893.268085172764,0.0,0.0,0.0,0.0,0.0,15893.268085172764,0.0,0.0,15893.268085172764,15893.268085172764,21672.638297962858,0.0,0.0,0.0,670.4069446836511,670.4069446836511,1.0,oregon,married_joint,4096.128638314981,15893.268085172764,11797.139446857784,0.04218181818181818,0.0
2038,retirement,brackets,married_joint,0.0,0.0,97850.90561428509,15692.450498514218,97850.90561428509,0.0,0.0,97850.90561428509,0.0,0.0,97850.90561428509,97850.90561428509,21041.396405789186,76809.50920849592,0.09977995127331828,9763.65588454618,7779.705631100454,17543.361515646633,1.0,oregon,married_joint,3976.8239206941557,97850.90561428509,93874.08169359094,0.07950564511222566,0.0
2039,retirement,brackets,married_joint,0.0,0.0,90120.41340009242,11466.039540103313,90120.41340009242,0.0,0.0,90120.41340009242,21670.59544394288,0.85,102867.8224847647,111791.0088440353,20428.540199795323,91362.46864423997,0.11782375959092235,13173.106071322192,7126.155773028602,20299.261844350793,1.0,oregon,married_joint,3860.9940977613164,90120.41340009242,86259.4193023311,0.07907203627083992,0.0
2040,retirement,brackets,married_joint,0.0,0.0,12215.826744853679,1501.7088837318643,12215.826744853679,21813.18989364594,48048.55100214771,12215.826744853679,12376.125324924546,0.5,24591.952069778225,24591.952069778225,19833.53417455857,4758.417895219658,0.01809587820767402,475.8417895219658,460.79911065557735,936.6409001775431,1.0,oregon,married_joint,3748.537958991569,12215.826744853679,8467.28878586211,0.03583312367491015,0.0
2041,retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,26866.649055618385,70776.51752971721,0.0,0.0,0.0,12015.65565526655,0.0,19255.85842190152,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,3639.357241739388,0.0,0.0,0.0,0.0
2042,retirement,brackets,married_joint,0.0,0.0,27891.244924951614,0.0,0.0,12700.901105756584,37963.57295075538,27891.244924951614,19831.664673740906,0.85,39556.93002715215,47722.90959869252,18695.008176603416,29027.901422089097,0.06676119392687865,3186.097540642698,1745.8021802251492,4931.899720867847,1.0,oregon,married_joint,3533.3565453780457,27891.244924951614,24357.888379573567,0.0625918361346925,0.0
2043,retirement,brackets,married_joint,0.0,0.0,29188.895264340907,0.0,0.0,11651.786156248447,37161.019620289706,29188.895264340907,19254.043372563985,0.85,40514.80313055501,48442.93863690489,18150.49337534312,30292.44526156177,0.06907090494743982,3346.500586719457,1880.3911136855477,5226.8917004050045,1.0,oregon,married_joint,3430.44324793985,29188.895264340907,25758.452016401057,0.06440801386825247,0.0
2044,retirement,brackets,married_joint,0.0,0.0,31118.993465604475,0.0,0.0,7897.501898594745,26916.647714059814,31118.993465604475,30736.010238129587,0.85,49198.999488033645,61855.003703734066,17621.83822848847,44233.165475245594,0.08125822431909607,5027.792629196504,2067.0416242016972,7094.834253398201,1.0,oregon,married_joint,3330.5274251843202,31118.993465604475,27788.466040420153,0.06637260128453853,0.0
2045,retirement,brackets,married_joint,0.0,0.0,32183.09418483724,0.0,0.0,6793.994251902234,28691.658218054916,32183.09418483724,29840.786638960763,0.85,49736.498090108274,62023.880823798,17108.580804357734,44915.30001944026,0.08251011743435621,5117.809567543543,2180.7737665287996,7298.583334072343,1.0,oregon,married_joint,3233.521772023612,32183.09418483724,28949.572412813624,0.06775506151699945,0.0
2046,retirement,brackets,married_joint,0.0,0.0,35540.09699363028,0.0,0.0,4022.259492344813,17288.530848735143,35540.09699363028,28971.637513554142,0.85,52582.23670748566,64511.73450718442,16610.272625590034,47901.46188159438,0.08499282417695922,5484.072091044443,2492.3714074697846,7976.443498514229,1.0,oregon,married_joint,3139.3415262365165,35540.09699363028,32400.755467393763,0.07010211513565272,0.0
2047,retirement,brackets,married_joint,0.0,0.0,62277.05027616421,0.0,0.0,0.0,0.0,62277.05027616421,28127.803411217614,0.85,78822.81698864515,90404.85368738184,16126.478277271879,74278.37541010995,0.12027251300494977,10873.291355677204,4849.769567251564,15723.060922928766,1.0,oregon,married_joint,3047.904394404385,62277.05027616421,59229.145881759825,0.07787393184904881,0.0
2048,retirement,brackets,married_joint,0.0,0.0,68902.60196439046,0.0,0.0,0.0,0.0,68902.60196439046,27308.54700118215,0.85,84966.45314155641,96211.14896557259,15656.775026477553,80554.37393909504,0.12891771690244086,12413.271747623256,5446.992031711541,17860.263779334797,1.0,oregon,married_joint,2959.1304800042576,68902.60196439046,65943.4714843862,0.07903459974926036,0.0
2049,retirement,brackets,married_joint,0.0,0.0,70509.9142671639,0.0,0.0,0.0,0.0,70509.9142671639,26513.15242833218,0.85,86105.8862838299,97023.06669549609,15200.752452890827,81822.31424260527,0.13240732449238923,12846.840668346307,5604.770775255063,18451.611443601367,1.0,oregon,married_joint,2872.9422135963664,70509.9142671639,67636.97205356753,0.07948862260595044,0.0
2050,retirement,brackets,married_joint,0.0,0.0,75355.45246656035,0.0,0.0,0.0,0.0,75355.45246656035,25740.924687701143,0.85,90497.17287109044,101096.37715426148,14758.012090185268,86338.36506407624,0.13838590389913757,13990.490348051284,6045.1277190080555,20035.61806705934,1.0,oregon,married_joint,2789.2642850450156,75355.45246656035,72566.18818151533,0.08022121265061653,0.0
2051,retirement,brackets,married_joint,0.0,0.0,81197.9977335001,0.0,0.0,0.0,0.0,81197.9977335001,24991.189017185578,0.85,95898.69715537397,106189.18675068568,14328.167077849774,91861.0196728359,0.14456059694465476,15351.220477494302,6572.091435825061,21923.31191331936,1.0,oregon,married_joint,2708.023577713607,81197.9977335001,78489.97415578649,0.08093845603689784,0.0
2052,retirement,brackets,married_joint,0.0,0.0,85037.89956182573,0.0,0.0,0.0,0.0,85037.89956182573,24263.290307947158,0.85,99310.42327238288,109301.18986977288,13910.841823155119,95390.34804661776,0.14884693403664906,16269.173802751448,6923.657822748022,23192.83162549947,1.0,oregon,married_joint,2629.1491045763178,85037.89956182573,82408.7504572494,0.08141845791186382,0.0
2053,retirement,brackets,married_joint,0.0,0.0,88347.20759872822,0.0,0.0,0.0,0.0,88347.20759872822,23556.592531987535,0.85,102204.02673519147,111903.80013071574,13505.671672966137,98398.12845774961,0.15345957894367457,17175.146198078124,7228.235479371476,24403.381677449597,1.0,oregon,married_joint,2552.5719461905996,88347.20759872822,85794.6356525376,0.0818146582236482,0.0
2054,retirement,brackets,married_joint,0.0,0.0,95063.71382603857,0.0,0.0,0.0,0.0,95063.71382603857,22870.478186395663,0.85,108516.93628862425,117934.19201243424,13112.302595112753,104821.88941732148,0.16028185238829762,18904.433429301054,7830.667109801336,26735.10053910239,1.0,oregon,married_joint,2478.22519047631,95063.71382603857,92585.48863556226,0.08237135174033428,0.0
2055,retirement,brackets,married_joint,0.0,0.0,91390.60258546322,0.0,0.0,0.0,0.0,91390.60258546322,22204.347753782196,0.85,104451.9836170998,113594.95033924542,12730.390869041506,100864.55947020391,0.159660681655546,18136.795213765345,7523.44883042238,25660.244044187726,1.0,oregon,married_joint,2406.043874248845,91390.60258546322,88984.55871121437,0.08232177486683334,0.0
2056,retirement,brackets,married_joint,0.0,0.0,89308.44842620679,0.0,0.0,0.0,0.0,89308.44842620679,21557.619178429315,0.85,101989.40088410638,110866.0676046361,12359.602785477191,98506.46481915891,0.15967629515518517,17747.668974963584,7354.993624257719,25102.6625992213,1.0,oregon,married_joint,2335.964926455189,89308.44842620679,86972.4834997516,0.08231461617685329,0.0
2057,retirement,brackets,married_joint,0.0,0.0,86241.44355802453,0.0,0.0,0.0,0.0,86241.44355802453,20929.727357698364,0.85,98553.04788608241,107171.1709157229,11999.614354832223,95171.55656089068,0.1597281256239922,17118.957475939438,7099.971820181647,24218.92929612108,1.0,oregon,married_joint,2267.9271130632906,86241.44355802453,83973.51644496125,0.08232602779548069,0.0
2058,retirement,brackets,married_joint,0.0,0.0,91042.37144493431,0.0,0.0,0.0,0.0,91042.37144493431,20320.12364825084,0.85,102995.38535567009,111362.49509318515,11650.111024108955,99712.38406907619,0.16499747138359405,18375.422566214864,7533.155956705919,25908.578522920783,1.0,oregon,married_joint,2201.870983556593,91042.37144493431,88840.50046137771,0.08274263925213829,0.0
