year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2026,861348.8606375337,924502.1413319937,990845.0145263448,1051532.0059782788,1117548.6776949728,571758.8900839252,634912.1707783854,701255.0439727365,761942.0354246702,827958.7071413645
2027,891847.9942195086,981785.6045460072,1097077.422314328,1195336.6614931836,1285779.4162428093,566063.3920160963,656001.0023425948,771292.8201109155,869552.0592897711,959994.8140393968
2028,983066.4986195689,1089449.0121167449,1219445.7026885445,1359197.8354895674,1497714.0624042044,619403.1781223002,725785.6916194763,855782.3821912757,995534.5149922988,1134050.7419069356
2029,1066909.7863019286,1191434.1986557706,1334688.774727784,1557328.7003533829,1781826.7779492028,663600.0820159873,788124.4943698293,931379.0704418428,1154018.9960674415,1378517.0736632615
2030,1150054.1098520386,1303110.8000022457,1515760.4913712319,1759668.8285508058,2074337.067986014,705242.3976775169,858299.0878277239,1070948.7791967103,1314857.1163762843,1629525.3558114923
2031,1221163.0026307816,1383861.6113559334,1638093.398187966,1954500.3761138443,2336037.5516570443,732901.0809438374,895599.6896689892,1149831.476501022,1466238.4544269003,1847775.6299701002
2032,1350775.8886319422,1547923.6452974875,1814027.4622211866,2189450.6230690554,2624797.399316057,817018.1067607508,1014165.863426296,1280269.6803499954,1655692.8411978642,2091039.6174448656
2033,1428822.311707525,1647771.6779482495,1997425.726805644,2430901.8704073955,2955013.4558609235,847420.4315925785,1066369.797833303,1416023.8466906976,1849499.990292449,2373611.575745977
2034,1591512.3990541003,1780752.5888783738,2146466.6430345695,2604983.2497989857,3266414.869190477,960210.1750680472,1149450.364892321,1515164.4190485165,1973681.0258129328,2635112.645204424
2035,1680612.0121606463,1897823.7810230833,2259655.230258948,2923100.34037726,3594469.6530375327,997039.4732012749,1214251.242063712,1576082.6912995768,2239527.8014178886,2910897.1140781613
2036,1783636.6110455173,1996394.0308840203,2375129.834893127,3086016.548036248,3916487.341669738,1045304.0281039283,1258061.4479424313,1636797.251951538,2347683.965094659,3178154.758728149
2037,1891881.1612078429,2120862.844952276,2604124.887720145,3444472.933303945,4309082.60360965,1106125.4593877355,1335107.1431321683,1818369.1859000376,2658717.231483838,3523326.9017895428
2038,1747406.895031834,2035175.6631981467,2497905.530960112,3453918.2000813643,4551264.518224314,934149.743648023,1221918.5118143358,1684648.379576301,2640661.0486975526,3738007.3668405027
2039,1722636.0503910964,2030907.390049242,2615455.407306693,3478607.312807748,4810285.9664416155,880914.8987088521,1189186.2383669976,1773734.2556244489,2636886.1611255035,3968564.814759371
2040,1633478.7670802975,1999778.3288721677,2566922.3005320802,3564015.472476531,4897380.658139037,762297.3750891746,1128596.9368810449,1695740.9085409576,2692834.080485408,4026199.2661479143
2041,1532159.7606712817,1922632.6697780315,2592614.1938232947,3643824.6098281834,5192651.520567844,630487.0199604696,1020959.9290672196,1690941.4531124828,2742151.869117371,4290978.779857032
2042,1433338.7280582527,1883847.2263856046,2571927.783394983,3785382.981243815,5680702.22034242,500107.4414225624,950615.9397499141,1638696.4967592924,2852151.6946081244,4747470.93370673
2043,1177389.4997238822,1830891.263030134,2629495.992367212,3874669.946836543,5719091.955638948,211495.1180559427,864996.8813621944,1663601.6106992727,2908775.5651686033,4753197.573971008
2044,1071893.7648283702,1748999.8274925111,2630154.4316124395,3953948.641640542,6131067.555438047,72193.0798020528,749299.1424661938,1630453.7465861226,2954247.956614225,5131366.87041173
2045,962322.24677222,1701608.8499443217,2616112.9383809245,4133777.0775164524,6410293.7364683505,-72367.96223001828,666918.6409420834,1581422.7293786863,3099086.868514214,5375603.527466112
2046,933677.6877890526,1550242.079733271,2612502.0580606256,4322569.251584401,6538229.970258954,-137226.67852826382,479337.7134159544,1541597.6917433087,3251664.8852670845,5467325.603941637
