year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,701255.0439727365,538200.0,248610.0294463915,289589.9705536085,990845.0145263448,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,130000.0,0.0,-4000.0,134000.0,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11112.5,33337.5,7700.0,3412.5,23100.0,10237.5,6050.0,18150.0,2437.5,7312.5,8487.5,25462.5,44450.0,0.0,0.0,0.0,10500.0,6600.0,3900.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,131293.81281468726,68750.0,62543.81281468726,378735.17588112433,191511.33794056217,187223.83794056217,148876.0552769248,143337.5,5538.555276924788,138638.5552769248,10237.5,42350.0,248610.0294463915
2027,748827.9806902092,540812.6213592233,224516.89106464817,316295.73029457516,1065123.7109847844,79170.0,52520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,29126.21359223301,0.0,0.0,1.0,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,0.0,131690.0,0.0,-15533.980582524273,147223.9805825243,15533.980582524273,0.0,1.0,0.0,0.0,0.0,15533.980582524273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11756.917475728156,35270.75242718447,8129.854368932039,3627.0631067961167,24389.56310679612,10881.18932038835,6447.815533980583,19343.44660194175,2637.864077669903,7913.592233009709,9085.679611650485,27257.038834951458,47027.669902912625,0.0,0.0,0.0,10684.95145631068,6728.155339805825,3956.7961165048546,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,134544.72039484908,66747.57281553397,67797.14757931509,399368.13281349506,204020.11110466064,195348.02170883445,187788.5167754949,174433.37378640776,13355.142989087126,166164.35098446353,21349.079602789367,26816.019417475727,224516.89106464817
2028,806656.9725622355,543437.925346404,200650.367143681,342787.55820272287,1149444.5307649584,80357.54999999999,53045.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,28277.87727401263,0.0,0.0,1.0,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,0.0,133402.75,0.0,-3770.3836365350176,137173.133636535,3770.3836365350176,0.0,1.0,0.0,0.0,0.0,3770.3836365350176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12420.65080356301,37261.95241068903,8573.498916014705,3847.1518875483066,25720.496748044112,11541.455662644921,6858.799132811763,20576.39739843529,2843.5470473183136,8530.64114195494,9702.346180130076,29107.038540390233,49682.60321425204,0.0,0.0,0.0,10873.218493731736,6858.799132811763,4014.419360919973,0.0,0.0,0.0,0.0,0.0,,136953.97629833408,64803.46875294561,72150.50754538845,419468.63682835177,216721.80614647406,202447.5929086174,228659.60427678464,206614.74249458007,22044.861782204563,196027.87232272635,33690.44416736672,23045.635780940713,200650.367143681
2029,852343.7880109512,546075.973527697,176990.4615142287,369085.5120134684,1221429.3000244196,81562.91325,53575.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,27454.249780594786,0.0,0.0,1.0,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,0.0,135138.56524999999,0.0,-14642.266549650552,149780.83179965054,14642.266549650552,0.0,1.0,0.0,0.0,0.0,14642.266549650552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12913.22456340879,38739.67369022637,8840.342784611343,4072.8817787974476,26521.02835383403,12218.645336392343,7092.347859986986,21277.04357996096,3054.6613340980857,9163.984002294257,10147.009194085073,30441.027582255218,51652.89825363517,0.0,0.0,0.0,11064.861477294877,6991.979698497429,4072.8817787974476,1.0,0.0,0.0,0.0,0.0,,138534.32919257515,62915.98908052972,75618.34011204544,437862.34622250334,227546.69896261627,209806.4446452799,273398.080111749,239336.51106360505,34061.56904814398,225982.31399910746,47651.211955638144,8403.36923129016,176990.4615142287
2030,951524.1192973959,548726.8277681227,153517.38273985888,395209.4450282638,1346733.5643256595,82786.35694874999,54111.40852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,26654.611437470663,0.0,0.0,1.0,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,0.0,136897.76546875,0.0,-3553.948191662755,140451.71366041276,3553.948191662755,0.0,1.0,0.0,0.0,0.0,3553.948191662755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12972.08160239906,38916.24480719719,8667.711194992777,4304.3704074062825,26003.13358497833,12913.11122221885,6885.774621346588,20657.323864039765,3271.321509628775,9813.964528886327,10157.096130975362,30471.28839292609,51888.326409596244,0.0,0.0,0.0,11259.941885694789,7127.746294584757,4132.195591110031,1.0,0.0,0.0,0.0,0.0,,145675.08090618716,61083.4845442036,84591.59636198357,475135.1916859568,249660.20139475752,224720.7497997891,328326.70081735373,271281.78952914383,57044.91128820993,264722.47456657444,62400.8137464272,4849.421039627404,153517.38273985888
2031,991854.7321911948,551390.5502330165,130211.52750556578,421179.02272745065,1413033.7549186456,84028.15230298124,54652.52260519999,23919.640032223608,0.0,0.0,23919.640032223608,15493.552176861398,23919.640032223608,0.0,0.0,23919.640032223608,0.0,0.0,23919.640032223608,pre_retirement,brackets,married_joint,1132.174029504215,0.0,1132.174029504215,25878.263531524917,0.0,0.0,1.0,oregon,married_joint,4890.991807458209,23919.640032223608,19028.6482247654,0.0473322737379618,0.0,138680.67490818122,0.0,-44262.61324871241,182943.28815689363,43130.439219208194,0.0,1.0,0.0,0.0,0.0,4849.421039627404,39413.192209085006,0.0,0.0,0.0,0.0,0.0,0.0,13043.492992664307,39130.47897799292,8501.755362791348,4541.73762987296,25505.26608837404,13625.212889618879,6685.21807897727,20055.65423693181,3493.6443306715073,10480.932992014523,10178.862409648778,30536.587228946337,52173.97197065722,0.0,0.0,0.0,11458.522332062117,7266.149135256308,4192.373196805809,1.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,111454.02742642992,43810.801749549864,67643.22567688007,501851.974520852,265301.82951747393,237677.92685863544,383407.2376697457,302510.85716162773,80896.38050811799,302206.95960000635,78504.75788376012,0.0,130211.52750556578
2032,1072205.7016025353,554067.2033894873,107053.46418997654,447013.73919951083,1519219.440802046,85288.57458752595,55199.047831252,2100.45827191018,0.0,0.0,2100.45827191018,1249.4787548244365,2100.45827191018,0.0,0.0,2100.45827191018,0.0,0.0,2100.45827191018,pre_retirement,brackets,married_joint,0.0,0.0,0.0,25124.527700509625,0.0,0.0,1.0,oregon,married_joint,4748.535735396319,2100.45827191018,0.0,0.0,0.0,140487.62241877796,0.0,-3349.937026734617,143837.55944551257,3349.937026734617,0.0,1.0,0.0,0.0,0.0,0.0,3349.937026734617,0.0,0.0,0.0,0.0,0.0,0.0,13127.41841405522,39382.255242165666,8342.312841730145,4785.105572325076,25026.93852519044,14355.316716975229,6490.50298929832,19471.508967894963,3721.7487784750588,11165.246335425176,10212.25176777338,30636.755303320137,52509.67365622089,0.0,0.0,0.0,11660.66658512737,7407.239409727303,4253.427175400067,1.0,0.0,0.0,0.0,0.0,,110836.17197752788,41356.83869655274,70077.31945877307,526614.838979905,280790.54248157155,246700.81070484887,431166.1747241169,333082.1165641343,98084.05815998258,332423.10096388136,95138.06135558507,0.0,107053.46418997654
2033,1151356.9696039686,556756.8500078828,84023.91660735372,472732.93340052915,1624089.9030044975,86567.90320633883,55751.03830956451,15971.942014729104,0.0,0.0,15971.942014729104,8639.524942122865,15971.942014729104,0.0,0.0,15971.942014729104,0.0,0.0,15971.942014729104,pre_retirement,brackets,married_joint,625.2673722230388,0.0,625.2673722230388,24392.745340300607,0.0,0.0,1.0,oregon,married_joint,4610.228869316815,15971.942014729104,11361.71314541229,0.03908724248449854,0.0,142318.94151590334,0.0,-24611.466956851968,166930.4084727553,23986.19958462893,0.0,1.0,0.0,0.0,0.0,0.0,24611.466956851968,0.0,0.0,0.0,0.0,0.0,0.0,13223.825209411312,39671.47562823394,8189.226538205569,5034.598671205742,24567.679614616707,15103.796013617228,6301.45921291099,18904.37763873297,3955.7560988045116,11867.268296413535,10257.215311715501,30771.645935146506,52895.30083764525,0.0,0.0,0.0,11866.43959078324,7551.069301178317,4315.370289604922,1.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,88268.89457151902,31185.18536709377,57222.45339074166,564770.063713618,301649.9401788262,262552.02530274383,492104.88997574104,363052.1713215682,129052.71865417282,375839.4253226657,113249.61232772548,0.0,84023.91660735372
2034,1196084.7839008085,559459.5531632608,61103.747905746175,498355.80525751464,1694440.5891583231,0.0,56308.54869266015,17367.003154906582,0.0,17367.003154906582,0.0,0.0,0.0,0.0,0.0,17367.003154906582,0.0,0.0,17367.003154906582,pre_retirement,brackets,married_joint,732.5717694433322,0.0,732.5717694433322,23682.277029418066,0.0,0.0,1.0,oregon,married_joint,4475.950358560014,17367.003154906582,12891.052796346567,0.04218181818181818,0.0,56308.54869266015,0.0,13476.794448207507,60198.75739935922,3157.636937255742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5290.343714663315,15871.031143989943,0.0,5290.343714663315,0.0,15871.031143989943,0.0,0.0,4195.789842664008,12587.369527992023,4195.789842664008,12587.369527992023,21161.37485865326,0.0,0.0,0.0,4378.215487997227,0.0,4378.215487997227,0.0,0.0,0.0,0.0,0.0,"💰 Part-time consulting, 🎉 Retirement (A)",90409.21838525843,30276.878997178417,59376.567313052175,570545.6249853059,302753.46621755674,268826.5656602873,507338.0092186249,368348.8673785222,138989.14184010273,372466.07357428304,130532.57910170598,13476.794448207507,61103.747905746175
2035,1207936.1461691705,562175.3762368689,38273.944607791105,523901.4316290778,1731837.5777982483,0.0,56871.634179586756,16861.16811155979,0.0,16861.16811155979,0.0,0.0,0.0,0.0,0.0,16861.16811155979,0.0,0.0,16861.16811155979,pre_retirement,brackets,married_joint,711.2347276148856,0.0,711.2347276148856,22992.5019703088,0.0,0.0,1.0,oregon,married_joint,4345.582872388363,16861.16811155979,12515.585239171425,0.04218181818181818,0.0,56871.634179586756,0.0,821.5987370723678,72911.20355407418,15328.334646872534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5552.469884656676,16657.40965397003,0.0,5552.469884656676,0.0,16657.40965397003,0.0,0.0,4441.975907725341,13325.927723176026,4441.975907725341,13325.927723176026,22209.879538626705,0.0,0.0,0.0,4441.975907725341,0.0,4441.975907725341,0.0,0.0,0.0,0.0,0.0,"🏖️ Travel (post-retirement), 💰 Part-time consulting",91267.53707710934,29395.028152600404,60428.673126481706,583499.75893434,305222.1149168231,276958.34283771296,532559.8014556086,374277.6692447683,158282.13221084035,380104.87248294003,150879.60966267707,14298.393185279876,38273.944607791105
