year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2026,701255.0439727365,538200.0,248610.0294463915,289589.9705536085,990845.0145263448,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,130000.0,0.0,-4000.0,134000.0,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11112.5,33337.5,7700.0,3412.5,23100.0,10237.5,6050.0,18150.0,2437.5,7312.5,8487.5,25462.5,44450.0,0.0,0.0,0.0,10500.0,6600.0,3900.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,131293.81281468726,68750.0,62543.81281468726,378735.17588112433,191511.33794056217,187223.83794056217,148876.0552769248,143337.5,5538.555276924788,138638.5552769248,10237.5,42350.0,248610.0294463915
2027,771292.8201109155,557037.0,231252.3977965876,325784.6022034124,1097077.422314328,81545.1,54095.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,135640.7,0.0,-16000.0,151640.7,16000.0,0.0,1.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12109.625,36328.875,8373.75,3735.875,25121.25,11207.625,6641.25,19923.75,2717.0,8151.0,9358.25,28074.75,48438.5,0.0,0.0,0.0,11005.5,6930.0,4075.5,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,138581.06200669456,68750.0,69831.06200669454,411349.1767978999,210140.71443780046,201208.46236009948,193422.17227875974,179666.375,13755.79727875974,171149.2815139974,21989.55199087305,27620.5,231252.3977965876
2028,855782.3821912757,576533.2949999999,212869.9745027312,363663.3204972687,1219445.7026885445,85251.324795,56275.65268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,141526.977475,0.0,-4000.0,145526.977475,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13177.068437499998,39531.205312499995,9095.625,4081.4434374999987,27286.875,12244.330312499997,7276.5,21829.5,3016.719062499999,9050.157187499997,10293.219062499998,30879.657187499997,52708.27374999999,0.0,0.0,0.0,11535.3975,7276.5,4258.897499999999,0.0,0.0,0.0,0.0,0.0,,145294.47345490262,68750.0,76544.47345490262,445014.27681119845,229920.16414079434,214776.6513167522,242584.97417724083,219197.5803125,23387.39386474082,207965.96974718038,35742.19221715935,24449.115,212869.9745027312
2029,931379.0704418428,596711.9603249999,193402.2560390586,403309.7042859413,1334688.774727784,89125.99750693275,58543.56148300401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,147669.55898993675,0.0,-16000.0,163669.55898993675,16000.0,0.0,1.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14110.629137499998,42331.8874125,9660.08125,4450.547887499999,28980.24375,13351.643662499997,7750.0,23250.0,3337.9109156249992,10013.732746874997,11087.910915625,33263.732746875,56442.51655,0.0,0.0,0.0,12090.8728875,7640.325000000001,4450.547887499999,1.0,0.0,0.0,0.0,0.0,,151380.2019356151,68750.0,82630.20193561508,478464.00800067745,248646.42171732284,229261.1668379028,298749.46388627123,261529.467725,37219.996161271236,246936.9760293027,52069.7658866486,9182.588450000003,193402.2560390586
2030,1070948.7791967103,617596.8789363748,172785.16676185312,444811.71217452164,1515760.4913712319,93176.77409362285,60902.86701076906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,154079.64110439192,0.0,-4000.0,158079.64110439192,4000.0,0.0,1.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.19212753906,43800.57638261719,9755.5853125,4844.606815039061,29266.755937500002,14533.820445117184,7750.0,23250.0,3681.9011794296866,11045.70353828906,11431.901179429686,34295.70353828906,58400.76851015625,0.0,0.0,0.0,12673.163792437499,8022.341250000001,4650.822542437499,1.0,0.0,0.0,0.0,0.0,,163958.58695737645,68750.0,95208.58695737646,534768.8441835833,280994.7561761739,252925.1836894684,369534.59432816587,305330.04410761717,64204.55022054873,297947.4773296806,70232.66562277293,5458.066103500003,172785.16676185312
2031,1149831.476501022,639212.7696991479,150950.8480122038,488261.9216869441,1638093.398187966,97411.658476178,63357.252551303056,27729.418555945253,0.0,0.0,27729.418555945253,17961.273357449747,27729.418555945253,0.0,0.0,27729.418555945253,0.0,0.0,27729.418555945253,pre_retirement,brackets,married_joint,1312.5,0.0,1312.5,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,27729.418555945253,22059.418555945253,0.0473322737379618,0.0,160768.91102748105,0.0,-51312.5,212081.41102748105,50000.0,0.0,1.0,0.0,0.0,0.0,5621.808086605003,45690.691913395,0.0,0.0,0.0,0.0,0.0,0.0,15120.983264709454,45362.949794128355,9855.864578125002,5265.118686584452,29567.593734375,15795.356059753356,7750.0,23250.0,4050.0912973726554,12150.273892117966,11800.091297372655,35400.27389211797,60483.93305883781,0.0,0.0,0.0,13283.56786934719,8423.458312500003,4860.1095568471865,1.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,129205.76447178138,50788.726642550246,78417.03782923114,581783.9831982879,307557.532823966,275533.8586405877,444474.0705295146,350692.99390174553,93781.07662776904,350340.6933373149,91008.53052384165,0.0,150950.8480122038
2032,1280269.6803499954,661585.216638618,127827.43476742657,533757.7818711915,1814027.4622211866,101839.01835392028,65910.54982912057,2508.0570233376857,0.0,0.0,2508.0570233376857,1491.9429766623139,2508.0570233376857,0.0,0.0,2508.0570233376857,0.0,0.0,2508.0570233376857,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,2508.0570233376857,0.0,0.0,0.0,167749.56818304086,0.0,-4000.0,171749.56818304086,4000.0,0.0,1.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,15674.824104799722,47024.47231439917,9961.15780703125,5713.666297768473,29883.473421093753,17140.99889330542,7750.0,23250.0,4443.962676042145,13331.888028126436,12193.962676042145,36581.888028126436,62699.296419198894,0.0,0.0,0.0,13923.44571503031,8844.631228125001,5078.814486905309,1.0,0.0,0.0,0.0,0.0,,132344.18568825038,49382.22822279822,83675.98423434437,628805.6578702051,335278.5920937443,294573.66957769095,514834.96111495595,397717.46621614473,117117.49489881122,396930.56712521426,113599.82064895327,0.0,127827.43476742657
2033,1416023.8466906976,684740.6992209696,103338.81910602307,581401.8801149465,1997425.726805644,106467.60173810596,68566.74498723412,19643.47406399677,0.0,0.0,19643.47406399677,10625.525936003225,19643.47406399677,0.0,0.0,19643.47406399677,0.0,0.0,19643.47406399677,pre_retirement,brackets,married_joint,769.0,0.0,769.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,19643.47406399677,13973.474063996773,0.03908724248449854,0.0,175034.3467253401,0.0,-30269.0,205303.3467253401,29500.0,0.0,1.0,0.0,0.0,0.0,0.0,30269.0,0.0,0.0,0.0,0.0,0.0,0.0,16263.637026001536,48790.9110780046,10071.715697382813,6191.921328618721,30215.147092148436,18575.763985856167,7750.0,23250.0,4865.08104391471,14595.24313174413,12615.08104391471,37845.24313174413,65054.54810400614,0.0,0.0,0.0,14594.223928347299,9286.862789531251,5307.361138816047,1.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,108559.60656345445,38353.84447141872,70376.39994076593,694595.9413357177,370991.3779329139,322905.87423421396,605226.9432289451,446508.3772941493,158718.56593479577,462235.0868006487,139282.7384713678,0.0,103338.81910602307
2034,1515164.4190485165,708706.6236937034,77404.39970765047,631302.2239860529,2146466.6430345695,0.0,71329.98481021966,22000.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,pre_retirement,brackets,married_joint,928.0,0.0,928.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,0.0,71329.98481021966,0.0,17072.0,76257.98481021966,4000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6701.649137992512,20104.947413977534,0.0,6701.649137992512,0.0,20104.947413977534,0.0,0.0,5315.101040476819,15945.303121430457,5315.101040476819,15945.303121430457,26806.596551970048,0.0,0.0,0.0,5546.192390062769,0.0,5546.192390062769,0.0,0.0,0.0,0.0,0.0,"💰 Part-time consulting, 🎉 Retirement (A)",114527.69293208461,38353.84447141872,75216.45900767238,722750.1277979845,383519.0330407972,340541.4504606355,642680.6112289086,466613.32470812683,176067.28652078187,471828.8783358204,165354.76585240354,17072.0,77404.39970765047
2035,1576082.6912995768,733511.355522983,49938.816563611756,683572.5389593713,2259655.230258948,0.0,74204.58319807152,22000.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,pre_retirement,brackets,married_joint,928.0,0.0,928.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,22000.0,16330.0,0.04218181818181818,0.0,74204.58319807152,0.0,1072.0,95132.58319807152,20000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7244.713809519491,21734.141428558476,0.0,7244.713809519491,0.0,21734.141428558476,0.0,0.0,5795.7710476155935,17387.313142846782,5795.7710476155935,17387.313142846782,28978.855238077966,0.0,0.0,0.0,5795.7710476155935,0.0,5795.7710476155935,0.0,0.0,0.0,0.0,0.0,"🏖️ Travel (post-retirement), 💰 Part-time consulting",119083.43493235362,38353.84447141872,78845.71222981626,761334.8382283555,398245.6306551189,361367.8187724343,694869.7477247049,488347.46613668534,206522.28158801963,495950.6446585748,196863.66867448486,18656.16,49938.816563611756
