year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2026,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,861348.8606375337,990845.0145263448,1117548.6776949728,571758.8900839252,701255.0439727365,827958.7071413645
2027,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,865871.8390480665,1065123.7109847844,1248329.5303328244,549576.1087534915,748827.9806902092,932033.8000382493
2028,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,926634.4600052491,1149444.5307649584,1411739.1482742997,583846.9018025263,806656.9725622355,1068951.5900715766
2029,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,976373.5922164718,1221429.3000244196,1630623.914252327,607288.0802030034,852343.7880109512,1261538.4022388586
2030,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1021808.181005743,1346733.5643256595,1843021.6179169791,626598.7359774793,951524.1192973959,1447812.1728887153
2031,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1053385.9332342541,1413033.7549186456,2015086.5127106414,632206.9105068033,991854.7321911948,1593907.4899831908
2032,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1131253.5410371246,1519219.440802046,2198226.498911397,684239.8018376138,1072205.7016025353,1751212.759711886
2033,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1161763.2928673758,1624089.9030044975,2402696.3568659048,689030.3594668467,1151356.9696039686,1929963.423465375
2034,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1256354.5843384317,1694440.5891583231,2578538.060839308,757998.7790809171,1196084.7839008085,2080182.2555817936
2035,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1288049.16669761,1731837.5777982483,2754861.6859893557,764147.7350685322,1207936.1461691705,2230960.2543602777
2036,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1327193.148665986,1767319.6572336387,2914234.3987065023,777804.3665291682,1217930.8750968208,2364845.6165696844
2037,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1366735.203652918,1881275.2258093948,3112972.955469201,799088.5664492799,1313628.5886057569,2545326.3182655624
2038,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1225596.0386858024,1751980.6820381675,3192165.3625186975,655193.8352821466,1181578.4786345118,2621763.1591150416
2039,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1173031.326834372,1780997.8642978943,3275570.6745987944,599860.1806957471,1207826.7181592695,2702399.5284601697
2040,250,250,1.0,0,0.0,0,0.0,1,0.004,1,0.004,1.0,1.0,1.0,1079921.898343429,1697038.0390346502,3237745.554967424,503968.3680002478,1121084.5086914692,2661792.024624243
2041,250,249,0.996,1,0.004,1,0.004,2,0.008,1,0.004,1.0,1.0,1.0,983435.0477073574,1664100.3952957906,3332965.4171442017,404685.62644018006,1085350.9740286134,2754215.9958770247
2042,250,248,0.992,2,0.008,1,0.004,6,0.024,4,0.016,1.0,1.0,1.0,893209.3080297126,1602740.3646734236,3540025.8152716905,311650.4235525006,1021181.4801962116,2958466.930794479
2043,250,244,0.976,6,0.024,4,0.016,10,0.04,4,0.016,1.0,1.0,1.0,712340.010497896,1590888.3196650792,3460144.688460096,127958.02463972666,1006506.3338069099,2875762.7026019264
2044,250,240,0.96,10,0.04,4,0.016,20,0.08,10,0.04,1.0,1.0,1.0,629624.6173977,1544938.5303272149,3601356.0209954507,42405.825782937754,957719.7387124528,3014137.2293806886
2045,250,226,0.904,24,0.096,14,0.056,30,0.12,6,0.024,0.6563259670239877,1.0,1.0,548798.9306244537,1491932.6533205267,3655700.945667902,-41270.43764863255,901863.2850474403,3065631.577394815
2046,250,213,0.852,37,0.148,13,0.052,42,0.168,5,0.02,0.3096786990746329,1.0,1.0,516954.69795355666,1446479.0473100678,3620059.4098268216,-75979.08472862214,853545.2646278889,3027125.6271446426
2047,250,208,0.832,42,0.168,5,0.02,46,0.184,4,0.016,0.30178204520747487,1.0,1.0,519249.8838324591,1460916.7381597883,3687233.542176218,-76562.2181831283,865104.6361442008,3091421.4401606307
2048,250,201,0.804,49,0.196,7,0.028,56,0.224,7,0.028,0.29405874195153825,1.0,1.0,521576.0266048588,1367846.741906331,3761338.146107508,-77128.36716808572,769142.3481333862,3162633.7523345635
2049,250,191,0.764,59,0.236,10,0.04,66,0.264,7,0.028,0.2865064068248721,1.0,1.0,523932.6994047687,1327492.7140633082,4073186.4211241454,-77678.02637678226,725881.9882817571,3471575.6953425943
2050,250,182,0.728,68,0.272,9,0.036,68,0.272,0,0.0,0.27912261559318374,1.0,1.0,526319.4901040028,1305191.3358496064,4159534.0809320663,-78211.67609396337,700660.1696516402,3555002.9147341005
2051,250,181,0.724,69,0.276,1,0.004,76,0.304,7,0.028,0.27190490704874903,1.0,1.0,528736.0008941083,1290189.20766246,4625554.994669579,-78729.7826154984,682723.4241528532,4018089.2111599734
2052,250,171,0.684,79,0.316,10,0.04,88,0.352,9,0.036,0.26485078761675396,1.0,1.0,531181.8478805285,1139334.6419619026,4613948.2866311455,-79232.79865582369,528919.9954255503,4003533.6400947943
