year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0
2027,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29126.21359223301,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,0.0
2028,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28277.87727401263,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,0.0
2029,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27454.249780594786,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,0.0
2030,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26654.611437470663,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,0.0
2031,pre_retirement,brackets,married_joint,0.0,0.0,23919.640032223608,15493.552176861398,23919.640032223608,0.0,0.0,23919.640032223608,0.0,0.0,23919.640032223608,23919.640032223608,25878.263531524917,0.0,0.0,0.0,1132.174029504215,1132.174029504215,1.0,oregon,married_joint,4890.991807458209,23919.640032223608,19028.6482247654,0.0473322737379618,0.0
2032,pre_retirement,brackets,married_joint,0.0,0.0,2100.45827191018,1249.4787548244365,2100.45827191018,0.0,0.0,2100.45827191018,0.0,0.0,2100.45827191018,2100.45827191018,25124.527700509625,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4748.535735396319,2100.45827191018,0.0,0.0,0.0
2033,pre_retirement,brackets,married_joint,0.0,0.0,15971.942014729104,8639.524942122865,15971.942014729104,0.0,0.0,15971.942014729104,0.0,0.0,15971.942014729104,15971.942014729104,24392.745340300607,0.0,0.0,0.0,625.2673722230388,625.2673722230388,1.0,oregon,married_joint,4610.228869316815,15971.942014729104,11361.71314541229,0.03908724248449854,0.0
2034,pre_retirement,brackets,married_joint,0.0,17367.003154906582,0.0,0.0,0.0,0.0,0.0,17367.003154906582,0.0,0.0,17367.003154906582,17367.003154906582,23682.277029418066,0.0,0.0,0.0,732.5717694433322,732.5717694433322,1.0,oregon,married_joint,4475.950358560014,17367.003154906582,12891.052796346567,0.04218181818181818,0.0
2035,pre_retirement,brackets,married_joint,0.0,16861.16811155979,0.0,0.0,0.0,0.0,0.0,16861.16811155979,0.0,0.0,16861.16811155979,16861.16811155979,22992.5019703088,0.0,0.0,0.0,711.2347276148856,711.2347276148856,1.0,oregon,married_joint,4345.582872388363,16861.16811155979,12515.585239171425,0.04218181818181818,0.0
2036,pre_retirement,brackets,married_joint,0.0,16370.066127727949,12193.109933559379,5153.209564679717,12193.109933559379,0.0,0.0,28563.176061287326,0.0,0.0,28563.176061287326,28563.176061287326,22322.817446901747,6240.358614385578,0.0218474857775842,624.0358614385578,1667.886510241009,2291.922371679567,1.0,oregon,married_joint,4219.01249746443,28563.176061287326,24344.163563822898,0.058389384620852386,0.0
2037,pre_retirement,brackets,married_joint,0.0,15893.268085172764,0.0,0.0,0.0,0.0,0.0,15893.268085172764,0.0,0.0,15893.268085172764,15893.268085172764,21672.638297962858,0.0,0.0,0.0,670.4069446836511,670.4069446836511,1.0,oregon,married_joint,4096.128638314981,15893.268085172764,11797.139446857784,0.04218181818181818,0.0
2038,retirement,brackets,married_joint,0.0,0.0,54051.78987332218,16558.798911822323,54051.78987332218,17772.17471276422,2545.3218588952013,54051.78987332218,0.0,0.0,54051.78987332218,54051.78987332218,21041.396405789186,33010.393467532995,0.06709619727544458,3626.689013251911,3947.365965726051,7574.0549789779625,1.0,oregon,married_joint,3976.8239206941557,54051.78987332218,50074.96595262802,0.07302921701273743,0.0
2039,retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,44786.70912339486,20615.722154901494,0.0,0.0,0.0,12747.409084672283,0.0,20428.540199795323,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,3860.9940977613164,0.0,0.0,0.0,0.0
2040,retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,44404.70890307575,32947.5691131159,0.0,0.0,0.0,12376.125324924546,0.0,19833.53417455857,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,3748.537958991569,0.0,0.0,0.0,0.0
2041,retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,46746.37101940974,46305.999910598446,0.0,0.0,0.0,12015.65565526655,0.0,19255.85842190152,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,3639.357241739388,0.0,0.0,0.0,0.0
2042,retirement,brackets,married_joint,0.0,0.0,15550.305724994792,0.0,0.0,26076.343067058537,30479.339024361318,15550.305724994792,11665.685102200532,0.5,27215.990827195325,27215.990827195325,18695.008176603416,8520.982650591908,0.03130853708176427,852.0982650591907,701.9975570314583,1554.095822090649,1.0,oregon,married_joint,3533.3565453780457,15550.305724994792,12016.949179616746,0.04514363233527452,0.0
2043,retirement,brackets,married_joint,0.0,0.0,19915.080560273465,0.0,0.0,25223.12836604308,36464.29547667764,19915.080560273465,19254.043372563985,0.85,31240.988426487573,39169.12393283745,18150.49337534312,21018.630557494325,0.05702559925130338,2233.6428222313634,1067.8540269160203,3301.4968491473837,1.0,oregon,married_joint,3430.44324793985,19915.080560273465,16484.637312333616,0.0536203768044538,0.0
2044,retirement,brackets,married_joint,0.0,0.0,23281.367050578792,0.0,0.0,11789.038067689664,25878.77736306833,23281.367050578792,30736.010238129587,0.85,41361.373073007955,54017.377288708376,17621.83822848847,36395.539060219904,0.07566596931851496,4087.2774593934223,1380.9647225058795,5468.2421818993025,1.0,oregon,married_joint,3330.5274251843202,23281.367050578792,19950.839625394474,0.059316340215000804,0.0
2045,retirement,brackets,married_joint,0.0,0.0,23860.159805690797,0.0,0.0,8652.770199743965,24568.267545150782,23860.159805690797,29840.786638960763,0.85,41413.56371096183,53700.946444651556,17108.580804357734,36592.36564029382,0.07670346040627193,4119.057442045971,1450.5225091961302,5569.579951242102,1.0,oregon,married_joint,3233.521772023612,23860.159805690797,20626.638033667183,0.06075961198809288,0.0
2046,retirement,brackets,married_joint,0.0,0.0,25669.583616784745,0.0,0.0,3877.6390873594523,11177.29383641815,25669.583616784745,28971.637513554142,0.85,42711.72333064012,54641.22113033889,16610.272625590034,38030.948504748856,0.0786877944322592,4299.61048582298,1628.914068816196,5928.524554639176,1.0,oregon,married_joint,3139.3415262365165,25669.583616784745,22530.24209054823,0.06345621538304881,0.0
2047,retirement,brackets,married_joint,0.0,0.0,48593.8489183183,0.0,0.0,0.0,0.0,48593.8489183183,28127.803411217614,0.85,65139.615630799235,76721.65232953591,16126.478277271879,60595.17405226403,0.10248633427264198,7862.9870569511,3652.647329802081,11515.634386753181,1.0,oregon,married_joint,3047.904394404385,48593.8489183183,45545.9445239139,0.07516663226689663,0.0
2048,retirement,brackets,married_joint,0.0,0.0,50195.25067684257,0.0,0.0,0.0,0.0,50195.25067684257,27308.54700118215,0.85,66259.10185400854,77503.79767802471,15656.775026477553,61847.02265154716,0.10705987078004622,8297.65446436272,3810.0762026933126,12107.730667056034,1.0,oregon,married_joint,2959.1304800042576,50195.25067684257,47236.12019683831,0.07590477967769539,0.0
2049,retirement,brackets,married_joint,0.0,0.0,48483.96885587103,0.0,0.0,0.0,0.0,48483.96885587103,26513.15242833218,0.85,64079.940872537016,74997.12128420321,15200.752452890827,59796.368831312386,0.10668586170791716,8001.132677861875,3677.315364228506,11678.448042090382,1.0,oregon,married_joint,2872.9422135963664,48483.96885587103,45611.026642274664,0.07584600559055063,0.0
2050,retirement,brackets,married_joint,0.0,0.0,50289.43773669562,0.0,0.0,0.0,0.0,50289.43773669562,25740.924687701143,0.85,65431.15814122571,76030.36242439676,14758.012090185268,61272.35033421149,0.11148133553442746,8475.967107481043,3851.841155538355,12327.808263019399,1.0,oregon,married_joint,2789.2642850450156,50289.43773669562,47500.1734516506,0.0765934406609804,0.0
2051,retirement,brackets,married_joint,0.0,0.0,52506.17092205501,0.0,0.0,0.0,0.0,52506.17092205501,24991.189017185578,0.85,67206.8703439289,77497.35993924059,14328.167077849774,63169.192861390824,0.11663515996576992,9039.018578976384,4061.79656378578,13100.815142762163,1.0,oregon,married_joint,2708.023577713607,52506.17092205501,49798.14734434141,0.07735818367099628,0.0
2052,retirement,brackets,married_joint,0.0,0.0,47508.59512531943,0.0,0.0,0.0,0.0,47508.59512531943,24263.290307947158,0.85,61781.11883587658,71771.88543326658,13910.841823155119,57861.04361011146,0.11164053443953803,8012.72682672006,3640.003610392256,11652.730437112315,1.0,oregon,married_joint,2629.1491045763178,47508.59512531943,44879.44602074311,0.0766175558481392,0.0
2053,retirement,brackets,married_joint,0.0,0.0,47268.62997007042,0.0,0.0,0.0,0.0,47268.62997007042,23556.592531987535,0.85,61125.44910653368,70825.22250205795,13505.671672966137,57319.55082909182,0.11338951581376121,8030.978107153149,3634.1511526673044,11665.129259820453,1.0,oregon,married_joint,2552.5719461905996,47268.62997007042,44716.058023879814,0.07688248643687604,0.0
2054,retirement,brackets,married_joint,0.0,0.0,48970.02003010224,0.0,0.0,0.0,0.0,48970.02003010224,22870.478186395663,0.85,62423.242492687925,71840.49821649789,13112.302595112753,58728.195621385144,0.11795901196111985,8474.258303455168,3797.322831544653,12271.581134999822,1.0,oregon,married_joint,2478.22519047631,48970.02003010224,46491.79483962593,0.07754375996386698,0.0
2055,retirement,brackets,married_joint,0.0,0.0,43070.443411677305,0.0,0.0,0.0,0.0,43070.443411677305,22204.347753782196,0.85,56131.82444331389,65274.791165459494,12730.390869041506,52544.400296417996,0.11096145519104811,7243.316867882285,3295.4738496325444,10538.790717514828,1.0,oregon,married_joint,2406.043874248845,43070.443411677305,40664.39953742846,0.07651238602997054,0.0
2056,retirement,brackets,married_joint,0.0,0.0,34820.247155505844,0.0,0.0,0.0,0.0,34820.247155505844,21557.619178429315,0.85,47501.199613405435,56377.86633393516,12359.602785477191,44018.263548457966,0.09742802577495228,5493.288662864954,2587.276849759892,8080.565512624846,1.0,oregon,married_joint,2335.964926455189,34820.247155505844,32484.282229050652,0.07430132877974412,0.0
2057,retirement,brackets,married_joint,0.0,0.0,28011.04129804852,0.0,0.0,0.0,0.0,28011.04129804852,20929.727357698364,0.85,40322.64562610639,48940.768655746884,11999.614354832223,36941.15430091466,0.08667576822268147,4242.144647867926,2004.7355715473036,6246.88021941523,1.0,oregon,married_joint,2267.9271130632906,28011.04129804852,25743.11418498523,0.07156452466763402,0.0
2058,retirement,brackets,married_joint,0.0,0.0,24606.225611975016,0.0,0.0,0.0,0.0,24606.225611975016,20320.12364825084,0.85,36559.239522710806,44926.34926022586,11650.111024108955,33276.2382361169,0.08475720982617746,3807.9118230506956,1719.9447241926189,5527.856547243315,1.0,oregon,married_joint,2201.870983556593,24606.225611975016,22404.354628418427,0.06989577792512393,0.0
