year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_home_mortgage_balance,liability_rav4_hybrid_auto_loan_balance
2026,718545.0,638600.0,357434.1739687227,281165.8260312773,999710.8260312773,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,130000.0,0.0,-3500.0,133500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20907.0,23493.0,9207.0,11700.0,20493.0,3000.0,7161.0,15938.999999999998,7800.0,3000.0,14961.0,18939.0,44400.0,0.0,0.0,0.0,10500.0,6600.0,3900.0,False,False,0.0,0.0,False,💸 Home maintenance reserve,127320.0,60000.0,67320.0,424087.0,251115.0,172972.0,124288.0,118493.0,5795.0,121288.0,3000.0,42850.0,357434.1739687227,23074.993037351393
2027,795545.395,657758.0,349421.66284505284,308336.33715494716,1103881.7321549472,81143.4,53827.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,134971.2,0.0,-11500.0,146471.2,11500.0,0.0,1.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21684.78,24312.719999999998,9575.279999999999,12109.5,21312.719999999998,3000.0,7447.44,16576.559999999998,8073.0,3000.0,15520.439999999999,19576.559999999998,45997.5,0.0,0.0,0.0,10900.5,6864.0,4036.5,False,False,0.0,0.0,False,🏖️ Travel,135086.52,60000.0,75086.51999999999,471641.08700000006,276008.29500000004,195632.792,156182.288,142805.72,13376.568,149999.288,6183.0,32635.5,349421.66284505284,17820.149237288784
2028,887218.8160949999,677490.74,340936.0944164996,336554.6455835004,1223773.4616785003,84413.47902,55719.84717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,140133.32619,0.0,-3500.0,143633.32619,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22491.623699999996,25165.2288,9958.291200000001,12533.332499999997,22165.2288,3000.0,7745.337600000001,17239.6224,8355.554999999998,3000.0,16100.8926,20239.6224,47656.85249999999,0.0,0.0,0.0,11316.337499999998,7138.5599999999995,4177.777499999999,False,False,0.0,0.0,False,,143326.79771999997,60000.0,83326.79771999997,522902.817007,302803.09219500003,220099.72481199997,190874.636368,167970.9488,22903.687567999994,181314.473368,9560.163,30114.565000000002,340936.0944164996,12213.378815951897
2029,978286.0722992949,697815.4622,331949.5394595961,365865.92274040385,1344151.9950396987,87815.342224506,57678.39979802549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,145493.7420225315,0.0,-11500.0,156993.7420225315,11500.0,0.0,1.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23328.621985499994,26051.837952,10356.622848,12971.999137499995,23051.837952,3000.0,8055.1511040000005,17929.207296,8647.999424999996,3000.0,16703.150529,20929.207296,49380.459937499996,0.0,0.0,0.0,11748.102112499997,7424.1024,4323.999712499998,False,False,0.0,0.0,False,,152069.73238091997,60000.0,92069.73238091997,578128.5108299269,331630.70366689505,246497.80716303195,228569.827138448,194022.786752,34547.040386447974,215426.494195448,13143.332943,19518.00195,331949.5394595961,6231.1125957449985
2030,1091627.2829884144,718749.926066,322432.41981423425,396317.50625176576,1487944.78924018,91354.3005161536,59705.7955509261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,151060.0960670797,6600.0,3100.0,154560.0960670797,3500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24196.906869232498,26973.911470080002,10770.887761920001,13426.019107312497,23973.911470080002,3000.0,8377.357148160001,18646.37558784,8950.679404874998,3000.0,17328.036553035,21646.37558784,51170.8183393125,0.0,0.0,0.0,12196.4061984375,7721.066496000001,4475.339702437499,False,False,0.0,0.0,False,🚗 RAV4 Hybrid Auto Loan paid off,161345.98605615608,60000.0,101345.98605615608,637591.256859785,362631.0643524956,274960.1925072894,269486.4980639733,220996.69822208,48489.79984189331,252541.4218114503,16945.076252523,23203.5420085,322432.41981423425,0.0
2031,1205627.7584257924,740312.42384798,312353.41103072354,427959.01281725644,1633586.7712430488,95035.87882695459,61804.45426454115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False,156840.33309149573,6600.0,-4900.0,168340.33309149573,11500.0,0.0,1.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25097.653048465232,27932.8679288832,11201.7232723968,13895.929776068433,24932.8679288832,3000.0,8712.4514340864,19392.2306113536,9263.953184045622,3000.0,17976.404618132023,22392.2306113536,53030.52097734843,0.0,0.0,0.0,12661.885747862812,8029.9091558400005,4631.976592022811,False,False,0.0,0.0,False,,171188.0912055816,60000.0,111188.09120558159,701581.9765766971,395953.2825503946,305628.6940263025,313858.0423747588,248929.56615096322,64928.47622379559,292879.3164708319,20978.7259039269,18999.648268755,312353.41103072354,0.0
2032,1310644.3247609965,762521.7965634194,301679.3392691486,460842.4572942708,1771486.7820552674,98865.82474368086,63976.88083193978,2230.207486851993,0.0,0.0,2230.207486851993,1100.1547963303556,2230.207486851993,0.0,0.0,2230.207486851993,0.0,0.0,2230.207486851993,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,2230.207486851993,0.0,0.0,False,162842.70557562064,6600.0,-22900.0,192342.70557562064,29500.0,0.0,1.0,0.0,0.0,0.0,19569.63771681765,3330.3622831823486,0.0,0.0,0.0,0.0,0.0,0.0,26032.0795215235,28930.182646038535,11649.792203292676,14382.287318230825,25930.182646038535,3000.0,9060.94949144986,20167.91983580775,9588.191545487216,3000.0,18649.141036937075,23167.91983580775,54962.26216756203,0.0,0.0,0.0,13145.201294817209,8351.105522073602,4794.095772743608,False,False,0.0,0.0,False,💸 Vehicle purchase,178300.2024859397,58899.84520366965,119400.35728227004,770410.5566693991,431756.2249892613,338654.3316801378,361933.56560565764,277859.7487970018,84073.81680865586,336675.1374215912,25258.42818406644,0.0,301679.3392691486,0.0
2033,1442662.4697890906,785397.450460322,290375.07211168256,495022.3783486394,1937684.84813773,102850.1174808512,66225.66819318246,3374.3918041530287,0.0,0.0,3374.3918041530287,1525.608195846971,3374.3918041530287,0.0,0.0,3374.3918041530287,0.0,0.0,3374.3918041530287,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,3374.3918041530287,0.0,0.0,False,169075.78567403366,6600.0,-4900.0,180575.78567403366,11500.0,0.0,1.0,0.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,27001.451265793283,29967.38995188007,12115.78389142438,14885.667374368903,26967.38995188007,3000.0,9423.387471107852,20974.636629240056,9923.778249579269,3000.0,19347.16572068712,23974.636629240056,56968.841217673355,0.0,0.0,0.0,13647.038867746181,8685.149742956546,4961.8891247896345,False,False,0.0,0.0,False,,184276.514837582,57374.237007822674,126902.27782975935,844407.0518920256,470209.1386050306,374197.913286995,413978.9030594828,307827.1387488819,106151.76431060093,384179.7107561883,29799.19230329449,0.0,290375.07211168256,0.0
2034,1580173.1019113713,808959.3739741317,278403.4029284777,530555.971045654,2110729.0729570254,106994.97721532949,68553.50043017283,6310.213526494201,0.0,0.0,6310.213526494201,2620.786473505799,6310.213526494201,0.0,0.0,6310.213526494201,0.0,0.0,6310.213526494201,pre_retirement,brackets,married_joint,31.0,0.0,31.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,6310.213526494201,640.2135264942008,0.004912670525306746,False,175548.4776455023,6600.0,-8931.0,191079.4776455023,15500.0,0.0,1.0,0.0,0.0,0.0,0.0,8931.0,0.0,0.0,0.0,0.0,0.0,0.0,27816.758009601002,30622.463455545618,12410.09227712919,15406.665732471813,27622.463455545618,3000.0,9610.0,21390.0,10271.110488314542,3000.0,19881.11048831454,24390.0,58439.22146514662,0.0,0.0,0.0,14168.110976832078,9032.555732674808,5135.555244157271,True,False,0.0,0.0,False,💸 HVAC replacement,186586.3822426745,54753.45053431687,131832.93170835765,923732.6400670401,511301.9883370666,412430.6517299735,469854.0796016568,338449.6022044275,131404.47739722935,435237.13656786137,34616.943033795455,0.0,278403.4029284777,0.0
2035,1731003.418123055,833228.1551933556,265724.9284165373,567503.2267768183,2298506.644899873,111306.87479710727,70963.1559702934,3544.7723762397864,0.0,0.0,3544.7723762397864,1355.2276237602134,3544.7723762397864,0.0,0.0,3544.7723762397864,0.0,0.0,3544.7723762397864,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,True,oregon,married_joint,5670.0,3544.7723762397864,0.0,0.0,False,182270.0307674007,6600.0,-4900.0,193770.0307674007,11500.0,0.0,1.0,0.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,28467.995001322684,30871.761993767443,12522.095968214358,15945.899033108326,27871.761993767443,3000.0,9610.0,21390.0,10630.599355405551,3000.0,20240.599355405553,24390.0,59339.75699509012,0.0,0.0,0.0,14709.157639684578,9393.857961981801,5315.299677702776,True,False,0.0,0.0,False,,193068.15155947764,53398.22291055666,139669.928648921,1008548.3261124522,555013.505593842,453534.8205186102,529386.9404511253,369321.36419819493,160065.57625293033,489658.36389226833,39728.57655885698,0.0,265724.9284165373,0.0
