year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2027,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2028,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2029,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2030,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2031,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2032,pre_retirement,brackets,married_joint,0.0,0.0,2230.207486851993,1100.1547963303556,2230.207486851993,0.0,0.0,2230.207486851993,0.0,0.0,2230.207486851993,2230.207486851993,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,2230.207486851993,0.0,0.0,False
2033,pre_retirement,brackets,married_joint,0.0,0.0,3374.3918041530287,1525.608195846971,3374.3918041530287,0.0,0.0,3374.3918041530287,0.0,0.0,3374.3918041530287,3374.3918041530287,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,3374.3918041530287,0.0,0.0,False
2034,pre_retirement,brackets,married_joint,0.0,0.0,6310.213526494201,2620.786473505799,6310.213526494201,0.0,0.0,6310.213526494201,0.0,0.0,6310.213526494201,6310.213526494201,30000.0,0.0,0.0,0.0,31.0,31.0,True,oregon,married_joint,5670.0,6310.213526494201,640.2135264942008,0.004912670525306746,False
2035,pre_retirement,brackets,married_joint,0.0,0.0,3544.7723762397864,1355.2276237602134,3544.7723762397864,0.0,0.0,3544.7723762397864,0.0,0.0,3544.7723762397864,3544.7723762397864,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,3544.7723762397864,0.0,0.0,False
2036,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15120.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,0.0,0.0,0.0,False
2037,pre_retirement,brackets,married_joint,0.0,0.0,1287.6091813269127,419.39081867308744,1287.6091813269127,0.0,0.0,1287.6091813269127,0.0,0.0,16407.609181326912,1287.6091813269127,30000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,married_joint,5670.0,1287.6091813269127,0.0,0.0,False
2038,pre_retirement,brackets,married_joint,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,18000.0,15120.0,0.5,33120.0,33120.0,30000.0,3120.0,0.009420289855072464,312.0,658.0,970.0,True,oregon,married_joint,5670.0,18000.0,12330.0,0.036555555555555556,False
2039,pre_retirement,brackets,married_joint,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,18000.0,15120.0,0.5,33120.0,33120.0,30000.0,3120.0,0.009420289855072464,312.0,658.0,970.0,True,oregon,married_joint,5670.0,18000.0,12330.0,0.036555555555555556,False
