year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_home_mortgage_balance,liability_rav4_hybrid_auto_loan_balance
2026,739965.0,638600.0,357434.1739687227,281165.8260312773,1021130.8260312773,78000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,130000.0,0.0,-3500.0,133500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20907.0,23493.0,9207.0,11700.0,20493.0,3000.0,7161.0,15938.999999999998,7800.0,3000.0,14961.0,18939.0,44400.0,0.0,0.0,0.0,10500.0,6600.0,3900.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,131640.0,60000.0,71640.0,437767.0,259323.0,178444.0,127708.0,118493.0,9215.0,124708.0,3000.0,42850.0,357434.1739687227,23074.993037351393
2027,824709.465,657758.0,349421.66284505284,308336.33715494716,1133045.802154947,81143.4,53827.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,134971.2,0.0,-11500.0,146471.2,11500.0,0.0,1.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21684.78,24312.719999999998,9575.279999999999,12109.5,21312.719999999998,3000.0,7447.44,16576.559999999998,8073.0,3000.0,15520.439999999999,19576.559999999998,45997.5,0.0,0.0,0.0,10900.5,6864.0,4036.5,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,141483.24,60000.0,81483.23999999999,490695.2145,287632.6605,203062.554,160095.20049999998,142805.72,17289.48049999999,153942.20049999998,6321.0,32635.5,349421.66284505284,17820.149237288784
2028,972788.1852424999,677490.74,340936.0944164996,336554.6455835004,1309342.8308260003,84413.47902,55719.84717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,140133.32619,0.0,-3500.0,143633.32619,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22491.623699999996,25165.2288,9958.291200000001,12533.332499999997,22165.2288,3000.0,7745.337600000001,17239.6224,8355.554999999998,3000.0,16100.8926,20239.6224,47656.85249999999,0.0,0.0,0.0,11316.337499999998,7138.5599999999995,4177.777499999999,0.0,0.0,0.0,0.0,0.0,,159134.78592,60000.0,99134.78592,575928.9039035,334095.34752,242036.50536799995,206105.0718,167970.9488,38134.12299999999,195986.3118,9799.005,30114.565000000002,340936.0944164996,12213.378815951897
2029,1064467.5794952398,697815.4622,331949.5394595961,365865.92274040385,1430333.5022356436,87815.342224506,57678.39979802549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,145493.7420225315,0.0,-11500.0,156993.7420225315,11500.0,0.0,1.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23328.621985499994,26051.837952,10356.622848,12971.999137499995,23051.837952,3000.0,8055.1511040000005,17929.207296,8647.999424999996,3000.0,16703.150529,20929.207296,49380.459937499996,0.0,0.0,0.0,11748.102112499997,7424.1024,4323.999712499998,0.0,0.0,0.0,0.0,0.0,,167050.98551064,60000.0,107050.98551063999,630492.9372826609,361852.5669580469,268640.370324614,247962.827166432,194022.786752,53940.04041443199,234025.23422573897,13947.538157999998,19518.00195,331949.5394595961,6231.1125957449985
2030,1285893.5811938,718749.926066,322432.41981423425,396317.50625176576,1682211.0874455657,91354.3005161536,59705.7955509261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,151060.0960670797,6600.0,3100.0,154560.0960670797,3500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24196.906869232498,26973.911470080002,10770.887761920001,13426.019107312497,23973.911470080002,3000.0,8377.357148160001,18646.37558784,8950.679404874998,3000.0,17328.036553035,21646.37558784,51170.8183393125,0.0,0.0,0.0,12196.4061984375,7721.066496000001,4475.339702437499,0.0,0.0,0.0,0.0,0.0,🚗 RAV4 Hybrid Auto Loan paid off,196090.0272804211,60000.0,136090.0272804211,756650.4410039529,432619.08609844267,324818.4971105098,308826.2507318735,220996.69822208,87829.55250979349,290467.75065542746,18358.500076446,23203.5420085,322432.41981423425,0.0
2031,1507826.552842897,740312.42384798,312353.41103072354,427959.01281725644,1935785.565660153,95035.87882695459,61804.45426454115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0,156840.33309149573,6600.0,-4900.0,168340.33309149573,11500.0,0.0,1.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25097.653048465232,27932.8679288832,11201.7232723968,13895.929776068433,24932.8679288832,3000.0,8712.4514340864,19392.2306113536,9263.953184045622,3000.0,17976.404618132023,22392.2306113536,53030.52097734843,0.0,0.0,0.0,12661.885747862812,8029.9091558400005,4631.976592022811,0.0,0.0,0.0,0.0,0.0,,224959.6328358837,60000.0,164959.6328358837,888638.8361684377,505536.3914985076,383102.44466993026,375228.43556982034,248929.56615096322,126298.86941885715,351957.66035892424,23270.77521089611,18999.648268755,312353.41103072354,0.0
2032,1625842.8279465127,762521.7965634194,301679.3392691486,460842.4572942708,2086685.2852407836,98865.82474368086,63976.88083193978,2468.492903043548,0.0,0.0,2468.492903043548,861.8693801388006,2468.492903043548,0.0,0.0,2468.492903043548,0.0,0.0,2468.492903043548,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,2468.492903043548,0.0,0.0,0.0,162842.70557562064,6600.0,-22900.0,192342.70557562064,29500.0,0.0,1.0,0.0,0.0,0.0,19569.63771681765,3330.3622831823486,0.0,0.0,0.0,0.0,0.0,0.0,26032.0795215235,28930.182646038535,11649.792203292676,14382.287318230825,25930.182646038535,3000.0,9060.94949144986,20167.91983580775,9588.191545487216,3000.0,18649.141036937075,23167.91983580775,54962.26216756203,0.0,0.0,0.0,13145.201294817209,8351.105522073602,4794.095772743608,0.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,228533.49893507024,59138.1306198612,169395.36831520905,959547.3611275613,539817.5091826295,419729.8519449318,436110.70905730565,277859.7487970018,158250.96026030387,407220.00271779834,29048.258791487897,0.0,301679.3392691486,0.0
2033,1960859.5573160239,785397.450460322,290375.07211168256,495022.3783486394,2455881.935664663,102850.1174808512,66225.66819318246,3854.32126574421,0.0,0.0,3854.32126574421,1045.67873425579,3854.32126574421,0.0,0.0,3854.32126574421,0.0,0.0,3854.32126574421,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,3854.32126574421,0.0,0.0,0.0,169075.78567403366,6600.0,-4900.0,180575.78567403366,11500.0,0.0,1.0,0.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,27001.451265793283,29967.38995188007,12115.78389142438,14885.667374368903,26967.38995188007,3000.0,9423.387471107852,20974.636629240056,9923.778249579269,3000.0,19347.16572068712,23974.636629240056,56968.841217673355,0.0,0.0,0.0,13647.038867746181,8685.149742956546,4961.8891247896345,0.0,0.0,0.0,0.0,0.0,,272620.8748324879,58092.5866326881,214458.67859659926,1162210.7174639283,654990.9676248463,507219.749839082,531360.343504861,307827.1387488819,223533.20475597918,495500.3743156845,35237.729538592896,0.0,290375.07211168256,0.0
2034,2290990.511023598,808959.3739741317,278403.4029284777,530555.971045654,2821546.4820692516,106994.97721532949,68553.50043017283,7291.68322808745,0.0,0.0,7291.68322808745,1686.3167719125513,7291.68322808745,0.0,0.0,7291.68322808745,0.0,0.0,7291.68322808745,pre_retirement,brackets,married_joint,78.0,0.0,78.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,7291.68322808745,1621.6832280874492,0.01063431585514956,0.0,175548.4776455023,6600.0,-8978.0,191126.4776455023,15500.0,0.0,1.0,0.0,0.0,0.0,0.0,8978.0,0.0,0.0,0.0,0.0,0.0,0.0,27816.758009601002,30622.463455545618,12410.09227712919,15406.665732471813,27622.463455545618,3000.0,9610.0,21390.0,10271.110488314542,3000.0,19881.11048831454,24390.0,58439.22146514662,0.0,0.0,0.0,14168.110976832078,9032.555732674808,5135.555244157271,1.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,300513.13210296736,56439.310460808134,244073.82164215922,1354792.5099198301,759453.5805704605,595338.9293493695,635684.8690008001,338449.6022044275,297235.2667963726,592245.1990638862,42869.641540694174,0.0,278403.4029284777,0.0
2035,2523851.7822870826,833228.1551933556,265724.9284165373,567503.2267768183,3091355.0090639014,111306.87479710727,70963.1559702934,4024.626086322508,0.0,0.0,4024.626086322508,875.373913677492,4024.626086322508,0.0,0.0,4024.626086322508,0.0,0.0,4024.626086322508,pre_retirement,brackets,married_joint,0.0,0.0,0.0,30000.0,0.0,0.0,1.0,oregon,married_joint,5670.0,4024.626086322508,0.0,0.0,0.0,182270.0307674007,6600.0,-4900.0,193770.0307674007,11500.0,0.0,1.0,0.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,28467.995001322684,30871.761993767443,12522.095968214358,15945.899033108326,27871.761993767443,3000.0,9610.0,21390.0,10630.599355405551,3000.0,20240.599355405553,24390.0,59339.75699509012,0.0,0.0,0.0,14709.157639684578,9393.857961981801,5315.299677702776,1.0,0.0,0.0,0.0,0.0,,311020.3848237493,55569.73205843249,255463.03885218047,1484175.1395095335,823898.2918153666,657921.8677132004,725557.9430763698,369321.36419819493,356236.5788781748,674702.3754351533,51142.162634802415,0.0,265724.9284165373,0.0
