year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2026,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,937533.3260312773,1021130.8260312773,1086878.3260312774,656367.5,739965.0,805712.5
2027,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1016549.6064611138,1100044.4681115993,1244458.7108300459,717193.9393203884,800688.8009708738,945103.0436893203
2028,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1068241.335942125,1234181.1959901974,1313898.293395702,751006.3038151569,916946.1638632291,996663.261268734
2029,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1141104.47085861,1308957.774664343,1483746.1166077289,806285.323221182,974138.6270269151,1148926.9689703006
2030,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1210805.0953270388,1494622.7630555513,1651977.4670584588,858682.1241600995,1142499.7918886126,1299854.49589152
2031,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1296583.297076438,1669825.633622516,1797669.623423194,927422.0932638978,1300664.4298099754,1428508.4196106535
2032,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1391081.7001012515,1747566.0750425966,2003452.641263081,1005133.3973058905,1361617.7722472355,1617504.3384677197
2033,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1490705.4271154017,1996856.7547504215,2167330.667546129,1088206.9333551251,1594358.2609901452,1764832.1737858527
2034,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1606563.109310784,2227354.847991466,2344601.075335018,1187737.3264469476,1808529.06512763,1925775.2924711811
2035,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1782767.7095708945,2369266.2045608577,2585956.7483756347,1347823.7409101413,1934322.2359001045,2151012.7797148814
2036,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1971260.6360169675,2684356.446832118,2806018.900389252,1520393.9822178925,2233489.793033043,2355152.246590177
2037,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2156879.8044886184,2801610.194246404,3064928.422129635,1690272.5479546487,2335002.9377124337,2598321.1655956656
2038,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2358142.569020123,3075850.633661095,3307873.9701121436,1875963.5469502162,2593671.6115911882,2825694.9480422363
