year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5670.0,0.0,0.0,0.0,0.0
2027,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29126.21359223301,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5504.854368932039,0.0,0.0,0.0,0.0
2028,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28277.87727401263,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5344.518804788388,0.0,0.0,0.0,0.0
2029,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27454.249780594786,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5188.853208532414,0.0,0.0,0.0,0.0
2030,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26654.611437470663,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,5037.721561681956,0.0,0.0,0.0,0.0
2031,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25878.263531524917,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4890.991807458209,0.0,0.0,0.0,0.0
2032,pre_retirement,brackets,married_joint,0.0,0.0,2067.3239440343013,721.8020371839452,2067.3239440343013,0.0,0.0,2067.3239440343013,0.0,0.0,2067.3239440343013,2067.3239440343013,25124.527700509625,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4748.535735396319,2067.3239440343013,0.0,0.0,0.0
2033,pre_retirement,brackets,married_joint,0.0,0.0,3133.915903166787,850.2325024156453,3133.915903166787,0.0,0.0,3133.915903166787,0.0,0.0,3133.915903166787,3133.915903166787,24392.745340300607,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4610.228869316815,3133.915903166787,0.0,0.0,0.0
2034,pre_retirement,brackets,married_joint,0.0,0.0,5756.122073944279,1331.1940317262345,5756.122073944279,0.0,0.0,5756.122073944279,0.0,0.0,5756.122073944279,5756.122073944279,23682.277029418066,0.0,0.0,0.0,61.573920276486966,61.573920276486966,1.0,oregon,married_joint,4475.950358560014,5756.122073944279,1280.1717153842644,0.01063431585514956,0.0
2035,pre_retirement,brackets,married_joint,0.0,0.0,3084.540773984216,670.9012144995554,3084.540773984216,0.0,0.0,3084.540773984216,0.0,0.0,3084.540773984216,3084.540773984216,22992.5019703088,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4345.582872388363,3084.540773984216,0.0,0.0,0.0
2036,pre_retirement,brackets,married_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11250.69999323848,0.0,22322.817446901747,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4219.01249746443,0.0,0.0,0.0,0.0
2037,pre_retirement,brackets,married_joint,0.0,0.0,1055.78481085171,177.3883083023767,1055.78481085171,0.0,0.0,1055.78481085171,0.0,0.0,11978.79451302499,1055.78481085171,21672.638297962858,0.0,0.0,0.0,0.0,0.0,1.0,oregon,married_joint,4096.128638314981,1055.78481085171,0.0,0.0,0.0
2038,pre_retirement,brackets,married_joint,0.0,12624.837843473511,0.0,0.0,0.0,0.0,0.0,12624.837843473511,10604.863788517749,0.5,23229.70163199126,23229.70163199126,21041.396405789186,2188.305226202075,0.009420289855072464,218.83052262020752,461.5079611669761,680.3384837871836,1.0,oregon,married_joint,3976.8239206941557,12624.837843473511,8648.013922779355,0.036555555555555556,0.0
2039,pre_retirement,brackets,married_joint,0.0,12257.124119877195,0.0,0.0,0.0,0.0,0.0,12257.124119877195,10295.984260696843,0.5,22553.108380574038,22553.108380574038,20428.540199795323,2124.5681807787137,0.009420289855072464,212.45681807787136,448.06598171551076,660.5227997933822,1.0,oregon,married_joint,3860.9940977613164,12257.124119877195,8396.130022115878,0.036555555555555556,0.0
2040,pre_retirement,brackets,married_joint,0.0,11900.12050473514,0.0,0.0,0.0,0.0,0.0,11900.12050473514,9996.101223977517,0.5,21896.22172871266,21896.22172871266,19833.53417455857,2062.687554154091,0.009420289855072464,206.2687554154091,435.0155162286512,641.2842716440604,1.0,oregon,married_joint,3748.537958991569,11900.12050473514,8151.582545743571,0.036555555555555556,0.0
2041,pre_retirement,brackets,married_joint,0.0,11553.515053140914,0.0,0.0,0.0,0.0,0.0,11553.515053140914,15866.827339646854,0.5,27420.342392787767,27420.342392787767,19255.85842190152,8164.4839708862455,0.029775280898876405,816.4483970886246,422.3451613870401,1238.7935584756647,1.0,oregon,married_joint,3639.357241739388,11553.515053140914,7914.157811401526,0.036555555555555556,0.0
2042,pre_retirement,brackets,married_joint,0.0,11217.00490596205,43215.63508875933,0.0,0.0,0.0,0.0,54432.63999472138,26187.967453786066,0.85,69837.3267322426,80620.60744850745,18695.008176603416,61925.59927190404,0.09035197568792677,7284.7777340718885,4068.0337792289038,11352.811513300792,1.0,oregon,married_joint,3533.3565453780457,54432.63999472138,50899.28344934333,0.07473370987282991,0.0
2043,retirement,brackets,married_joint,0.0,0.0,57973.97960685288,0.0,0.0,0.0,0.0,57973.97960685288,25425.211120180647,0.85,72929.98614813562,83399.19072703352,18150.49337534312,65248.69735169041,0.09829653073365019,8200.48613023888,4398.167053068561,12598.653183307444,1.0,oregon,married_joint,3430.44324793985,57973.97960685288,54543.53635891303,0.07585820805392496,0.0
2044,retirement,brackets,married_joint,0.0,0.0,48792.1950635606,0.0,0.0,0.0,0.0,48792.1950635606,24684.670990466646,0.85,63312.589763835094,73476.86605402725,17621.83822848847,55855.027825538775,0.08792789999008484,6463.3246333820825,3614.239020662985,10077.563654045069,1.0,oregon,married_joint,3330.5274251843202,48792.1950635606,45461.667638376275,0.0740533411921375,0.0
2045,retirement,brackets,married_joint,0.0,0.0,49628.694479903534,0.0,0.0,0.0,0.0,49628.694479903534,23965.699990744317,0.85,63726.16506269431,73594.39447064785,17108.580804357734,56485.813666290116,0.09002988631316902,6625.929541852929,3706.5740312641037,10332.503573117034,1.0,oregon,married_joint,3233.521772023612,49628.694479903534,46395.17270787992,0.07468545216538444,0.0
2046,retirement,brackets,married_joint,0.0,0.0,54958.83288706045,0.0,0.0,0.0,0.0,54958.83288706045,23267.669893926522,0.85,68645.69753054663,78226.50278098698,16610.272625590034,61616.230155396945,0.10125136922908493,7923.5808626039325,4191.602297067646,12115.183159671578,1.0,oregon,married_joint,3139.3415262365165,54958.83288706045,51819.49136082393,0.07626062416827362,0.0
2047,retirement,brackets,married_joint,0.0,0.0,80918.853356187,0.0,0.0,0.0,0.0,80918.853356187,22589.970770802447,0.85,94207.07145665902,103508.82412698944,16126.478277271879,87382.34584971756,0.13289841265381147,13756.164852390877,6480.9628449976135,20237.127697388492,1.0,oregon,married_joint,3047.904394404385,80918.853356187,77870.9489617826,0.08009211351074376,0.0
2048,retirement,brackets,married_joint,0.0,0.0,88762.49702513884,0.0,0.0,0.0,0.0,88762.49702513884,21932.010457089757,0.85,101663.67964695636,110694.50748222861,15656.775026477553,95037.73245575106,0.1408693122761659,15599.610621287575,7184.894059650549,22784.504680938124,1.0,oregon,married_joint,2959.1304800042576,88762.49702513884,85803.3665451346,0.08093795299288808,0.0
2049,retirement,brackets,married_joint,0.0,0.0,92027.77991626441,0.0,0.0,0.0,0.0,92027.77991626441,21293.21403600947,0.85,104553.19993744645,113320.99395227389,15200.752452890827,98120.24149938306,0.1450072472289023,16432.384664837424,7487.637312419806,23920.021977257227,1.0,oregon,married_joint,2872.9422135963664,92027.77991626441,89154.83770266804,0.08136277276881645,0.0
2050,retirement,brackets,married_joint,0.0,0.0,97205.58992976138,0.0,0.0,0.0,0.0,97205.58992976138,20673.023335931524,0.85,109366.19189207404,117878.61326569291,14758.012090185268,103120.60117550765,0.15025031724056284,17711.340250048816,7956.782218423387,25668.122468472204,1.0,oregon,married_joint,2789.2642850450156,97205.58992976138,94416.32564471637,0.08185515814206899,0.0
2051,retirement,brackets,married_joint,0.0,0.0,106462.54531346945,0.0,0.0,0.0,0.0,106462.54531346945,20070.896442651963,0.85,118268.95498561766,126533.4417561214,14328.167077849774,112205.27467827164,0.15879850603996776,20096.640648927896,8782.927615937282,28879.56826486518,1.0,oregon,married_joint,2708.023577713607,106462.54531346945,103754.52173575584,0.082495548089695,0.0
2052,retirement,brackets,married_joint,0.0,0.0,111136.4143488339,0.0,0.0,0.0,0.0,111136.4143488339,19486.30722587569,0.85,122598.94801111371,130622.72157470958,13910.841823155119,116711.87975155446,0.16363195269083985,21377.23436963783,9207.354355382655,30584.588725020487,1.0,oregon,married_joint,2629.1491045763178,111136.4143488339,108507.26524425758,0.08284525510017411,0.0
2053,retirement,brackets,married_joint,0.0,0.0,116370.99240904007,0.0,0.0,0.0,0.0,116370.99240904007,18918.74487949096,0.85,127499.66586756415,135289.73728853103,13505.671672966137,121784.06561556489,0.1684362620800658,22787.771115953787,9695.046410438741,32482.81752639253,1.0,oregon,married_joint,2552.5719461905996,116370.99240904007,113818.42046284946,0.08331138320557296,0.0
2054,retirement,brackets,married_joint,0.0,0.0,122100.73345746909,0.0,0.0,0.0,0.0,122100.73345746909,18367.713475233944,0.85,132905.270795842,140468.44693270302,13112.302595112753,127356.14433759027,0.17306577430280884,24312.654610165566,10315.448451575203,34628.10306174077,1.0,oregon,married_joint,2478.22519047631,122100.73345746909,119622.50826699278,0.08447821936287836,0.0
2055,retirement,brackets,married_joint,0.0,0.0,121459.67797178976,0.0,0.0,0.0,0.0,121459.67797178976,17832.731529353343,0.85,131949.52004787995,139292.4095011431,12730.390869041506,126562.0186321016,0.1744572392332701,24304.18541262079,10303.554023039895,34607.73943566068,1.0,oregon,married_joint,2406.043874248845,121459.67797178976,119053.63409754091,0.08482366224142524,0.0
2056,retirement,brackets,married_joint,0.0,0.0,116805.64456191318,0.0,0.0,0.0,0.0,116805.64456191318,17313.331581896447,0.85,126989.9572571464,134118.97614380962,12359.602785477191,121759.37335833244,0.1735407292922021,23328.36702436523,9893.03805625546,33221.40508062069,1.0,oregon,married_joint,2335.964926455189,116805.64456191318,114469.67963545799,0.08458309451944315,0.0
2057,retirement,brackets,married_joint,0.0,0.0,111492.56970123034,0.0,0.0,0.0,0.0,111492.56970123034,16809.05978824898,0.85,121380.25192961209,128301.62948947932,11999.614354832223,116302.0151346471,0.1729539000025429,22190.267533640977,9415.697397091684,31605.96493073266,1.0,oregon,married_joint,2267.9271130632906,111492.56970123034,109224.64258816704,0.0844513438340895,0.0
2058,retirement,brackets,married_joint,0.0,0.0,117623.94144411405,0.0,0.0,0.0,0.0,117623.94144411405,16319.475522571825,0.85,127223.63292797984,133943.41696668588,11650.111024108955,122293.30594257693,0.1776472765659303,23794.843815855034,10069.967632205644,33864.81144806068,1.0,oregon,married_joint,2201.870983556593,117623.94144411405,115422.07046055746,0.08561120904727394,0.0
