year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2026,878669.5583339775,938686.3358472154,1000229.151313113,1071494.8435167582,1126746.7841648592,597503.7323027002,657520.5098159381,719063.3252818357,790329.017485481,845580.9581335818
2027,892449.9133011175,967831.4592431018,1063004.694126667,1181368.997388478,1268877.3029305418,593094.246160392,668475.7921023763,763649.0269859416,882013.3302477525,969521.6357898165
2028,953793.9227362733,1017455.2163433151,1109902.4041088952,1273244.6080809797,1389403.940969633,636558.8906093052,700220.184216347,792667.3719819272,956009.5759540118,1072168.908842665
2029,981001.9344194875,1058335.5309895389,1190729.6977240732,1357077.1743728204,1532513.193016836,646182.7867820595,723516.3833521109,855910.5500866452,1022258.0267353926,1197694.045379408
2030,1012407.0522336138,1111973.9039249443,1273151.5618520374,1469332.7583312197,1689106.556199518,660284.0810666748,759850.9327580053,921028.5906850984,1117209.787164281,1336983.585032579
2031,1081149.3442712072,1184727.2937737005,1342967.7434002305,1594689.339589456,1854264.1172088424,711988.1404586668,815566.08996116,973806.5395876903,1225528.1357769156,1485102.9133963021
2032,1096414.3417707977,1217165.0218572752,1406406.3184027807,1740626.746908539,1977699.6168736087,710466.0389754368,831216.7190619141,1020458.0156074195,1354678.444113178,1591751.3140782474
2033,1136769.5609852485,1270356.0972361409,1490774.5962954417,1823364.826194399,2228816.2838713215,734271.067224972,867857.6034758643,1088276.1025351651,1420866.3324341222,1826317.790111045
2034,1171287.3055989998,1336439.7776930989,1576629.6308702263,1945998.2399840122,2333474.350074688,752461.5227351637,917613.9948292626,1157803.84800639,1527172.457120176,1914648.5672108517
2035,1214191.7134334876,1393068.6383177345,1640824.486212896,2042419.4391757036,2488011.340594434,779247.7447727346,958124.6696569812,1205880.5175521427,1607475.4705149503,2053067.3719336812
2036,1265064.3961651677,1459179.9769130154,1748661.7261920758,2176410.4700027592,2645827.4332351093,814197.7423660929,1008313.3231139405,1297795.0723930006,1725543.8162036845,2194960.779436034
2037,1292695.2005197436,1530298.337749055,1897582.6694084173,2300656.208717117,2731666.082612121,826087.943985774,1063691.0812150855,1430975.4128744479,1834048.9521831477,2265058.8260781514
2038,1305975.306659705,1579219.5205957708,1913295.8099711342,2411573.4905856038,2858959.561452064,823796.2845897978,1097040.4985258635,1431116.7879012274,1929394.4685156962,2376780.5393821574
2039,1354857.8800984325,1610390.923666375,1928718.0988395032,2544442.367932121,2965491.8466165247,857262.8463575889,1112795.8899255316,1431123.06509866,2046847.3341912776,2467896.8128756816
2040,1400208.1894708776,1661646.967202195,2055698.694940425,2589345.224675983,3023673.204862019,887339.965433001,1148778.7431643184,1542830.4709025486,2076477.000638107,2510804.9808241427
2041,1389753.846278376,1713414.2602447858,2083097.0170502001,2666315.9741623276,3106786.466686848,861742.4607846778,1185402.8747510877,1555085.6315565016,2138304.588668629,2578775.08119315
2042,1433485.4424647302,1788933.6027631224,2182195.941176689,2739481.092808152,3362468.6085931067,890448.2610317013,1245896.4213300936,1639158.759743661,2196443.9113751235,2819431.427160078
2043,1348434.557625367,1713536.467539475,2193291.0722335363,2840712.29741913,3441326.395548642,790476.4010272701,1155578.3109413781,1635332.9156354393,2282754.140821033,2883368.2389505454
2044,1324415.7257011253,1666182.2524051005,2194845.111696642,2890912.758557462,3637951.9398867325,751628.9780430117,1093395.5047469868,1622058.3640385286,2318126.010899348,3065165.1922286185
2045,1257238.917731276,1651468.4164386385,2183235.903807083,2922375.76274844,3898868.7343524275,669703.6241197066,1063933.1228270691,1595700.6101955138,2334840.469136871,3311333.4407408587
2046,1166516.7919885365,1588388.7502037373,2158613.923381445,3054003.4346341947,3967933.0128796874,564300.7458984512,986172.7041136519,1556397.8772913595,2451787.3885441096,3365716.9667896023
2047,1062688.01225841,1513057.6511969946,2160964.2008566037,2984546.751110888,4073385.9972569933,445846.8326859537,896216.4716245384,1544123.0212841472,2367705.571538432,3456544.8176845373
2048,1004787.4053786151,1497656.0709757647,2224795.192357415,3066899.555706241,4229554.33022871,373364.60386118974,866233.2694583392,1593372.3908399893,2435476.754188816,3598131.528711284
2049,1002817.0484150781,1507153.1313865753,2198770.963991447,3208337.7492280835,4036000.570023921,364217.04841507814,868553.1313865753,1560170.963991447,2569737.7492280835,3397400.570023921
2050,937064.9037206622,1433503.6592313803,2191806.2532773265,3221260.5673109023,4524390.317524772,298464.9037206623,794903.6592313804,1553206.2532773265,2582660.5673109023,3885790.317524772
2051,898424.7138440297,1367688.3811313766,2104903.20016352,3369057.93462609,4477029.2676714985,259824.71384402984,729088.3811313765,1466303.2001635197,2730457.9346260903,3838429.2676714985
2052,877892.9540855729,1320036.4553930785,2109462.1189881265,3439024.1435127733,4822530.558015617,239292.954085573,681436.4553930786,1470862.1189881265,2800424.1435127733,4183930.558015616
2053,822947.3163094568,1291652.384642747,2152376.772728521,3552807.720346418,5006536.972067077,184347.316309457,653052.3846427472,1513776.7727285214,2914207.720346418,4367936.972067076
2054,777218.8484817307,1203005.4862914337,2204464.3612742857,3587471.942808207,5126989.857256706,138618.8484817308,564405.4862914337,1565864.3612742862,2948871.942808207,4488389.857256707
2055,714514.71238417,1107514.0476764897,2202998.520608335,3733902.4159273403,5432114.79431524,75914.7123841702,468914.0476764899,1564398.5206083346,3095302.4159273403,4793514.79431524
2056,656888.8962963038,1100269.5957823629,2074583.2717126524,3744364.8333868966,5381783.179243232,18288.896296304076,461669.595782363,1435983.2717126529,3105764.8333868966,4743183.179243232
2057,596503.753686451,1050882.2191991007,2101504.150604799,3745011.4105829136,5489918.405427665,-42096.24631354882,412282.2191991009,1462904.150604799,3106411.410582914,4851318.405427665
2058,577374.4779781909,975257.2630229732,1888428.356167533,4048766.377473796,5741458.561450725,-61225.52202180891,336657.2630229733,1249828.356167533,3410166.3774737963,5102858.561450726
2059,576769.3960953311,938470.748108267,1848625.5234205397,3977469.3581722258,5795922.609629523,-61830.603904668846,299870.7481082672,1210025.52342054,3338869.3581722258,5157322.609629523
2060,592113.8758815734,900886.6515768159,1872174.5769402161,3969567.0940727796,6345268.207529627,-46486.12411842647,262286.651576816,1233574.5769402161,3330967.0940727796,5706668.207529628
2061,591748.2290112362,847455.9183053012,1858858.0093193483,4074034.5009086165,6125888.22599881,-46851.770988763565,208855.9183053014,1220258.0093193485,3435434.5009086165,5487288.22599881
2062,591393.232049744,841245.3013852157,1876978.6958082626,4042137.5338373487,6214896.9963880945,-47206.76795025589,202645.30138521586,1238378.695808263,3403537.533837349,5576296.9963880945
2063,591048.5748055766,806341.9645748604,1790473.6198817182,3978851.3982694997,6459707.1611932,-47551.42519442319,167741.96457486058,1151873.6198817184,3340251.3982694997,5821107.161193199
2064,590713.9561219191,753199.4883930961,1879101.8599805709,4070452.3737481413,6478483.554087277,-47886.04387808078,114599.48839309633,1240501.859980571,3431852.373748142,5839883.554087277
2065,590389.0836135136,718821.1785264171,1777219.4615715193,4113842.9448968763,6930064.964103459,-48210.91638648618,80221.1785264173,1138619.4615715195,3475242.9448968763,6291464.964103459
2066,590073.6734111783,680012.3786288347,1811083.3164377857,4289191.4015318975,7347955.624822209,-48526.32658882154,41412.37862883486,1172483.316437786,3650591.401531898,6709355.62482221
