year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2026,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,883782.6052752514,987786.4118543871,1117143.0594228099,602616.7792439741,706620.5858231098,835977.2333915326
2027,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,905142.4216147573,1061772.815121233,1246564.694807782,605786.7544740317,762417.1479805077,947209.0276670567
2028,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,936335.7961328743,1130032.9796964393,1377634.5900311796,619100.7640059063,812797.9475694713,1060399.5579042116
2029,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,977001.8835961868,1192213.3697945399,1537338.10036291,642182.7359587587,857394.222157112,1202518.952725482
2030,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1008763.1030019949,1272379.2233303275,1713597.5362390927,656640.131835056,920256.2521633886,1361474.5650721537
2031,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1045643.2020995126,1359251.8203761296,1792320.5818825036,676481.9982869723,990090.6165635893,1423159.3780699633
2032,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1049035.7423304792,1388816.6486034645,1963034.747917793,663087.439535118,1002868.3458081033,1577086.445122432
2033,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1097570.4412095018,1471694.394366772,2052329.3281814833,695071.9474492254,1069195.9006064953,1649830.8344212067
2034,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1145698.7314314633,1547712.1547093603,2281299.9191436353,726872.9485676271,1128886.371845524,1862474.1362797988
2035,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1207614.4497290817,1656164.160420944,2363199.7535049557,772670.4810683285,1221220.1917601908,1928255.7848442027
2036,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1256185.9338855138,1698352.289617037,2498694.3583548614,805319.2800864391,1247485.6358179622,2047827.7045557864
2037,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1284367.0084631094,1762444.695447059,2700541.3119467013,817759.7519291398,1295837.4389130897,2233934.055412732
2038,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1292551.6706024057,1873620.3784857742,2837365.212572866,810372.6485324986,1391441.3564158669,2355186.190502959
2039,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1352860.818857572,1934039.9474869622,2920868.869872462,855265.7851167286,1436444.913746119,2423273.836131619
2040,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1385997.6776500493,2018861.955214947,3228020.026625904,873129.453612173,1505993.7311770706,2715151.8025880274
2041,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1401446.0854446986,2120450.352521315,3255713.219002432,873434.699951,1592438.9670276165,2727701.833508734
2042,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1446874.708384204,2185665.50912401,3401636.5978679364,903837.5269511753,1642628.3276909809,2858599.4164349074
2043,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1427216.6494738762,2186733.0731714955,3615837.134055233,869258.4928757794,1628774.9165733987,3057878.9774571364
2044,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1300147.860527081,2146632.121412432,3734421.26771004,727361.112868967,1573845.3737543179,3161634.520051926
2045,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1264550.4280238173,2192935.577697889,3988633.0230407463,677015.1344122482,1605400.2840863199,3401097.7294291765
2046,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1231430.947558976,2167395.30234717,4236007.906843888,629214.9014688905,1565179.2562570847,3633791.860753802
2047,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1174596.5645792405,2205000.8124150555,4312177.343641473,557755.3850067843,1588159.6328425994,3695336.1640690174
2048,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1144755.649787634,2147098.19651151,4530870.038843702,513332.8482702084,1515675.3949940843,3899447.237326276
2049,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1111511.4396016498,2194641.6727200043,4951420.61707007,472911.4396016499,1556041.6727200043,4312820.617070069
