year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_home_mortgage_balance,liability_rav4_hybrid_auto_loan_balance
2026,459285.0,391400.0,267415.788309787,123984.21169021301,583269.2116902131,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,True,oregon,single,2835.0,0.0,0.0,0.0,False,62000.0,0.0,-3500.0,65500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16380.0,7020.0,16380.0,0.0,7020.0,0.0,12600.0,5400.0,0.0,0.0,12600.0,5400.0,23400.0,0.0,0.0,0.0,5400.0,5400.0,0.0,False,False,0.0,0.0,False,💸 Home maintenance reserve,84880.0,40000.0,44880.0,281630.0,281630.0,0.0,65375.0,62020.0,3355.0,65375.0,0.0,27400.0,267415.788309787,19874.077481343764
2027,484745.61650485435,391400.0,246687.96784909887,144712.03215090113,629457.6486557554,62620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,14563.106796116504,0.0,0.0,True,oregon,single,2752.4271844660193,0.0,0.0,0.0,False,62620.0,0.0,-11165.048543689321,73785.04854368932,11165.048543689321,0.0,1.0,0.0,0.0,0.0,11165.048543689321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16539.029126213594,7088.155339805826,16539.029126213594,0.0,7088.155339805826,0.0,12722.330097087379,5452.42718446602,0.0,0.0,12722.330097087379,5452.42718446602,23627.18446601942,0.0,0.0,0.0,5452.42718446602,5452.42718446602,0.0,False,False,0.0,0.0,False,🏖️ Travel,87434.64077669903,38834.95145631068,48599.689320388345,306645.2718446602,306645.2718446602,0.0,74430.75242718447,67301.74757281554,7129.004854368932,74430.75242718447,0.0,16234.95145631068,246687.96784909887,13985.303338244246
2028,519403.9118531435,391400.0,226199.06769398885,165200.93230601115,684604.8441591546,63246.200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,14138.938637006315,0.0,0.0,True,oregon,single,2672.259402394194,0.0,0.0,0.0,False,63246.200000000004,0.0,-3299.0856819681403,66545.28568196815,3299.0856819681403,0.0,1.0,0.0,0.0,0.0,3299.0856819681403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16699.602224526345,7156.972381939862,16699.602224526345,0.0,7156.972381939862,0.0,12845.847865020267,5505.363370722971,0.0,0.0,12845.847865020267,5505.363370722971,23856.57460646621,0.0,0.0,0.0,5505.36337072297,5505.36337072297,0.0,False,False,0.0,0.0,False,,90066.1688000754,37703.83636535017,52362.33243472523,332574.0036101423,332574.0036101423,0.0,83827.87366858327,72498.47487981901,11329.398788764247,83827.87366858327,0.0,12935.86577434254,226199.06769398885,8077.447389021306
2029,548211.1876435605,391400.0,205931.84375152815,185468.15624847185,733679.3438920323,63878.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,13727.124890297393,0.0,0.0,True,oregon,single,2594.426604266207,0.0,0.0,0.0,False,63878.662,0.0,-10524.129082561334,74402.79108256134,10524.129082561334,0.0,1.0,0.0,0.0,0.0,10524.129082561334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16861.73428495864,7226.457550696559,16861.73428495864,0.0,7226.457550696559,0.0,12970.564834583569,5558.813500535815,0.0,0.0,12970.564834583569,5558.813500535815,24088.1918356552,0.0,0.0,0.0,5558.813500535815,5558.813500535815,0.0,False,False,0.0,0.0,False,,92776.89815231068,36605.66637412638,56171.231778184294,359445.2467416197,359445.2467416197,0.0,93577.30605784882,77613.32636605483,15963.979691793998,93577.30605784882,0.0,2411.7366917812046,205931.84375152815,2144.2238450266877
2030,591714.5290344161,391400.0,185869.26420149673,205530.73579850327,797245.2648329193,64517.448619999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,13327.305718735332,0.0,0.0,True,oregon,single,2518.860780840978,0.0,0.0,0.0,False,64517.448619999996,5864.014516243546,2754.3098485386354,67627.1532877049,3109.7046677049107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.440443065036,7296.617332742159,17025.440443065036,0.0,7296.617332742159,0.0,13096.492648511567,5612.782563647815,0.0,0.0,13096.492648511567,5612.782563647815,24322.057775807196,0.0,0.0,0.0,5612.782563647814,5612.782563647814,0.0,False,False,0.0,0.0,False,🚗 RAV4 Hybrid Auto Loan paid off,95569.21256272001,35539.48191662755,60029.73064609247,387288.9421837043,387288.9421837043,0.0,103690.32774767186,82649.36137745559,21040.966370216276,103690.32774767186,0.0,5166.0465403198405,185869.26420149673,0.0
2031,629699.3411794351,391400.00000000006,165994.49513791536,225405.5048620847,855104.8460415198,65162.62310619999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,12939.131765762459,0.0,0.0,True,oregon,single,2445.4959037291046,0.0,0.0,0.0,False,65162.62310619999,5693.217976935482,-4226.783043482403,75082.62412661788,9920.001020417885,0.0,1.0,0.0,0.0,0.0,4226.783043482403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17190.73598134722,7367.458277720238,17190.73598134722,0.0,7367.458277720238,0.0,13223.643062574785,5667.275598246337,0.0,0.0,13223.643062574785,5667.275598246337,24558.19425906746,0.0,0.0,0.0,5667.275598246336,5667.275598246336,0.0,False,False,0.0,0.0,False,,98445.56750392809,34504.351375366554,63941.216128561544,416135.94729873585,416135.94729873585,0.0,114178.56287993367,87609.55670243439,26569.00617749928,114178.56287993367,0.0,939.2634968374371,165994.49513791536,0.0
2032,653594.7838328189,391400.00000000006,146290.88639827765,245109.11360172235,898703.8974345413,65814.249337262,0.0,12647.024282119895,0.0,0.0,12647.024282119895,6238.739895416756,12647.024282119895,0.0,0.0,12647.024282119895,0.0,0.0,12647.024282119895,pre_retirement,brackets,single,646.6390467794528,8.47604318650826,638.1630035929445,12562.263850254812,84.76043186508261,0.0006702005940236484,True,oregon,single,2374.2678676981595,12647.024282119895,10272.756414421736,0.05045953809823599,False,65814.249337262,5527.396094112118,-19825.028524835136,91166.67395620924,24705.7855721678,0.0,1.0,0.0,0.0,0.0,939.263496837437,18885.764177536654,0.0,0.0,0.0,0.0,0.0,0.0,17357.636330680692,7438.9869988631535,17357.636330680692,0.0,7438.9869988631535,0.0,13352.027946677455,5722.297691433195,0.0,0.0,13352.027946677455,5722.297691433195,24796.623329543843,0.0,0.0,0.0,5722.297691433194,5722.297691433194,0.0,False,False,0.0,0.0,False,💸 Vehicle purchase,82522.72817359703,27260.630371929412,55262.09780166763,446018.06359666,446018.06359666,0.0,125053.9920625618,92496.80904006159,32557.183022500198,125053.9920625618,0.0,0.0,146290.88639827765,0.0
2033,694298.1616125463,391400.0,126741.95756851688,264658.04243148316,958956.2040440295,66472.3918306346,0.0,2758.2476834604504,0.0,0.0,2758.2476834604504,1247.0411014169092,2758.2476834604504,0.0,0.0,2758.2476834604504,0.0,0.0,2758.2476834604504,pre_retirement,brackets,single,21.140379294927193,0.0,21.140379294927193,12196.372670150304,0.0,0.0,True,oregon,single,2305.1144346584074,2758.2476834604504,453.13324880204317,0.007664423837530367,False,66472.3918306346,5366.4039748661335,-4005.28878487736,75844.0845903781,9350.552380448566,0.0,1.0,0.0,0.0,0.0,0.0,4005.28878487736,0.0,0.0,0.0,0.0,0.0,0.0,17526.157071755257,7511.210173609396,17526.157071755257,0.0,7511.210173609396,0.0,13481.659285965583,5777.853979699536,0.0,0.0,13481.659285965583,5777.853979699536,25037.36724536465,0.0,0.0,0.0,5777.853979699534,5777.853979699534,0.0,False,False,0.0,0.0,False,,81001.13314928423,25219.59032764077,55781.54282164347,476968.06530093605,476968.06530093605,0.0,136328.96316232596,97313.93739697016,39015.02576535579,136328.96316232596,0.0,0.0,126741.95756851688,0.0
2034,733315.8101841921,391400.00000000006,107331.38415190538,284068.61584809463,1017384.4260322868,67137.11574894095,0.0,5058.311496127896,0.0,0.0,5058.311496127896,2100.840849865185,5058.311496127896,0.0,0.0,5058.311496127896,0.0,0.0,5058.311496127896,pre_retirement,brackets,single,133.4101605990551,0.0,133.4101605990551,11841.138514709033,0.0,0.0,True,oregon,single,2237.975179280007,5058.311496127896,2820.336316847889,0.0263744454451213,False,67137.11574894095,5210.100946471975,-7159.152345993081,79506.36904140601,12235.843131866,0.0,1.0,0.0,0.0,0.0,0.0,7159.152345993081,0.0,0.0,0.0,0.0,0.0,0.0,17696.31393652958,7584.134544226963,17696.31393652958,0.0,7584.134544226963,0.0,13612.54918194583,5833.949649405356,0.0,0.0,13612.54918194583,5833.949649405356,25280.448480756542,0.0,0.0,0.0,5833.949649405356,5833.949649405356,0.0,False,False,0.0,0.0,False,💸 HVAC replacement,76279.87898545407,22384.198303184105,53895.680682269965,509019.7287756491,509019.7287756491,0.0,148016.20242308892,102063.68541507177,45952.51700801715,148016.20242308892,0.0,0.0,107331.38415190538,0.0
2035,777129.3369367388,391400.00000000006,88042.98389024308,303357.016109757,1080486.3530464957,67808.48690643036,0.0,2736.732825380056,0.0,0.0,2736.732825380056,1046.3001654680857,2736.732825380056,0.0,0.0,2736.732825380056,0.0,0.0,2736.732825380056,pre_retirement,brackets,single,27.591002364370564,0.0,27.591002364370564,11496.2509851544,0.0,0.0,True,oregon,single,2172.7914361941816,2736.732825380056,563.9413891858742,0.010081730342288323,False,67808.48690643036,5058.350433467936,-3783.0329908481417,76649.87033074645,8813.792421951708,0.0,1.0,0.0,0.0,0.0,0.0,3783.0329908481417,0.0,0.0,0.0,0.0,0.0,0.0,17868.12280969977,7657.766918442759,17868.12280969977,0.0,7657.766918442759,0.0,13744.709853615208,5890.589937263661,0.0,0.0,13744.709853615208,5890.589937263661,25525.88972814253,0.0,0.0,0.0,5890.58993726366,5890.58993726366,0.0,False,False,0.0,0.0,False,,74792.64817766329,20685.93119684658,54106.7169808167,542207.8628397617,542207.8628397617,0.0,160128.82591931394,106748.7236321047,53380.10228720926,160128.82591931394,0.0,0.0,88042.98389024308,0.0
