year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,True,oregon,single,2835.0,0.0,0.0,0.0,False
2027,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14563.106796116504,0.0,0.0,0.0,0.0,0.0,True,oregon,single,2752.4271844660193,0.0,0.0,0.0,False
2028,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14138.938637006315,0.0,0.0,0.0,0.0,0.0,True,oregon,single,2672.259402394194,0.0,0.0,0.0,False
2029,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13727.124890297393,0.0,0.0,0.0,0.0,0.0,True,oregon,single,2594.426604266207,0.0,0.0,0.0,False
2030,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13327.305718735332,0.0,0.0,0.0,0.0,0.0,True,oregon,single,2518.860780840978,0.0,0.0,0.0,False
2031,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12939.131765762459,0.0,0.0,0.0,0.0,0.0,True,oregon,single,2445.4959037291046,0.0,0.0,0.0,False
2032,pre_retirement,brackets,single,0.0,0.0,12647.024282119895,6238.739895416756,12647.024282119895,0.0,0.0,12647.024282119895,0.0,0.0,12647.024282119895,12647.024282119895,12562.263850254812,84.76043186508261,0.0006702005940236484,8.47604318650826,638.1630035929445,646.6390467794528,True,oregon,single,2374.2678676981595,12647.024282119895,10272.756414421736,0.05045953809823599,False
2033,pre_retirement,brackets,single,0.0,0.0,2758.2476834604504,1247.0411014169092,2758.2476834604504,0.0,0.0,2758.2476834604504,0.0,0.0,2758.2476834604504,2758.2476834604504,12196.372670150304,0.0,0.0,0.0,21.140379294927193,21.140379294927193,True,oregon,single,2305.1144346584074,2758.2476834604504,453.13324880204317,0.007664423837530367,False
2034,pre_retirement,brackets,single,0.0,0.0,5058.311496127896,2100.840849865185,5058.311496127896,0.0,0.0,5058.311496127896,0.0,0.0,5058.311496127896,5058.311496127896,11841.138514709033,0.0,0.0,0.0,133.4101605990551,133.4101605990551,True,oregon,single,2237.975179280007,5058.311496127896,2820.336316847889,0.0263744454451213,False
2035,pre_retirement,brackets,single,0.0,0.0,2736.732825380056,1046.3001654680857,2736.732825380056,0.0,0.0,2736.732825380056,0.0,0.0,2736.732825380056,2736.732825380056,11496.2509851544,0.0,0.0,0.0,27.591002364370564,27.591002364370564,True,oregon,single,2172.7914361941816,2736.732825380056,563.9413891858742,0.010081730342288323,False
2036,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11161.408723450873,0.0,0.0,0.0,0.0,0.0,True,oregon,single,2109.506248732215,0.0,0.0,0.0,False
2037,pre_retirement,brackets,single,0.0,0.0,930.196268534475,302.9768506196117,930.196268534475,0.0,0.0,930.196268534475,0.0,0.0,930.196268534475,930.196268534475,10836.319148981429,0.0,0.0,0.0,0.0,0.0,True,oregon,single,2048.0643191574904,930.196268534475,0.0,0.0,False
2038,pre_retirement,brackets,single,0.0,12624.837843473511,0.0,0.0,0.0,0.0,0.0,12624.837843473511,0.0,0.0,12624.837843473511,12624.837843473511,10520.698202894593,2104.1396405789183,0.016666666666666666,210.41396405789183,711.9005783958675,922.3145424537593,True,oregon,single,1988.4119603470779,12624.837843473511,10636.425883126432,0.05638888888888889,False
2039,pre_retirement,brackets,single,0.0,12257.124119877195,0.0,0.0,0.0,0.0,0.0,12257.124119877195,8253.130240717312,0.5,20510.254360594507,20510.254360594507,10214.270099897662,10295.984260696843,0.052320717131474105,1073.1112166952485,691.1656100930751,1764.2768267883237,True,oregon,single,1930.4970488806582,12257.124119877195,10326.627070996536,0.05638888888888889,False
2040,retirement,brackets,single,0.0,11900.12050473514,16325.373058361001,0.0,0.0,0.0,0.0,28225.49356309614,13621.671271086823,0.85,36238.241369617805,41847.164834182964,9916.767087279284,31930.397746903684,0.08779498318461011,3673.9711329407014,2100.3712690857524,5774.342402026454,True,oregon,single,1874.2689794957846,28225.49356309614,26351.224583600357,0.07441397842664885,False
