year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2026,551506.7116902131,572296.7116902131,600979.2116902131,627062.9616902131,638593.7116902131,427522.5,448312.5,476995.0,503078.75,514609.5
2027,615109.0636154282,660045.8018654281,670878.4256154281,701886.2381154281,761393.2821154281,466055.67050000007,510992.40875,521825.0325,552832.845,612339.889
2028,693025.3320239473,744130.4798834472,800380.5170684471,818123.3626209472,832270.7779534471,517763.6629405,568868.8108,625118.8479849999,642861.6935375,657009.1088699999
2029,756312.2193045439,818447.1515927239,875934.2443553339,943819.3116353163,973752.5498811959,553646.15733162,615781.0896198,673268.1823824099,741153.2496623924,771086.487908272
2030,822059.3182296957,893413.6797361795,1035158.9845643142,1062079.461510123,1107106.9897325328,590732.6643626977,662087.0258691817,803832.3306973163,830752.8076431251,875780.3358655351
2031,911838.8961506897,1037566.6943142858,1180776.0008505785,1233756.7376003421,1273503.3621711351,650532.1381595723,776259.9363231683,919469.2428594611,972449.9796092247,1012196.6041800177
2032,1007087.686209562,1198811.332984448,1281437.7618452366,1375650.6944388526,1463452.5386001568,714414.5862132378,906138.2329881239,988764.6618489126,1082977.5944425284,1170779.4386038326
2033,1112386.450379063,1301363.6274030365,1498543.4783152891,1554808.523829805,1614715.5310553263,786890.4407180754,975867.6177420488,1173047.4686543015,1229312.5141688173,1289219.521394339
2034,1239114.3185872424,1519023.9303331776,1717609.8402191438,1806694.312579078,1819031.703537915,879264.694969684,1159174.3067156193,1357760.2166015855,1446844.6889615196,1459182.0799203566
2035,1456486.986674061,1789634.940630789,1895829.8790367078,1997459.9491073103,2128723.550123329,1060674.886927594,1393822.8408843218,1500017.7792902407,1601647.8493608432,1732911.4503768615
2036,1648514.5487574667,1924457.5389035288,2218672.3104713177,2261871.1316015217,2377158.8482161467,1215048.70484053,1490991.694986592,1785206.4665543814,1828405.287684585,1943693.00429921
2037,1836158.0347517757,2244512.494082313,2449852.9139030823,2595918.7355381167,2642986.8639687225,1363260.2849574296,1771614.7442879668,1976955.164108736,2123020.9857437704,2170089.1141743762
2038,2150382.2393085537,2522673.565077315,2746459.5788263124,2836088.272248945,2987927.9483586582,1636182.7868325694,2008474.1126013305,2232260.1263503283,2321888.819772961,2473728.4958826737
2039,2339555.1330722417,2691578.3210981013,3085103.496555778,3268053.8499762006,3335389.8736627344,1782087.5363105144,2134110.724336374,2527635.8997940514,2710586.2532144734,2777922.276901007
