year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_home_mortgage_balance,liability_rav4_hybrid_auto_loan_balance
2026,476995.0,391400.0,267415.788309787,123984.21169021301,600979.2116902131,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,62000.0,0.0,-3500.0,65500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16380.0,7020.0,16380.0,0.0,7020.0,0.0,12600.0,5400.0,0.0,0.0,12600.0,5400.0,23400.0,0.0,0.0,0.0,5400.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,88560.0,40000.0,48560.0,293130.0,293130.0,0.0,67905.0,62020.0,5885.0,67905.0,0.0,27400.0,267415.788309787,19874.077481343764
2027,506626.245145631,391400.0,246687.96784909887,144712.03215090113,651338.2772965322,62620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,14563.106796116504,0.0,0.0,1.0,oregon,single,2752.4271844660193,0.0,0.0,0.0,0.0,62620.0,0.0,-11165.048543689321,73785.04854368932,11165.048543689321,0.0,1.0,0.0,0.0,0.0,11165.048543689321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16539.029126213594,7088.155339805826,16539.029126213594,0.0,7088.155339805826,0.0,12722.330097087379,5452.42718446602,0.0,0.0,12722.330097087379,5452.42718446602,23627.18446601942,0.0,0.0,0.0,5452.42718446602,5452.42718446602,0.0,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,92106.91262135922,38834.95145631068,53271.96116504853,320859.8009708738,320859.8009708738,0.0,77576.1917475728,67301.74757281554,10274.444174757273,77576.1917475728,0.0,16234.95145631068,246687.96784909887,13985.303338244246
2028,589234.468833066,391400.0,226199.06769398885,165200.93230601115,754435.4011390773,63246.200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,14138.938637006315,0.0,0.0,1.0,oregon,single,2672.259402394194,0.0,0.0,0.0,0.0,63246.200000000004,0.0,-3299.0856819681403,66545.28568196815,3299.0856819681403,0.0,1.0,0.0,0.0,0.0,3299.0856819681403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16699.602224526345,7156.972381939862,16699.602224526345,0.0,7156.972381939862,0.0,12845.847865020267,5505.363370722971,0.0,0.0,12845.847865020267,5505.363370722971,23856.57460646621,0.0,0.0,0.0,5505.36337072297,5505.36337072297,0.0,0.0,0.0,0.0,0.0,0.0,,103654.29812423412,37703.83636535017,65950.46175888395,378143.2869733245,378143.2869733245,0.0,94098.2851116976,72498.47487981901,21599.810231878582,94098.2851116976,0.0,12935.86577434254,226199.06769398885,8077.447389021306
2029,616135.7616151243,391400.0,205931.84375152815,185468.15624847185,801603.9178635961,63878.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,13727.124890297393,0.0,0.0,1.0,oregon,single,2594.426604266207,0.0,0.0,0.0,0.0,63878.662,0.0,-10524.129082561334,74402.79108256134,10524.129082561334,0.0,1.0,0.0,0.0,0.0,10524.129082561334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16861.73428495864,7226.457550696559,16861.73428495864,0.0,7226.457550696559,0.0,12970.564834583569,5558.813500535815,0.0,0.0,12970.564834583569,5558.813500535815,24088.1918356552,0.0,0.0,0.0,5558.813500535815,5558.813500535815,0.0,0.0,0.0,0.0,0.0,0.0,,106444.21884741566,36605.66637412638,69838.55247328928,403661.03910228255,403661.03910228255,0.0,103618.76697364483,77613.32636605483,26005.440607589997,103618.76697364483,0.0,2411.7366917812046,205931.84375152815,2144.2238450266877
2030,714194.6145204463,391400.0,185869.26420149673,205530.73579850327,919725.3503189497,64517.448619999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,13327.305718735332,0.0,0.0,1.0,oregon,single,2518.860780840978,0.0,0.0,0.0,0.0,64517.448619999996,5864.014516243546,2754.3098485386354,67627.1532877049,3109.7046677049107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.440443065036,7296.617332742159,17025.440443065036,0.0,7296.617332742159,0.0,13096.492648511567,5612.782563647815,0.0,0.0,13096.492648511567,5612.782563647815,24322.057775807196,0.0,0.0,0.0,5612.782563647814,5612.782563647814,0.0,0.0,0.0,0.0,0.0,0.0,🚗 RAV4 Hybrid Auto Loan paid off,118462.23124760219,35539.48191662755,82922.74933097464,467444.8287194855,467444.8287194855,0.0,123121.50801303878,82649.36137745559,40472.146635583194,123121.50801303878,0.0,5166.0465403198405,185869.26420149673,0.0
2031,793142.2458616272,391400.00000000006,165994.49513791536,225405.5048620847,1018547.750723712,65162.62310619999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,12939.131765762459,0.0,0.0,1.0,oregon,single,2445.4959037291046,0.0,0.0,0.0,0.0,65162.62310619999,5693.217976935482,-4226.783043482403,75082.62412661788,9920.001020417885,0.0,1.0,0.0,0.0,0.0,4226.783043482403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17190.73598134722,7367.458277720238,17190.73598134722,0.0,7367.458277720238,0.0,13223.643062574785,5667.275598246337,0.0,0.0,13223.643062574785,5667.275598246337,24558.19425906746,0.0,0.0,0.0,5667.275598246336,5667.275598246336,0.0,0.0,0.0,0.0,0.0,0.0,,128876.4520670016,34504.351375366554,94372.10069163505,523128.4524640212,523128.4524640212,0.0,140279.3420613015,87609.55670243439,52669.7853588671,140279.3420613015,0.0,939.2634968374371,165994.49513791536,0.0
2032,828074.8378636013,391400.00000000006,146290.88639827765,245109.11360172235,1073183.9514653236,65814.249337262,0.0,14341.044148308,0.0,0.0,14341.044148308,4860.257368398161,14341.044148308,0.0,0.0,14341.044148308,0.0,0.0,14341.044148308,pre_retirement,brackets,single,962.1820361895609,177.87802980531865,784.3040063842423,12562.263850254812,1778.7802980531862,0.01240087004264933,1.0,oregon,single,2374.2678676981595,14341.044148308,11966.77628060984,0.05468837727933967,0.0,65814.249337262,5527.396094112118,-20140.57151424524,91482.21694561935,24705.7855721678,0.0,1.0,0.0,0.0,0.0,939.263496837437,19201.30151670616,0.0,0.0,0.0,0.0,0.0,0.0,17357.636330680692,7438.9869988631535,17357.636330680692,0.0,7438.9869988631535,0.0,13352.027946677455,5722.297691433195,0.0,0.0,13352.027946677455,5722.297691433195,24796.623329543843,0.0,0.0,0.0,5722.297691433194,5722.297691433194,0.0,0.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,113167.09636867128,28639.112898948006,84527.98346972327,561212.7137595969,561212.7137595969,0.0,155461.99938413635,92496.80904006159,62965.19034407474,155461.99938413635,0.0,0.0,146290.88639827765,0.0
2033,953794.9391656211,391400.0,126741.95756851688,264658.04243148316,1218452.9815971046,66472.3918306346,0.0,3159.484233727083,0.0,0.0,3159.484233727083,865.3187474225168,3159.484233727083,0.0,0.0,3159.484233727083,0.0,0.0,3159.484233727083,pre_retirement,brackets,single,40.654575567167676,0.0,40.654575567167676,12196.372670150304,0.0,0.0,1.0,oregon,single,2305.1144346584074,3159.484233727083,854.3697990686758,0.012799080096580177,0.0,66472.3918306346,5366.4039748661335,-4024.8029811496003,75863.59878665034,9350.552380448566,0.0,1.0,0.0,0.0,0.0,0.0,4024.8029811496003,0.0,0.0,0.0,0.0,0.0,0.0,17526.157071755257,7511.210173609396,17526.157071755257,0.0,7511.210173609396,0.0,13481.659285965583,5777.853979699536,0.0,0.0,13481.659285965583,5777.853979699536,25037.36724536465,0.0,0.0,0.0,5777.853979699534,5777.853979699534,0.0,0.0,0.0,0.0,0.0,0.0,,125635.23594493698,26872.31650481729,98627.95855209904,648936.127066651,648936.127066651,0.0,179880.86635581078,97313.93739697016,82566.92895884062,179880.86635581078,0.0,0.0,126741.95756851688,0.0
2034,1071828.4529693807,391400.00000000006,107331.38415190538,284068.61584809463,1355897.0688174753,67137.11574894095,0.0,5834.550264537047,0.0,0.0,5834.550264537047,1364.0725431717306,5834.550264537047,0.0,0.0,5834.550264537047,0.0,0.0,5834.550264537047,pre_retirement,brackets,single,172.8806223147519,0.0,172.8806223147519,11841.138514709033,0.0,0.0,1.0,oregon,single,2237.975179280007,5834.550264537047,3596.5750852570404,0.029561018875399067,0.0,67137.11574894095,5210.100946471975,-7198.622807708778,79545.83950312171,12235.843131866,0.0,1.0,0.0,0.0,0.0,0.0,7198.622807708778,0.0,0.0,0.0,0.0,0.0,0.0,17696.31393652958,7584.134544226963,17696.31393652958,0.0,7584.134544226963,0.0,13612.54918194583,5833.949649405356,0.0,0.0,13612.54918194583,5833.949649405356,25280.448480756542,0.0,0.0,0.0,5833.949649405356,5833.949649405356,0.0,0.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,130593.87565993873,24741.256314400154,105847.29043556786,734892.9364754804,734892.9364754804,0.0,206341.64083396143,102063.68541507177,104277.95541888967,206341.64083396143,0.0,0.0,107331.38415190538,0.0
2035,1149638.7248609697,391400.00000000006,88042.98389024308,303357.016109757,1452995.7409707266,67808.48690643036,0.0,3128.527182194065,0.0,0.0,3128.527182194065,672.1333934979796,3128.527182194065,0.0,0.0,3128.527182194065,0.0,0.0,3128.527182194065,pre_retirement,brackets,single,45.21858720827397,0.0,45.21858720827397,11496.2509851544,0.0,0.0,1.0,oregon,single,2172.7914361941816,3128.527182194065,955.7357459998836,0.014483368688213465,0.0,67808.48690643036,5058.350433467936,-3800.660575692045,76667.49791559034,8813.792421951708,0.0,1.0,0.0,0.0,0.0,0.0,3800.660575692045,0.0,0.0,0.0,0.0,0.0,0.0,17868.12280969977,7657.766918442759,17868.12280969977,0.0,7657.766918442759,0.0,13744.709853615208,5890.589937263661,0.0,0.0,13744.709853615208,5890.589937263661,25525.88972814253,0.0,0.0,0.0,5890.58993726366,5890.58993726366,0.0,0.0,0.0,0.0,0.0,0.0,,135009.815270717,23349.857079994887,111329.2401819223,791076.7626717971,791076.7626717971,0.0,226251.12494080092,106748.7236321047,119502.40130869622,226251.12494080092,0.0,0.0,88042.98389024308,0.0
