year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_home_mortgage_balance,liability_rav4_hybrid_auto_loan_balance
2026,476995.0,391400.0,267415.788309787,123984.21169021301,600979.2116902131,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,62000.0,0.0,-3500.0,65500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16380.0,7020.0,16380.0,0.0,7020.0,0.0,12600.0,5400.0,0.0,0.0,12600.0,5400.0,23400.0,0.0,0.0,0.0,5400.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,88560.0,40000.0,48560.0,293130.0,293130.0,0.0,67905.0,62020.0,5885.0,67905.0,0.0,27400.0,267415.788309787,19874.077481343764
2027,521825.0325,403142.0,254088.60688457184,149053.39311542816,670878.4256154281,64498.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,64498.6,0.0,-11500.0,75998.6,11500.0,0.0,1.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17035.2,7300.8,17035.2,0.0,7300.8,0.0,13104.0,5616.0,0.0,0.0,13104.0,5616.0,24336.0,0.0,0.0,0.0,5616.0,5616.0,0.0,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,94870.12,40000.0,54870.11999999999,330485.595,330485.595,0.0,79903.4775,69320.8,10582.67749999999,79903.4775,0.0,16722.0,254088.60688457184,14404.862438391574
2028,625118.8479849999,415236.26,239974.59091655278,175261.66908344722,800380.5170684471,67097.89358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,67097.89358,0.0,-3500.0,70597.89358,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17716.608,7592.832,17716.608,0.0,7592.832,0.0,13628.160000000002,5840.64,0.0,0.0,13628.160000000002,5840.64,25309.440000000002,0.0,0.0,0.0,5840.639999999999,5840.639999999999,0.0,0.0,0.0,0.0,0.0,0.0,,109966.84487999999,40000.0,69966.84487999999,401172.21314999997,401172.21314999997,0.0,99828.87067499998,76913.632,22915.238674999986,99828.87067499998,0.0,13723.66,239974.59091655278,8569.363935012703
2029,673268.1823824099,427693.34780000005,225027.28582707612,202666.06197292393,875934.2443553339,69801.938691274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,69801.938691274,0.0,-11500.0,81301.938691274,11500.0,0.0,1.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18425.27232,7896.54528,18425.27232,0.0,7896.54528,0.0,14173.2864,6074.265600000001,0.0,0.0,14173.2864,6074.265600000001,26321.817600000002,0.0,0.0,0.0,6074.265600000001,6074.265600000001,0.0,0.0,0.0,0.0,0.0,0.0,,116314.47192847998,40000.0,76314.47192847998,441091.3162751199,441091.3162751199,0.0,113227.02437880999,84810.17728,28416.847098809994,113227.02437880999,0.0,2635.3698000000004,225027.28582707612,2343.0512895044776
2030,803832.3306973163,440524.1482340001,209197.49436700222,231326.65386699786,1035158.9845643142,72614.95682053234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,72614.95682053234,6600.0,3100.0,76114.95682053234,3500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19162.283212800005,8212.407091200002,19162.283212800005,0.0,8212.407091200002,0.0,14740.217856000003,6317.236224000002,0.0,0.0,14740.217856000003,6317.236224000002,27374.690304000007,0.0,0.0,0.0,6317.236224000001,6317.236224000001,0.0,0.0,0.0,0.0,0.0,0.0,🚗 RAV4 Hybrid Auto Loan paid off,133330.28492143357,40000.0,93330.28492143357,526113.2729127221,526113.2729127221,0.0,138574.34196916077,93022.5843712,45551.75759796075,138574.34196916077,0.0,5814.430894000001,209197.49436700222,0.0
2031,919469.2428594611,453739.8726810201,192433.1146899027,261306.75799111743,1180776.0008505785,75541.3395803998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,75541.3395803998,6600.0,-4900.0,87041.3395803998,11500.0,0.0,1.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19928.774541312003,8540.903374848001,19928.774541312003,0.0,8540.903374848001,0.0,15329.826570240002,6569.925672960001,0.0,0.0,15329.826570240002,6569.925672960001,28469.677916160006,0.0,0.0,0.0,6569.92567296,6569.92567296,0.0,0.0,0.0,0.0,0.0,0.0,,149403.1296690416,40000.0,109403.12966904162,606449.2524702197,606449.2524702197,0.0,162622.20441152836,101563.487746048,61058.71666548036,162622.20441152836,0.0,1088.863820820001,192433.1146899027,0.0
2032,988764.6618489126,467352.0688614507,174678.96886512652,292673.09999632416,1281437.7618452366,78585.65556548991,0.0,17123.956699910945,0.0,0.0,17123.956699910945,5803.401472457819,17123.956699910945,0.0,0.0,17123.956699910945,0.0,0.0,17123.956699910945,pre_retirement,brackets,single,1148.8956699910946,212.39566999109468,936.5,15000.0,2123.9566999109466,0.01240087004264933,1.0,oregon,single,2835.0,17123.956699910945,14288.956699910947,0.05468837727933967,0.0,78585.65556548991,6600.0,-24048.895669991092,109234.551235481,29500.0,0.0,1.0,0.0,0.0,0.0,1121.5297354446009,22927.358172368768,0.0,0.0,0.0,0.0,0.0,0.0,20725.925522964488,8882.539509841923,20725.925522964488,0.0,8882.539509841923,0.0,15943.019633049606,6832.722699878403,0.0,0.0,15943.019633049606,6832.722699878403,29608.46503280641,0.0,0.0,0.0,6832.722699878402,6832.722699878402,0.0,0.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,135127.43131053064,34196.598527542184,100930.83278298844,670117.3297059191,670117.3297059191,0.0,185629.757387618,110446.02725588993,75183.73013172807,185629.757387618,0.0,0.0,174678.96886512652,0.0
2033,1173047.4686543015,481372.63092729426,155876.62126630676,325496.00966098753,1498543.4783152891,81752.65748477915,0.0,3885.767087282862,0.0,0.0,3885.767087282862,1064.2329127171379,3885.767087282862,0.0,0.0,3885.767087282862,0.0,0.0,3885.767087282862,pre_retirement,brackets,single,50.0,0.0,50.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,3885.767087282862,1050.7670872828621,0.012799080096580177,0.0,81752.65748477915,6600.0,-4950.0,93302.65748477915,11500.0,0.0,1.0,0.0,0.0,0.0,0.0,4950.0,0.0,0.0,0.0,0.0,0.0,0.0,21554.962543883063,9237.841090235599,21554.962543883063,0.0,9237.841090235599,0.0,16580.740418371588,7106.031607873538,0.0,0.0,16580.740418371588,7106.031607873538,30792.80363411866,0.0,0.0,0.0,7106.031607873536,7106.031607873536,0.0,0.0,0.0,0.0,0.0,0.0,,154515.49326516525,33049.55977270017,121299.94862343394,798109.5830093068,798109.5830093068,0.0,221230.7764209955,119683.86834612553,101546.90807486998,221230.7764209955,0.0,0.0,155876.62126630676,0.0
2034,1357760.2166015855,495813.8098551131,135964.1862375547,359849.6236175584,1717609.8402191438,85047.28958141575,0.0,7391.033713467734,0.0,0.0,7391.033713467734,1727.966286532266,7391.033713467734,0.0,0.0,7391.033713467734,0.0,0.0,7391.033713467734,pre_retirement,brackets,single,219.0,0.0,219.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,7391.033713467734,4556.033713467734,0.029561018875399067,0.0,85047.28958141575,6600.0,-9119.0,100766.28958141575,15500.0,0.0,1.0,0.0,0.0,0.0,0.0,9119.0,0.0,0.0,0.0,0.0,0.0,0.0,22417.161045638386,9607.354733845023,22417.161045638386,0.0,9607.354733845023,0.0,17243.97003510645,7390.272872188479,0.0,0.0,17243.97003510645,7390.272872188479,32024.51577948341,0.0,0.0,0.0,7390.272872188478,7390.272872188478,0.0,0.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,165432.41449846484,31341.483275024562,134084.18071972296,930940.3849502287,930940.3849502287,0.0,261387.41715289163,129291.22307997054,132096.19407292112,261387.41715289163,0.0,0.0,135964.1862375547,0.0
2035,1500017.7792902407,510688.2241507665,114876.12440429938,395812.09974646714,1895829.8790367078,88474.6953515468,0.0,4082.0183722076863,0.0,0.0,4082.0183722076863,876.9816277923135,4082.0183722076863,0.0,0.0,4082.0183722076863,0.0,0.0,4082.0183722076863,pre_retirement,brackets,single,59.0,0.0,59.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,4082.0183722076863,1247.0183722076865,0.014483368688213465,0.0,88474.6953515468,6600.0,-4959.0,100033.6953515468,11500.0,0.0,1.0,0.0,0.0,0.0,0.0,4959.0,0.0,0.0,0.0,0.0,0.0,0.0,23313.84748746392,9991.648923198823,23313.84748746392,0.0,9991.648923198823,0.0,17933.72883651071,7685.883787076019,0.0,0.0,17933.72883651071,7685.883787076019,33305.496410662745,0.0,0.0,0.0,7685.883787076018,7685.883787076018,0.0,0.0,0.0,0.0,0.0,0.0,,176157.1865189716,30466.267364222764,145259.40716545744,1032175.7462846125,1032175.7462846125,0.0,295206.40063395706,139282.87200316938,155923.52863078768,295206.40063395706,0.0,0.0,114876.12440429938,0.0
