year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2026,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,551506.7116902131,600979.2116902131,638593.7116902131,427522.5,476995.0,514609.5
2027,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,615109.0636154282,670878.4256154281,761393.2821154281,466055.67050000007,521825.0325,612339.889
2028,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,693025.3320239473,800380.5170684471,832270.7779534471,517763.6629405,625118.8479849999,657009.1088699999
2029,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,756312.2193045439,875934.2443553339,973752.5498811959,553646.15733162,673268.1823824099,771086.487908272
2030,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,822059.3182296957,1035158.9845643142,1107106.9897325328,590732.6643626977,803832.3306973163,875780.3358655351
2031,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,911838.8961506897,1180776.0008505785,1273503.3621711351,650532.1381595723,919469.2428594611,1012196.6041800177
2032,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1007087.686209562,1281437.7618452366,1463452.5386001568,714414.5862132378,988764.6618489126,1170779.4386038326
2033,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1112386.450379063,1498543.4783152891,1614715.5310553263,786890.4407180754,1173047.4686543015,1289219.521394339
2034,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1239114.3185872424,1717609.8402191438,1819031.703537915,879264.694969684,1357760.2166015855,1459182.0799203566
2035,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1456486.986674061,1895829.8790367078,2128723.550123329,1060674.886927594,1500017.7792902407,1732911.4503768615
2036,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1648514.5487574667,2218672.3104713177,2377158.8482161467,1215048.70484053,1785206.4665543814,1943693.00429921
2037,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1836158.0347517757,2449852.9139030823,2642986.8639687225,1363260.2849574296,1976955.164108736,2170089.1141743762
2038,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2150382.2393085537,2746459.5788263124,2987927.9483586582,1636182.7868325694,2232260.1263503283,2473728.4958826737
2039,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2339555.1330722417,3085103.496555778,3335389.8736627344,1782087.5363105144,2527635.8997940514,2777922.276901007
2040,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2626520.9087811676,3284920.4511192553,3752417.3349699294,2034493.290472877,2692892.8328109644,3160389.7166616386
2041,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2793455.7608504808,3490736.2072984735,4143986.042848674,2183667.3139929413,2880947.760440934,3534197.5959911346
2042,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2964723.392281746,3679514.944884196,4417367.566951585,2336641.29201848,3051432.8446209305,3789285.4666883196
2043,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3097869.9191709855,3722258.3138341345,4920591.472192542,2450945.355899822,3075333.750562971,4273666.908921378
2044,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3183755.2455874393,3913925.11902612,5249145.802597148,2517422.945418141,3247592.8188568214,4582813.50242785
2045,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3374323.977243284,4042512.538063995,5653654.77746893,2688001.708068907,3356190.2688896176,4967332.508294553
2046,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3492632.929907465,4421510.874354875,6126658.24654888,2785720.992657856,3714598.937105266,5419746.309299271
2047,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3219649.521294883,4719629.091033747,6614396.342206818,2491530.2259277855,3991509.79566665,5886277.046839721
2048,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3413367.4617530433,5181224.8231429495,7364417.587074462,2663404.5875249333,4431261.948914839,6614454.712846352
2049,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3712380.728547067,5747810.951152259,7367802.217363759,2939918.9680921133,4975349.190697305,6595340.456908805
2050,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4074354.2695884,6200714.966412959,8271579.040020615,3278718.656319798,5405079.353144356,7475943.426752013
2051,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4435221.343173649,6781262.76547996,8157119.57451981,3615716.661506989,5961758.083813299,7337614.89285315
2052,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4796123.335802076,7265781.413414626,8952598.56920045,3952033.513685416,6421691.591297966,8108508.747083791
2053,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5157018.574062932,8130448.569899154,8868364.354017548,4287606.057282772,7261036.053118994,7998951.837237389
2054,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5333943.203015381,7604919.976233562,9845127.897342084,4438448.310731816,6709425.083949998,8949633.00505852
2055,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5863060.808442559,7631745.8300049305,10417235.255847087,4940701.069390488,6709386.090952858,9494875.516795015
2056,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6235223.63151119,8303252.5579950465,10572504.238365501,5285193.100287557,7353222.026771412,9622473.707141867
2057,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6867368.049260028,9066853.008696973,10494204.09332881,5888836.602099685,8088321.561536629,9515672.646168467
2058,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7602940.974237598,9637163.278151803,10660590.47189955,6595053.583662445,8629275.887576647,9652703.081324397
2059,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8395944.807944769,10739115.566449672,11478693.220610935,7357820.795652362,9700991.554157265,10440569.208318528
2060,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8847916.861585626,11315766.760955837,12680896.284892553,7778649.128924446,10246499.028294656,11611628.552231373
2061,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8562505.4179301,11859344.735420698,13660122.757406326,7461159.653289085,10757998.970779683,12558776.992765311
2062,20,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,9464976.725887498,13118926.889400482,14267809.466112655,8330590.588307253,11984540.751820236,13133423.328532409
