year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0
2027,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14563.106796116504,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2752.4271844660193,0.0,0.0,0.0,0.0
2028,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14138.938637006315,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2672.259402394194,0.0,0.0,0.0,0.0
2029,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13727.124890297393,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2594.426604266207,0.0,0.0,0.0,0.0
2030,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13327.305718735332,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2518.860780840978,0.0,0.0,0.0,0.0
2031,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12939.131765762459,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2445.4959037291046,0.0,0.0,0.0,0.0
2032,pre_retirement,brackets,single,0.0,0.0,14341.044148308,4860.257368398161,14341.044148308,0.0,0.0,14341.044148308,0.0,0.0,14341.044148308,14341.044148308,12562.263850254812,1778.7802980531862,0.01240087004264933,177.87802980531865,784.3040063842423,962.1820361895609,1.0,oregon,single,2374.2678676981595,14341.044148308,11966.77628060984,0.05468837727933967,0.0
2033,pre_retirement,brackets,single,0.0,0.0,3159.484233727083,865.3187474225168,3159.484233727083,0.0,0.0,3159.484233727083,0.0,0.0,3159.484233727083,3159.484233727083,12196.372670150304,0.0,0.0,0.0,40.654575567167676,40.654575567167676,1.0,oregon,single,2305.1144346584074,3159.484233727083,854.3697990686758,0.012799080096580177,0.0
2034,pre_retirement,brackets,single,0.0,0.0,5834.550264537047,1364.0725431717306,5834.550264537047,0.0,0.0,5834.550264537047,0.0,0.0,5834.550264537047,5834.550264537047,11841.138514709033,0.0,0.0,0.0,172.8806223147519,172.8806223147519,1.0,oregon,single,2237.975179280007,5834.550264537047,3596.5750852570404,0.029561018875399067,0.0
2035,pre_retirement,brackets,single,0.0,0.0,3128.527182194065,672.1333934979796,3128.527182194065,0.0,0.0,3128.527182194065,0.0,0.0,3128.527182194065,3128.527182194065,11496.2509851544,0.0,0.0,0.0,45.21858720827397,45.21858720827397,1.0,oregon,single,2172.7914361941816,3128.527182194065,955.7357459998836,0.014483368688213465,0.0
