year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2026,516141.89965553436,549304.2861850883,592314.0283040339,626872.1762572326,660572.2627887869,392157.68796532135,425320.07449487527,468329.8166138209,502887.9645670195,536588.0510985738
2027,529382.0113762008,573152.0911406258,622867.5777604396,687574.5748648326,748068.5674179209,384669.97922529984,428440.05898972467,478155.54560953856,542862.5427139314,603356.5352670199
2028,546956.4030754485,611750.9383838238,678493.860232627,768160.5670747927,840875.3604867125,381755.4707694373,446550.00607781264,513292.9279266159,602959.6347687816,675674.4281807014
2029,583693.7079260973,642633.3561290646,727085.5523352916,828819.5407142844,914193.6284680904,398225.55167762545,457165.19988059264,541617.3960868199,643351.3844658125,728725.4722196186
2030,593369.6122624797,683982.8197412146,781373.2586587099,885109.23630272,980497.7835265198,387838.8764639764,478452.0839427113,575842.5228602067,679578.5005042166,774967.0477280165
2031,645260.8698172683,726408.716046467,843370.7494186129,972392.6751182699,1102261.8186373124,419855.36495518364,501003.2111843822,617965.2445565283,746987.1702561851,876856.3137752276
2032,651707.5990629593,749285.6798852908,876490.5570054272,1015215.9962966772,1165965.5311827126,406598.48546123697,504176.5662835684,631381.4434037049,770106.8826949548,920856.4175809902
2033,686479.8489138992,776347.435858774,918757.1502132764,1122894.9298067195,1259325.2095436694,421821.80648241617,511689.3934272909,654099.1077817932,858236.8873752364,994667.1671121862
2034,705549.410921912,823307.3211279362,988245.4405017409,1143979.8598926023,1399552.5257772612,421480.7950738173,539238.7052798416,704176.8246536462,859911.2440445076,1115483.9099291665
2035,733729.4593208133,847756.5314471824,1018004.0460730698,1195291.8503088057,1456735.1418047575,430372.4432110563,544399.5153374255,714647.0299633128,891934.8341990488,1153378.1256950006
2036,785239.1487379693,898595.8893090722,1090540.4442302156,1304179.7803609283,1621834.4542167538,462699.85196380306,576056.5925349061,768001.1474560497,981640.4835867623,1299295.1574425877
2037,823920.2806410937,943168.7188072712,1134274.4158853437,1387606.6587690546,1740029.824178,482288.8845339803,601537.3227001578,792643.0197782303,1045975.2626619411,1398398.4280708863
2038,857768.1052686055,1032362.241788256,1219449.8377505713,1511986.2510277894,1834045.3199525261,497118.9548957075,671713.091415358,858800.6873776731,1151337.1006548908,1473396.169579628
2039,896151.0988887554,1053171.221052961,1289599.8839518349,1618310.3061848667,1980424.1453867434,516542.791871081,673562.9140352864,909991.57693416,1238701.9991671923,1600815.838369069
2040,902884.8125110231,1060780.3965782952,1307810.6903066514,1637633.1665482095,2102262.640084878,511484.8125110232,669380.3965782953,916410.6903066514,1246233.1665482093,1710862.6400848778
2041,870145.5126886402,1040121.473961372,1292117.2561210329,1689575.2414654572,2168535.917791924,478745.5126886401,648721.4739613719,900717.2561210328,1298175.2414654572,1777135.9177919242
2042,844287.6439674002,1015297.8517644957,1266305.9260408622,1665077.4105289765,2250424.958810581,452887.64396740025,623897.851764496,874905.9260408622,1273677.4105289767,1859024.9588105811
2043,814951.3470236078,965153.4833559081,1235236.9105535136,1754921.7635882855,2317327.4209107338,423551.3470236079,573753.4833559081,843836.9105535138,1363521.7635882855,1925927.4209107342
2044,751240.9226348156,919342.6396890015,1199316.7253553048,1713846.9498846107,2320227.162113679,359840.9226348156,527942.6396890015,807916.7253553048,1322446.9498846107,1928827.1621136793
2045,705474.0637262722,907498.1191520696,1169612.6480881148,1742687.332203457,2397842.4270471246,314074.0637262722,516098.1191520697,778212.648088115,1351287.3322034571,2006442.4270471246
2046,651126.8216296082,894572.6133391261,1173146.7243081513,1689620.6836509723,2523543.659725122,259726.8216296082,503172.61333912617,781746.7243081513,1298220.6836509723,2132143.659725122
2047,628805.2227928657,848009.261129745,1178302.868079638,1740707.7199135378,2556407.290374561,237405.22279286565,456609.26112974505,786902.8680796381,1349307.7199135378,2165007.290374561
2048,567610.4703402952,791597.1789437697,1213973.762276457,1758333.1921664735,2518080.3011541325,176210.47034029523,400197.1789437696,822573.7622764568,1366933.1921664735,2126680.3011541325
