year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_home_mortgage_balance,liability_rav4_hybrid_auto_loan_balance
2026,468329.8166138209,391400.0,267415.788309787,123984.21169021301,592314.0283040339,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,62000.0,0.0,-3500.0,65500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16380.0,7020.0,16380.0,0.0,7020.0,0.0,12600.0,5400.0,0.0,0.0,12600.0,5400.0,23400.0,0.0,0.0,0.0,5400.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,86759.44241326148,40000.0,46759.44241326148,287503.2575414422,287503.2575414422,0.0,66667.11665911728,62020.0,4647.116659117273,66667.11665911728,0.0,27400.0,267415.788309787,19874.077481343764
2027,478155.54560953856,391400.0,246687.96784909887,144712.03215090113,622867.5777604396,62620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,14563.106796116504,0.0,0.0,1.0,oregon,single,2752.4271844660193,0.0,0.0,0.0,0.0,62620.0,0.0,-11165.048543689321,73785.04854368932,11165.048543689321,0.0,1.0,0.0,0.0,0.0,11165.048543689321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16539.029126213594,7088.155339805826,16539.029126213594,0.0,7088.155339805826,0.0,12722.330097087379,5452.42718446602,0.0,0.0,12722.330097087379,5452.42718446602,23627.18446601942,0.0,0.0,0.0,5452.42718446602,5452.42718446602,0.0,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,86059.6290801469,38834.95145631068,47224.67762383622,302286.5234573677,302286.5234573677,0.0,73268.40302828129,67301.74757281554,5966.655455465747,73268.40302828129,0.0,16234.95145631068,246687.96784909887,13985.303338244246
2028,513292.9279266159,391400.0,226199.06769398885,165200.93230601115,678493.860232627,63246.200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,14138.938637006315,0.0,0.0,1.0,oregon,single,2672.259402394194,0.0,0.0,0.0,0.0,63246.200000000004,0.0,-3299.0856819681403,66545.28568196815,3299.0856819681403,0.0,1.0,0.0,0.0,0.0,3299.0856819681403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16699.602224526345,7156.972381939862,16699.602224526345,0.0,7156.972381939862,0.0,12845.847865020267,5505.363370722971,0.0,0.0,12845.847865020267,5505.363370722971,23856.57460646621,0.0,0.0,0.0,5505.36337072297,5505.36337072297,0.0,0.0,0.0,0.0,0.0,0.0,,88495.42595734433,37703.83636535017,50791.589591994154,328557.3624922702,328557.3624922702,0.0,82971.74060629768,72498.47487981901,10473.265726478656,82971.74060629768,0.0,12935.86577434254,226199.06769398885,8077.447389021306
2029,541617.3960868199,391400.0,205931.84375152815,185468.15624847185,727085.5523352916,63878.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,13727.124890297393,0.0,0.0,1.0,oregon,single,2594.426604266207,0.0,0.0,0.0,0.0,63878.662,0.0,-10524.129082561334,74402.79108256134,10524.129082561334,0.0,1.0,0.0,0.0,0.0,10524.129082561334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16861.73428495864,7226.457550696559,16861.73428495864,0.0,7226.457550696559,0.0,12970.564834583569,5558.813500535815,0.0,0.0,12970.564834583569,5558.813500535815,24088.1918356552,0.0,0.0,0.0,5558.813500535815,5558.813500535815,0.0,0.0,0.0,0.0,0.0,0.0,,91822.9947248259,36605.66637412638,55217.32835069953,354962.4030076996,354962.4030076996,0.0,92373.72577788823,77613.32636605483,14760.399411833412,92373.72577788823,0.0,2411.7366917812046,205931.84375152815,2144.2238450266877
2030,575842.5228602067,391400.0,185869.26420149673,205530.73579850327,781373.2586587099,64517.448619999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,13327.305718735332,0.0,0.0,1.0,oregon,single,2518.860780840978,0.0,0.0,0.0,0.0,64517.448619999996,5864.014516243546,2754.3098485386354,67627.1532877049,3109.7046677049107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.440443065036,7296.617332742159,17025.440443065036,0.0,7296.617332742159,0.0,13096.492648511567,5612.782563647815,0.0,0.0,13096.492648511567,5612.782563647815,24322.057775807196,0.0,0.0,0.0,5612.782563647814,5612.782563647814,0.0,0.0,0.0,0.0,0.0,0.0,🚗 RAV4 Hybrid Auto Loan paid off,92399.75470665569,35539.48191662755,56860.272790028146,376859.5291051443,376859.5291051443,0.0,100910.27132339028,82649.36137745559,18260.909945934694,100910.27132339028,0.0,5166.0465403198405,185869.26420149673,0.0
2031,617965.2445565283,391400.00000000006,165994.49513791536,225405.5048620847,843370.7494186129,65162.62310619999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,12939.131765762459,0.0,0.0,1.0,oregon,single,2445.4959037291046,0.0,0.0,0.0,0.0,65162.62310619999,5693.217976935482,-4226.783043482403,75082.62412661788,9920.001020417885,0.0,1.0,0.0,0.0,0.0,4226.783043482403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17190.73598134722,7367.458277720238,17190.73598134722,0.0,7367.458277720238,0.0,13223.643062574785,5667.275598246337,0.0,0.0,13223.643062574785,5667.275598246337,24558.19425906746,0.0,0.0,0.0,5667.275598246336,5667.275598246336,0.0,0.0,0.0,0.0,0.0,0.0,,97254.47343137758,34504.351375366554,62750.12205601102,407837.7871986175,407837.7871986175,0.0,111593.41652576748,87609.55670243439,23983.85982333307,111593.41652576748,0.0,939.2634968374371,165994.49513791536,0.0
2032,631381.4434037049,391400.00000000006,146290.88639827765,245109.11360172235,876490.5570054272,65814.249337262,0.0,12286.475175651845,0.0,0.0,12286.475175651845,6561.501860175416,12286.475175651845,0.0,0.0,12286.475175651845,0.0,0.0,12286.475175651845,pre_retirement,brackets,single,608.8510546090166,0.0,608.8510546090166,12562.263850254812,0.0,0.0,1.0,oregon,single,2374.2678676981595,12286.475175651845,9912.207307953686,0.04947695858571037,0.0,65814.249337262,5527.396094112118,-19787.2405326647,91128.88596403881,24705.7855721678,0.0,1.0,0.0,0.0,0.0,939.263496837437,18847.97703582726,0.0,0.0,0.0,0.0,0.0,0.0,17357.636330680692,7438.9869988631535,17357.636330680692,0.0,7438.9869988631535,0.0,13352.027946677455,5722.297691433195,0.0,0.0,13352.027946677455,5722.297691433195,24796.623329543843,0.0,0.0,0.0,5722.297691433194,5722.297691433194,0.0,0.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,77379.29961750182,26937.868407170754,50441.431210331066,431223.4711872024,431223.4711872024,0.0,121189.89296616308,92496.80904006159,28693.083926101477,121189.89296616308,0.0,0.0,146290.88639827765,0.0
2033,654099.1077817932,391400.0,126741.95756851688,264658.04243148316,918757.1502132764,66472.3918306346,0.0,2691.349927144218,0.0,0.0,2691.349927144218,1309.8734001764253,2691.349927144218,0.0,0.0,2691.349927144218,0.0,0.0,2691.349927144218,pre_retirement,brackets,single,17.074921738210424,0.0,17.074921738210424,12196.372670150304,0.0,0.0,1.0,oregon,single,2305.1144346584074,2691.349927144218,386.2354924858102,0.006450270539984553,0.0,66472.3918306346,5366.4039748661335,-4001.223327320643,75840.01913282138,9350.552380448566,0.0,1.0,0.0,0.0,0.0,0.0,4001.223327320643,0.0,0.0,0.0,0.0,0.0,0.0,17526.157071755257,7511.210173609396,17526.157071755257,0.0,7511.210173609396,0.0,13481.659285965583,5777.853979699536,0.0,0.0,13481.659285965583,5777.853979699536,25037.36724536465,0.0,0.0,0.0,5777.853979699534,5777.853979699534,0.0,0.0,0.0,0.0,0.0,0.0,,76533.56283322594,24849.223493076835,51847.97358564164,452690.39498696633,452690.39498696633,0.0,130945.99695168708,97313.93739697016,33632.05955471692,130945.99695168708,0.0,0.0,126741.95756851688,0.0
2034,704176.8246536462,391400.00000000006,107331.38415190538,284068.61584809463,988245.4405017409,67137.11574894095,0.0,4905.519707095781,0.0,0.0,4905.519707095781,2245.738546554161,4905.519707095781,0.0,0.0,4905.519707095781,0.0,0.0,4905.519707095781,pre_retirement,brackets,single,125.51606825591574,0.0,125.51606825591574,11841.138514709033,0.0,0.0,1.0,oregon,single,2237.975179280007,4905.519707095781,2667.544527815774,0.025777062279631245,0.0,67137.11574894095,5210.100946471975,-7151.258253649942,79498.47494906287,12235.843131866,0.0,1.0,0.0,0.0,0.0,0.0,7151.258253649942,0.0,0.0,0.0,0.0,0.0,0.0,17696.31393652958,7584.134544226963,17696.31393652958,0.0,7584.134544226963,0.0,13612.54918194583,5833.949649405356,0.0,0.0,13612.54918194583,5833.949649405356,25280.448480756542,0.0,0.0,0.0,5833.949649405356,5833.949649405356,0.0,0.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,69387.06040568036,21672.50571511727,47723.358132239446,488292.8933580589,488292.8933580589,0.0,142676.74256035185,102063.68541507177,40613.05714528008,142676.74256035185,0.0,0.0,107331.38415190538,0.0
2035,714647.0299633128,391400.00000000006,88042.98389024308,303357.016109757,1018004.0460730698,67808.48690643036,0.0,2622.0487414154995,0.0,0.0,2622.0487414154995,1143.6380633395115,2622.0487414154995,0.0,0.0,2622.0487414154995,0.0,0.0,2622.0487414154995,pre_retirement,brackets,single,19.926835040934296,0.0,19.926835040934296,11496.2509851544,0.0,0.0,1.0,oregon,single,2172.7914361941816,2622.0487414154995,449.25730522131755,0.0077365641549336905,0.0,67808.48690643036,5058.350433467936,-3775.3688235247055,76642.206163423,8813.792421951708,0.0,1.0,0.0,0.0,0.0,0.0,3775.3688235247055,0.0,0.0,0.0,0.0,0.0,0.0,17868.12280969977,7657.766918442759,17868.12280969977,0.0,7657.766918442759,0.0,13744.709853615208,5890.589937263661,0.0,0.0,13744.709853615208,5890.589937263661,25525.88972814253,0.0,0.0,0.0,5890.58993726366,5890.58993726366,0.0,0.0,0.0,0.0,0.0,0.0,,64222.70529479324,19978.452639280593,44249.06324000896,499279.6165278797,499279.6165278797,0.0,148496.72295771178,106748.7236321047,41747.99932560708,148496.72295771178,0.0,0.0,88042.98389024308,0.0
