year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_home_mortgage_balance,liability_rav4_hybrid_auto_loan_balance
2026,451879.90433507704,391400.0,267415.788309787,123984.21169021301,575864.11602529,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,62000.0,0.0,-3500.0,65500.0,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16380.0,7020.0,16380.0,0.0,7020.0,0.0,12600.0,5400.0,0.0,0.0,12600.0,5400.0,23400.0,0.0,0.0,0.0,5400.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,💸 Home maintenance reserve,83341.27882287314,40000.0,43341.27882287314,276821.49632147857,276821.49632147857,0.0,64317.12919072529,62020.0,2297.1291907252853,64317.12919072529,0.0,27400.0,267415.788309787,19874.077481343764
2027,504184.947377444,403142.0,254088.60688457184,149053.39311542816,653238.340492872,64498.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,64498.6,0.0,-11500.0,75998.6,11500.0,0.0,1.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17035.2,7300.8,17035.2,0.0,7300.8,0.0,13104.0,5616.0,0.0,0.0,13104.0,5616.0,24336.0,0.0,0.0,0.0,5616.0,5616.0,0.0,0.0,0.0,0.0,0.0,0.0,🏖️ Travel,90659.69483787833,40000.0,50659.69483787833,319139.5952618107,319139.5952618107,0.0,77405.71245292641,69320.8,8084.912452926401,77405.71245292641,0.0,16722.0,254088.60688457184,14404.862438391574
2028,545636.824166229,415236.26,239974.59091655278,175261.66908344722,720898.4932496762,67097.89358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,67097.89358,0.0,-3500.0,70597.89358,3500.0,0.0,1.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17716.608,7592.832,17716.608,0.0,7592.832,0.0,13628.160000000002,5840.64,0.0,0.0,13628.160000000002,5840.64,25309.440000000002,0.0,0.0,0.0,5840.639999999999,5840.639999999999,0.0,0.0,0.0,0.0,0.0,0.0,,94175.0253088827,40000.0,54175.0253088827,349394.99985625315,349394.99985625315,0.0,88169.35579121497,76913.632,11255.723791214972,88169.35579121497,0.0,13723.66,239974.59091655278,8569.363935012703
2029,593240.8114219154,427693.34780000005,225027.28582707612,202666.06197292393,795906.8733948393,69801.938691274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,69801.938691274,0.0,-11500.0,81301.938691274,11500.0,0.0,1.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18425.27232,7896.54528,18425.27232,0.0,7896.54528,0.0,14173.2864,6074.265600000001,0.0,0.0,14173.2864,6074.265600000001,26321.817600000002,0.0,0.0,0.0,6074.265600000001,6074.265600000001,0.0,0.0,0.0,0.0,0.0,0.0,,100068.89559610677,40000.0,60068.89559610676,389055.83990704105,389055.83990704105,0.0,101875.23380051082,84810.17728,17065.056520510807,101875.23380051082,0.0,2635.3698000000004,225027.28582707612,2343.0512895044776
2030,656857.9353239208,440524.1482340001,209197.49436700222,231326.65386699786,888184.5891909186,72614.95682053234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,72614.95682053234,6600.0,3100.0,76114.95682053234,3500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19162.283212800005,8212.407091200002,19162.283212800005,0.0,8212.407091200002,0.0,14740.217856000003,6317.236224000002,0.0,0.0,14740.217856000003,6317.236224000002,27374.690304000007,0.0,0.0,0.0,6317.236224000001,6317.236224000001,0.0,0.0,0.0,0.0,0.0,0.0,🚗 RAV4 Hybrid Auto Loan paid off,104707.4104933082,40000.0,64707.4104933082,430032.1290993636,430032.1290993636,0.0,114351.09064807977,93022.5843712,21328.506276879765,114351.09064807977,0.0,5814.430894000001,209197.49436700222,0.0
2031,725616.6321188365,453739.8726810201,192433.1146899027,261306.75799111743,986923.3901099539,75541.3395803998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_retirement,brackets,single,0.0,0.0,0.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0,75541.3395803998,6600.0,-4900.0,87041.3395803998,11500.0,0.0,1.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19928.774541312003,8540.903374848001,19928.774541312003,0.0,8540.903374848001,0.0,15329.826570240002,6569.925672960001,0.0,0.0,15329.826570240002,6569.925672960001,28469.677916160006,0.0,0.0,0.0,6569.92567296,6569.92567296,0.0,0.0,0.0,0.0,0.0,0.0,,111741.06144090126,40000.0,71741.06144090126,479627.2626022231,479627.2626022231,0.0,131951.603513963,101563.487746048,30388.11576791499,131951.603513963,0.0,1088.863820820001,192433.1146899027,0.0
2032,758418.4962041432,467352.0688614507,174678.96886512652,292673.09999632416,1051091.5962004673,78585.65556548991,0.0,14804.262775067662,0.0,0.0,14804.262775067662,7709.207489487737,14804.262775067662,0.0,0.0,14804.262775067662,0.0,0.0,14804.262775067662,pre_retirement,brackets,single,735.0,0.0,735.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,14804.262775067662,11969.262775067662,0.04979473446244512,0.0,78585.65556548991,6600.0,-23635.0,108820.65556548991,29500.0,0.0,1.0,0.0,0.0,0.0,1121.5297354446009,22513.4702645554,0.0,0.0,0.0,0.0,0.0,0.0,20725.925522964488,8882.539509841923,20725.925522964488,0.0,8882.539509841923,0.0,15943.019633049606,6832.722699878403,0.0,0.0,15943.019633049606,6832.722699878403,29608.46503280641,0.0,0.0,0.0,6832.722699878402,6832.722699878402,0.0,0.0,0.0,0.0,0.0,0.0,💸 Vehicle purchase,94299.9686240474,32290.792510512263,62009.17611353513,516775.0027338647,516775.0027338647,0.0,144296.42487174115,110446.02725588993,33850.39761585124,144296.42487174115,0.0,0.0,174678.96886512652,0.0
2033,807988.6714817802,481372.63092729426,155876.62126630676,325496.00966098753,1133484.681142768,81752.65748477915,0.0,3291.951428519459,0.0,0.0,3291.951428519459,1629.048571480541,3291.951428519459,0.0,0.0,3291.951428519459,0.0,0.0,3291.951428519459,pre_retirement,brackets,single,21.0,0.0,21.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,3291.951428519459,456.9514285194591,0.006379195235369605,0.0,81752.65748477915,6600.0,-4921.0,93273.65748477915,11500.0,0.0,1.0,0.0,0.0,0.0,0.0,4921.0,0.0,0.0,0.0,0.0,0.0,0.0,21554.962543883063,9237.841090235599,21554.962543883063,0.0,9237.841090235599,0.0,16580.740418371588,7106.031607873538,0.0,0.0,16580.740418371588,7106.031607873538,30792.80363411866,0.0,0.0,0.0,7106.031607873536,7106.031607873536,0.0,0.0,0.0,0.0,0.0,0.0,,92367.66817115949,30691.7778491958,61808.87973441466,555308.8288818537,555308.8288818537,0.0,159443.5086096568,119683.86834612553,39759.64026353127,159443.5086096568,0.0,0.0,155876.62126630676,0.0
2034,875197.8711836478,495813.8098551131,135964.1862375547,359849.6236175584,1235047.494801206,85047.28958141575,0.0,6197.342846647124,0.0,0.0,6197.342846647124,2861.657153352876,6197.342846647124,0.0,0.0,6197.342846647124,0.0,0.0,6197.342846647124,pre_retirement,brackets,single,159.0,0.0,159.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,6197.342846647124,3362.342846647124,0.025782241238030912,0.0,85047.28958141575,6600.0,-9059.0,100706.28958141575,15500.0,0.0,1.0,0.0,0.0,0.0,0.0,9059.0,0.0,0.0,0.0,0.0,0.0,0.0,22417.161045638386,9607.354733845023,22417.161045638386,0.0,9607.354733845023,0.0,17243.97003510645,7390.272872188479,0.0,0.0,17243.97003510645,7390.272872188479,32024.51577948341,0.0,0.0,0.0,7390.272872188478,7390.272872188478,0.0,0.0,0.0,0.0,0.0,0.0,💸 HVAC replacement,88998.46653425365,27816.631966982924,61243.05148469747,605178.5664490683,605178.5664490683,0.0,174702.364416919,129291.22307997054,45411.14133694845,174702.364416919,0.0,0.0,135964.1862375547,0.0
2035,936520.7010056388,510688.2241507665,114876.12440429938,395812.09974646714,1332332.8007521061,88474.6953515468,0.0,3434.0150447384635,0.0,0.0,3434.0150447384635,1491.9849552615365,3434.0150447384635,0.0,0.0,3434.0150447384635,0.0,0.0,3434.0150447384635,pre_retirement,brackets,single,26.0,0.0,26.0,15000.0,0.0,0.0,1.0,oregon,single,2835.0,3434.0150447384635,599.0150447384635,0.007774274846203742,0.0,88474.6953515468,6600.0,-4926.0,100000.6953515468,11500.0,0.0,1.0,0.0,0.0,0.0,0.0,4926.0,0.0,0.0,0.0,0.0,0.0,0.0,23313.84748746392,9991.648923198823,23313.84748746392,0.0,9991.648923198823,0.0,17933.72883651071,7685.883787076019,0.0,0.0,17933.72883651071,7685.883787076019,33305.496410662745,0.0,0.0,0.0,7685.883787076018,7685.883787076018,0.0,0.0,0.0,0.0,0.0,0.0,,88496.31386625164,26378.6591775176,60941.58455831956,657456.9298776122,657456.9298776122,0.0,196377.03705733147,139282.87200316938,57094.16505416209,196377.03705733147,0.0,0.0,114876.12440429938,0.0
