year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2026,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,504463.69981912296,579408.633861071,659373.5476385829,380479.48812890996,455424.422170858,535389.3359483698
2027,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,521847.1045949279,632426.5823129091,739757.7300127927,377135.0724440268,487714.5501620079,595045.6978618916
2028,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,548980.5246618306,676122.1822925853,843221.4864934841,383779.59235581954,510921.2499865741,678020.554187473
2029,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,578756.1540057852,715178.9763255472,943183.0962130703,393287.9977573135,529710.8200770754,757714.9399645985
2030,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,604646.228056751,771549.9556834137,990087.6506660759,399115.49225824757,566019.2198849105,784556.9148675726
2031,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,626019.5600368512,829230.5704308387,1113066.460339683,400614.0551747665,603825.0655687541,887660.9554775984
2032,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,650538.8359339379,869436.5824490741,1203506.411257573,405429.72233221546,624327.4688473518,958397.2976558508
2033,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,694717.075114098,926769.0868530023,1294563.9963601767,430059.03268261487,662111.0444215192,1029905.9539286935
2034,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,714736.4437584165,959623.3829410041,1413128.9682112685,430667.8279103218,675554.7670929094,1129060.3523631738
2035,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,758650.2843704497,1012662.0505893279,1575818.132966734,455293.26826069265,709305.034479571,1272461.116856977
2036,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,787386.1414686369,1086928.8390725225,1633830.3977532305,464846.8446944708,764389.5422983563,1311291.1009790644
2037,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,839378.1588310088,1120548.8236803475,1751237.1349412082,497746.7627238953,778917.4275732341,1409605.7388340945
2038,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,867254.6751513156,1216796.9522659422,1857654.5021336817,506605.52477841754,856147.8018930443,1497005.3517607837
2039,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,898839.3665519621,1292541.2484336672,2016190.0964457833,519231.05953428755,912932.9414159928,1636581.7894281088
2040,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,919990.1260536909,1279909.8540411412,2024025.9643195034,528590.126053691,888509.8540411412,1632625.9643195034
2041,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,895488.4730658899,1293905.0531444848,2049186.0495780448,504088.4730658899,902505.0531444848,1657786.0495780448
2042,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,844608.7306997447,1271684.6173214335,2152359.731504232,453208.73069974483,880284.6173214335,1760959.7315042326
2043,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,798796.450358618,1271272.271401422,2182452.402341837,407396.450358618,879872.2714014221,1791052.402341837
2044,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,749537.9085307647,1219204.0582877288,2142343.9528284194,358137.9085307648,827804.0582877289,1750943.9528284196
2045,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,705770.4397169794,1213325.420612846,2106044.7174386964,314370.4397169794,821925.4206128463,1714644.717438697
2046,250,249,0.996,1,0.004,1,0.004,1,0.004,0,0.0,1.0,1.0,1.0,694801.5582827505,1195861.224101718,2307207.6125791394,303401.55828275054,804461.2241017182,1915807.6125791394
2047,250,247,0.988,3,0.012,2,0.008,3,0.012,0,0.0,1.0,1.0,1.0,632656.7273558165,1201938.8976796428,2308239.796807578,241256.72735581646,810538.8976796428,1916839.7968075776
2048,250,247,0.988,3,0.012,0,0.0,3,0.012,0,0.0,1.0,1.0,1.0,596273.785777792,1178525.2202067352,2314363.7659712257,204873.7857777919,787125.220206735,1922963.7659712257
2049,250,245,0.98,5,0.02,2,0.008,5,0.02,0,0.0,1.0,1.0,1.0,560855.9454329176,1140826.3979820393,2300870.65271902,169455.94543291756,749426.3979820393,1909470.6527190197
2050,250,240,0.96,10,0.04,5,0.02,10,0.04,0,0.0,1.0,1.0,1.0,512395.087706121,1141035.732393518,2479468.386934877,120995.08770612098,749635.7323935181,2088068.3869348774
2051,250,233,0.932,17,0.068,7,0.028,17,0.068,0,0.0,1.0,1.0,1.0,469790.58598286734,1122914.813835436,2726120.223339798,78390.58598286728,731514.8138354358,2334720.223339798
2052,250,231,0.924,19,0.076,2,0.008,19,0.076,0,0.0,1.0,1.0,1.0,450718.9203824197,1112381.6869475497,2555810.461706802,59318.9203824197,720981.6869475497,2164410.461706802
2053,250,225,0.9,25,0.1,6,0.024,25,0.1,0,0.0,0.9996156973302038,1.0,1.0,391843.45676917554,1092509.299718074,2644030.5450026286,443.45676917545956,701109.299718074,2252630.5450026286
2054,250,216,0.864,34,0.136,9,0.036,34,0.136,0,0.0,0.3464703877224114,1.0,1.0,344047.4091338468,1085298.0718267802,2961328.177982268,-47352.59086615325,693898.0718267802,2569928.177982268
2055,250,204,0.816,46,0.184,12,0.048,46,0.184,0,0.0,0.3192689030192514,1.0,1.0,340012.53376926883,1074084.5554264393,2863836.9187840368,-51387.466230731116,682684.5554264395,2472436.9187840368
2056,250,197,0.788,53,0.212,7,0.028,53,0.212,0,0.0,0.3261593358273969,1.0,1.0,343057.57734726206,1049686.793580674,2860310.4903955027,-48342.422652737914,658286.7935806741,2468910.4903955027
2057,250,187,0.748,63,0.252,10,0.04,63,0.252,0,0.0,0.31817628101619577,1.0,1.0,342718.0362594777,1046783.0597025303,2916568.1302104094,-48681.96374052224,655383.0597025302,2525168.1302104094
2058,250,184,0.736,66,0.264,3,0.012,66,0.264,0,0.0,0.31035223494694125,1.0,1.0,342388.3847179396,997610.0352427033,2982124.783600087,-49011.61528206043,606210.0352427033,2590724.7836000873
2059,250,178,0.712,72,0.288,6,0.024,72,0.288,0,0.0,0.3026858100757105,1.0,1.0,342068.33467761124,936988.5111601255,2929395.9584017647,-49331.66532238878,545588.5111601256,2537995.9584017647
2060,250,175,0.7,75,0.3,3,0.012,75,0.3,0,0.0,0.29517553927346085,1.0,1.0,341757.6064831177,830873.3626635135,2997755.4777177298,-49642.3935168823,439473.3626635135,2606355.4777177298
2061,250,169,0.676,81,0.324,6,0.024,81,0.324,0,0.0,0.2878198809262418,1.0,1.0,341455.928624386,817088.0272004406,3083676.771592105,-49944.07137561388,425688.02720044064,2692276.7715921043
2062,250,167,0.668,83,0.332,2,0.008,83,0.332,0,0.0,0.28061722394561034,1.0,1.0,341163.0374994039,764552.9815110902,3102734.160813363,-50236.962500596004,373152.98151109024,2711334.160813363
